"","c1","c2","c3","gene"
"Gnaq",1,1,1,"Gnaq"
"Limk2",1,1,1,"Limk2"
"Il6ra",2,2,2,"Il6ra"
"Tarbp2",3,3,3,"Tarbp2"
"Brd7",4,4,4,"Brd7"
"Depdc1b",1,1,1,"Depdc1b"
"EG630499",2,2,2,"EG630499"
"Tmpo",3,3,3,"Tmpo"
"Ppme1",1,1,1,"Ppme1"
"5730410I19Rik",3,3,3,"5730410I19Rik"
"Tacc1",2,2,2,"Tacc1"
"Insig1",1,1,1,"Insig1"
"Peo1",5,5,5,"Peo1"
"Foxp4",5,5,5,"Foxp4"
"Armcx6",1,1,1,"Armcx6"
"Chek1",3,3,3,"Chek1"
"Trim25",3,3,3,"Trim25"
"Brp44",5,5,5,"Brp44"
"Plcxd1",1,1,1,"Plcxd1"
"Zfp652",1,1,1,"Zfp652"
"Cxcl9",3,3,3,"Cxcl9"
"Tmed10",1,1,1,"Tmed10"
"Stxbp1",3,3,3,"Stxbp1"
"Mobkl2c",5,5,5,"Mobkl2c"
"Rapgef2",2,2,2,"Rapgef2"
"B9d2",1,1,1,"B9d2"
"Cbx6",1,1,1,"Cbx6"
"Ubl7",1,1,1,"Ubl7"
"Gm2a",1,1,1,"Gm2a"
"Khk",1,1,1,"Khk"
"Pcgf6",5,5,5,"Pcgf6"
"Nt5dc3",1,1,1,"Nt5dc3"
"Hap1",1,1,1,"Hap1"
"Capg",1,1,1,"Capg"
"Irak2",3,3,3,"Irak2"
"Mak10",5,5,5,"Mak10"
"Nrbp1",2,2,2,"Nrbp1"
"Midn",1,1,1,"Midn"
"Mtrf1",3,3,3,"Mtrf1"
"Akap7",1,1,1,"Akap7"
"Hat1",4,4,4,"Hat1"
"Phldb1",1,1,1,"Phldb1"
"G0s2",2,2,2,"G0s2"
"Tmco3",1,1,1,"Tmco3"
"Coasy",3,3,3,"Coasy"
"Cep97",1,1,1,"Cep97"
"Mycbp2",2,2,2,"Mycbp2"
"4632419K20Rik",1,1,1,"4632419K20Rik"
"Cenpp",3,3,3,"Cenpp"
"5730596K20Rik",4,4,4,"5730596K20Rik"
"Raet1b.1",3,3,3,"Raet1b.1"
"Rasgrp4",1,1,1,"Rasgrp4"
"3110043J09Rik",3,3,3,"3110043J09Rik"
"2400003C14Rik",2,2,2,"2400003C14Rik"
"Mutyh",3,3,3,"Mutyh"
"Fbxl8",1,1,1,"Fbxl8"
"Cops7a",5,5,5,"Cops7a"
"Usp10",5,5,5,"Usp10"
"Agpat3",1,1,1,"Agpat3"
"Rbm5",2,2,2,"Rbm5"
"Mcph1",4,4,4,"Mcph1"
"Pias1",2,2,2,"Pias1"
"Lonp1",3,3,3,"Lonp1"
"Porcn",1,1,1,"Porcn"
"Sf3b3",5,5,5,"Sf3b3"
"2210412D01Rik",3,3,3,"2210412D01Rik"
"Bnip1",4,4,4,"Bnip1"
"1810037I17Rik",3,3,3,"1810037I17Rik"
"Phtf1",2,2,2,"Phtf1"
