"","c1","c2","c3","gene"
"Gnaq",1,1,1,"Gnaq"
"Limk2",2,2,2,"Limk2"
"Tarbp2",3,3,3,"Tarbp2"
"Brd7",3,3,3,"Brd7"
"Depdc1b",4,4,4,"Depdc1b"
"EG630499",5,5,5,"EG630499"
"Ppme1",4,4,4,"Ppme1"
"Armcx6",4,4,4,"Armcx6"
"Trim25",1,1,1,"Trim25"
"Plcxd1",4,4,4,"Plcxd1"
"Zfp652",1,1,1,"Zfp652"
"Cxcl9",6,6,6,"Cxcl9"
"Tmed10",7,7,7,"Tmed10"
"Stxbp1",3,3,3,"Stxbp1"
"B9d2",4,4,4,"B9d2"
"Ubl7",7,7,7,"Ubl7"
"Gm2a",2,2,2,"Gm2a"
"Khk",2,2,2,"Khk"
"Nt5dc3",4,4,4,"Nt5dc3"
"Irak2",3,3,3,"Irak2"
"Mtrf1",3,3,3,"Mtrf1"
"Akap7",7,7,7,"Akap7"
"Phldb1",7,7,7,"Phldb1"
"G0s2",5,5,5,"G0s2"
"Tmco3",7,7,7,"Tmco3"
"4632419K20Rik",2,2,2,"4632419K20Rik"
"Raet1b.1",1,1,1,"Raet1b.1"
"Rasgrp4",7,7,7,"Rasgrp4"
"3110043J09Rik",3,3,3,"3110043J09Rik"
"Mutyh",4,4,4,"Mutyh"
"Fbxl8",2,2,2,"Fbxl8"
"Agpat3",1,1,1,"Agpat3"
"Porcn",7,7,7,"Porcn"
"2210412D01Rik",3,3,3,"2210412D01Rik"
"Phtf1",5,5,5,"Phtf1"
"Sgcb",5,5,5,"Sgcb"
"Il11ra1",8,8,8,"Il11ra1"
"Mcl1",8,8,8,"Mcl1"
"Rnf185",6,6,6,"Rnf185"
"Unc119",4,4,4,"Unc119"
"Gsdmdc1",5,5,5,"Gsdmdc1"
"Tspan8",7,7,7,"Tspan8"
"Wipi1",4,4,4,"Wipi1"
"Aco2",4,4,4,"Aco2"
"Mtap6",1,1,1,"Mtap6"
"Cd86",5,5,5,"Cd86"
"Gba",4,4,4,"Gba"
"Elmo2",8,8,8,"Elmo2"
"Ndufv1",3,3,3,"Ndufv1"
"Adar",1,1,1,"Adar"
"Brms1",6,6,6,"Brms1"
"Pcyt1b",2,2,2,"Pcyt1b"
"Abi2",4,4,4,"Abi2"
"Ctnna1",3,3,3,"Ctnna1"
"1700007K13Rik",7,7,7,"1700007K13Rik"
"Polr2d",3,3,3,"Polr2d"
"Chst14",7,7,7,"Chst14"
"Rad50",4,4,4,"Rad50"
"Suhw2",7,7,7,"Suhw2"
"Id3",3,3,3,"Id3"
"Nrbp2",2,2,2,"Nrbp2"
"Cisd1",1,1,1,"Cisd1"
"Il4ra",7,7,7,"Il4ra"
"Asah1",4,4,4,"Asah1"
"Adamtsl4",7,7,7,"Adamtsl4"
"Cd164",5,5,5,"Cd164"
"Mxd3",4,4,4,"Mxd3"
"Itch",8,8,8,"Itch"
"Oas1g",1,1,1,"Oas1g"
"Fut7",1,1,1,"Fut7"
"Zfp768",4,4,4,"Zfp768"
"Dleu7",3,3,3,"Dleu7"
"Cox18",3,3,3,"Cox18"
"Arsb",1,1,1,"Arsb"
"Lrrc49",1,1,1,"Lrrc49"
"H2-DMa",7,7,7,"H2-DMa"
"Ddx60",1,1,1,"Ddx60"
"Hist1h4m",1,1,1,"Hist1h4m"
"Efna5",7,7,7,"Efna5"
"Fn3k",2,2,2,"Fn3k"
"Zfp91-cntf",6,6,6,"Zfp91-cntf"
"Rps10",8,8,8,"Rps10"
"Ing4",8,8,8,"Ing4"
"2500003M10Rik",8,8,8,"2500003M10Rik"
"Ktn1",7,7,7,"Ktn1"
"Il5",4,4,4,"Il5"
"Batf",4,4,4,"Batf"
"Crat",4,4,4,"Crat"
"Scamp1",4,4,4,"Scamp1"
"Pi4ka",8,8,8,"Pi4ka"
"Bbs9",2,2,2,"Bbs9"
"Entpd2",4,4,4,"Entpd2"
"Lgals3bp",1,1,1,"Lgals3bp"
"Centa1",3,3,3,"Centa1"
"Arhgap1",8,8,8,"Arhgap1"
"Sfn",5,5,5,"Sfn"
"Zfp524",1,1,1,"Zfp524"
"Tmem50b",8,8,8,"Tmem50b"
"Mier1",1,1,1,"Mier1"
"Zbtb2",8,8,8,"Zbtb2"
"Oasl1",1,1,1,"Oasl1"
"Tars2",4,4,4,"Tars2"
"Dgcr6",4,4,4,"Dgcr6"
"D2Ertd750e",4,4,4,"D2Ertd750e"
"BC017643",8,8,8,"BC017643"
"Naga",2,2,2,"Naga"
"Rab33a",4,4,4,"Rab33a"
"Tex264",5,5,5,"Tex264"
"Artn",4,4,4,"Artn"
"Stat1",5,5,5,"Stat1"
"Cd200",3,3,3,"Cd200"
"Atp10a",1,1,1,"Atp10a"
"Nqo2",1,1,1,"Nqo2"
"4930570C03Rik",7,7,7,"4930570C03Rik"
"Yipf3",2,2,2,"Yipf3"
"Htt",4,4,4,"Htt"
"Unc119.1",4,4,4,"Unc119.1"
"EG667977",5,5,5,"EG667977"
"Gab3",5,5,5,"Gab3"
