"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat4","Stat4","105/140","330/505",0.0029043958628774,0.0232351669030192,0.0214008116212019,"1600014C10Rik/1700113I22Rik/2310004I24Rik/4831426I19Rik/Adar/Adora2b/Amica1/Batf3/Bbs12/Bmpr1a/C030048B08Rik/Car5b/Ccdc28b/Ccdc50/Cd27/Cd44/Cd70/Chkb/Cul7/Cyb5/Edem2/Eif4enif1/Elmo2/Ets1/Fgf2/Fgl2/Folr4/Fut7/Gbp5/Gm885/Gnb5/H2-D1/Hopx/Id2/Ifi35/Ifih1/Igf2bp3/Igfbp7/Igtp/Il17ra/Il18rap/Il24/Il2rb/Irf9/Itih5/Kcnk10/Klhl21/Klrk1/Lrch1/Lrp11/Lss/Mapre2/Mcf2l/Mllt3/Ms4a6b/Msh5/Mtap6/Nampt/Nav1/Nhedc2/Nrn1/Nrp1/Orc1l/Pigz/Pik3cg/Pitpnm2/Pla1a/Pml/Polk/Ppt1/Prm1/Psmb9/Pxmp4/Ralb/Rhoh/Rnasen/Rpl7a/Scly/Sco1/Sema3b/Sema4b/Serpina3f/Slc12a8/Slc17a6/Stat2/Stau2/Tal2/Tap1/Tapbpl/Tgtp/Tirap/Tmed10/Tmem159/Trafd1/Trak2/Trp53i11/Ube2l6/Upp1/Wdr78/Wipi2/Xpo6/Zbp1/Zc3h12d/Zdhhc6/Zfp608",105,"Ind","linear model"
"Stat1","Stat1","50/140","168/505",0.267495834555214,0.999590161656045,0.920675148893726,"1600014C10Rik/9930104L06Rik/AA467197/Adar/Bbs12/Bst2/Casp3/Chkb/Cox17/Cox5b/Edem2/Eif2ak2/Elmo2/Ercc2/Evi2a/Gemin6/H2-K1/H2-T23/Id2/Ifi35/Ifih1/Igtp/Il18rap/Il24/Il2rb/Irf9/Kcnk10/Klf2/Klhl21/Lrp11/Lrp12/Lss/Mapre2/Mrpl16/Nampt/Oasl1/Oasl2/Pigz/Pml/Polk/Psmb9/Sco1/Specc1/Stat2/Tap1/Trafd1/Ttc27/Ube2f/Usp18/Zbp1",50,"Ind","linear model"
"Stat6","Stat6","68/140","256/505",0.754910628754307,0.999590161656045,0.920675148893726,"1500012F01Rik/2310004I24Rik/4831426I19Rik/AA467197/Adar/Adora2b/Amica1/Batf3/Bbs12/Cd27/Cul7/Cyb5/Elmo2/Ercc2/Ets1/Evi2a/Folr4/Gm885/H2-D1/H2-K1/Id2/Ifi35/Igtp/Il17ra/Il18rap/Il24/Il2rb/Irf9/Klf2/Klhl21/Lrch1/Lrp12/Lss/Mapre2/Mcf2l/Mllt3/Ms4a6b/Msh5/Mtap6/Nagk/Nampt/Orc1l/Pdlim4/Pigz/Pik3cg/Pla1a/Pml/Polk/Ppt1/Ralb/Rhoh/Rps24/Scly/Sco1/Sema4b/Slc17a6/Stat2/Stau2/Tgtp/Tmed10/Trp53i11/Ttc27/Ube2f/Upp1/Wdr78/Xpo6/Zbp1/Zfp608",68,"Ind","linear model"
"Gata_Th1","Gata_Th1","7/140","31/505",0.805084255735517,0.999590161656045,0.920675148893726,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Tmem159/Usp18",7,"Ind","linear model"
"Tbet_pos","Tbet_pos","13/140","55/505",0.808459286949386,0.999590161656045,0.920675148893726,"AA467197/Amica1/Hopx/Igf2bp3/Il18rap/Il24/Klrk1/Lss/Mx1/Serpina3f/Spp1/Upp1/Usp18",13,"Ind","linear model"
"Tbet_neg","Tbet_neg","8/140","39/505",0.894141084508249,0.999590161656045,0.920675148893726,"Cd74/Ckmt1/Folr4/H2-DMb1/Hsd17b11/Igfbp7/Nrn1/Ralb",8,"Ind","linear model"
"Tbet_large","Tbet_large","35/140","155/505",0.967315733110156,0.999590161656045,0.920675148893726,"4831426I19Rik/Casp3/Elmo2/Ets1/Fgl2/Gpsm2/H2-K1/Hopx/Id2/Igtp/Il10rb/Il17ra/Il2rb/Klf2/Klrk1/Lrch1/Lss/Mapre2/Mllt3/Nrn1/Oasl2/Otx1/Pik3cg/Pitpnm2/Prm1/Ralb/Rap1b/Slc17a6/Stau2/Tmed10/Tmem159/Trak2/Ttc27/Xpo6/Zc3h12d",35,"Ind","linear model"
"Gata_Th2","Gata_Th2","2/140","31/505",0.999590161656045,0.999590161656045,0.920675148893726,"Il24/Slc17a6",2,"Ind","linear model"
"Stat4","Stat4","16/21","50/78",0.138512073284828,0.831072439708967,0.831072439708967,"Mtap6/Ifih1/Ube2l6/Nrp1/Ifi35/Sema4b/Klrk1/Zbp1/Sco1/Gbp3/Tap1/Il18rap/Igfbp7/Adar/Gbp5/Tal2",16,"Ind","hclust"
"Stat1","Stat1","10/21","34/78",0.427475620029176,0.997644918498186,0.997644918498186,"Ifih1/Oasl2/Ifi35/Zbp1/Sco1/Gbp3/Tap1/Hsh2d/Il18rap/Adar",10,"Ind","hclust"
