"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat4","Stat4","66/88","330/505",0.022718039459446,0.181744315675568,0.167396080227497,"1700113I22Rik/4831426I19Rik/Adar/Adora2b/Batf3/Bbs12/C030048B08Rik/Car5b/Ccdc50/Cd27/Cd44/Cd70/Chkb/Cul7/Cyb5/Edem2/Elmo2/Ets1/Fgf2/Folr4/Fut7/Gbp5/H2-D1/Hopx/Ifi35/Ifih1/Igf2bp3/Igfbp7/Igtp/Il17ra/Il18rap/Il24/Irf9/Itih5/Kcnk10/Klrk1/Lss/Mapre2/Mllt3/Mtap6/Nampt/Nav1/Nrn1/Nrp1/Orc1l/Pitpnm2/Pla1a/Pml/Ppt1/Psmb9/Rhoh/Rnasen/Rpl7a/Sco1/Serpina3f/Stau2/Tal2/Tap1/Tgtp/Tmed10/Trak2/Trp53i11/Ube2l6/Upp1/Zbp1/Zdhhc6",66,"Ind","linear model"
"Stat1","Stat1","34/88","168/505",0.146596208938823,0.586384835755293,0.540091296090402,"9930104L06Rik/Adar/Bbs12/Bst2/Chkb/Cox17/Edem2/Elmo2/Ercc2/Evi2a/Gemin6/H2-T23/Ifi35/Ifih1/Igtp/Il18rap/Il24/Irf9/Kcnk10/Klf2/Lrp12/Lss/Mapre2/Mrpl16/Nampt/Oasl2/Pml/Psmb9/Sco1/Specc1/Tap1/Ttc27/Ube2f/Zbp1",34,"Ind","linear model"
"Tbet_pos","Tbet_pos","9/88","55/505",0.648085692236946,0.997843055859269,0.919065972501959,"Hopx/Igf2bp3/Il18rap/Il24/Klrk1/Lss/Mx1/Serpina3f/Upp1",9,"Ind","linear model"
"Stat6","Stat6","43/88","256/505",0.689732492115195,0.997843055859269,0.919065972501959,"4831426I19Rik/Adar/Adora2b/Batf3/Bbs12/Cd27/Cul7/Cyb5/Elmo2/Ercc2/Ets1/Evi2a/Folr4/H2-D1/Ifi35/Igtp/Il17ra/Il18rap/Il24/Irf9/Klf2/Lrp12/Lss/Mapre2/Mllt3/Mtap6/Nagk/Nampt/Orc1l/Pla1a/Pml/Ppt1/Rhoh/Rps24/Sco1/Stau2/Tgtp/Tmed10/Trp53i11/Ttc27/Ube2f/Upp1/Zbp1",43,"Ind","linear model"
"Gata_Th1","Gata_Th1","4/88","31/505",0.822210628449131,0.997843055859269,0.919065972501959,"Hopx/Igtp/Il18rap/Klrk1",4,"Ind","linear model"
"Tbet_large","Tbet_large","22/88","155/505",0.921243787747084,0.997843055859269,0.919065972501959,"4831426I19Rik/Elmo2/Ets1/Gpsm2/Hopx/Igtp/Il10rb/Il17ra/Klf2/Klrk1/Lss/Mapre2/Mllt3/Nrn1/Oasl2/Otx1/Pitpnm2/Rap1b/Stau2/Tmed10/Trak2/Ttc27",22,"Ind","linear model"
"Tbet_neg","Tbet_neg","4/88","39/505",0.934524006871626,0.997843055859269,0.919065972501959,"Ckmt1/Folr4/Igfbp7/Nrn1",4,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/88","31/505",0.997843055859269,0.997843055859269,0.919065972501959,"Il24",1,"Ind","linear model"
"Stat4","Stat4","16/21","50/78",0.138512073284828,0.831072439708967,0.831072439708967,"Mtap6/Ifih1/Ube2l6/Nrp1/Ifi35/Sema4b/Klrk1/Zbp1/Sco1/Gbp3/Tap1/Il18rap/Igfbp7/Adar/Gbp5/Tal2",16,"Ind","hclust"
"Stat1","Stat1","10/21","34/78",0.427475620029176,0.997644918498186,0.997644918498186,"Ifih1/Oasl2/Ifi35/Zbp1/Sco1/Gbp3/Tap1/Hsh2d/Il18rap/Adar",10,"Ind","hclust"
"Stat6","Stat6","7/21","29/78",0.752955566478026,0.997644918498186,0.997644918498186,"Mtap6/Ifi35/Sema4b/Zbp1/Sco1/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","3/21","14/78",0.797174217578467,0.997644918498186,0.997644918498186,"Klrk1/Gbp3/Il18rap",3,"Ind","hclust"
"Tbet_pos","Tbet_pos","2/21","16/78",0.969699980496615,0.997644918498186,0.997644918498186,"Klrk1/Il18rap",2,"Ind","hclust"
"Tbet_large","Tbet_large","3/21","28/78",0.997644918498186,0.997644918498186,0.997644918498186,"Oasl2/Klrk1/Marcks",3,"Ind","hclust"
"Tbet_pos","Tbet_pos","23/128","55/505",0.00342471426472096,0.0143892743517491,0.0113599534355914,"AA467197/BC094916/Ctsw/Dapk2/Epsti1/Fes/Furin/Gpr114/Hsd11b1/Ifitm1/Ifitm3/Ifng/Il18r1/Klrd1/Lgals3/Nod1/P2ry14/Pik3ap1/Pld4/Tm6sf1/Usp18/Xdh/Zbtb32",23,"Superpos","linear model"
"Gata_Th1","Gata_Th1","15/128","31/505",0.00359731858793728,0.0143892743517491,0.0113599534355914,"BC094916/Epsti1/Fes/Furin/Gbp3/Gnaq/Ifitm1/Ifitm3/Ifng/Klrd1/Ms4a6d/Nod1/Sytl2/Usp18/Xdh",15,"Superpos","linear model"
