"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","18/36","52/159",0.0114325913239878,0.0800281392679145,0.0601715332841462,"Adar/Bst2/H2-T23/Ifi35/Ifih1/Igtp/Il18rap/Irf9/Mapre2/Oasl1/Oasl2/Sco1/Stat2/Tap1/Ttc27/Ube2f/Usp18/Zbp1",18,"Ind","linear model"
"Stat4","Stat4","28/36","103/159",0.0461615173767463,0.161565310818612,0.121477677307227,"2310004I24Rik/Adar/Amica1/C030048B08Rik/Fgl2/Gbp5/Hopx/Ifi35/Ifih1/Igtp/Il18rap/Irf9/Klrk1/Mapre2/Ms4a6b/Mtap6/Nrp1/Sco1/Sema3b/Sema4b/Serpina3f/Slc17a6/Stat2/Tap1/Tapbpl/Ube2l6/Wipi2/Zbp1",28,"Ind","linear model"
"Gata_Th1","Gata_Th1","6/36","21/159",0.327261452114749,0.763610054934414,0.574142898446928,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Usp18",6,"Ind","linear model"
"Stat6","Stat6","17/36","73/159",0.503138975890776,0.879935187260906,0.661605403955568,"2310004I24Rik/Adar/Amica1/Ifi35/Igtp/Il18rap/Irf9/Mapre2/Ms4a6b/Mtap6/Sco1/Sema4b/Slc17a6/Stat2/Ttc27/Ube2f/Zbp1",17,"Ind","linear model"
"Tbet_pos","Tbet_pos","7/36","32/159",0.62852513375779,0.879935187260906,0.661605403955568,"Amica1/Hopx/Il18rap/Klrk1/Mx1/Serpina3f/Usp18",7,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/36","11/159",0.94663394017238,0.973415869979895,0.731891631563831,"Slc17a6",1,"Ind","linear model"
"Tbet_large","Tbet_large","8/36","54/159",0.973415869979895,0.973415869979895,0.731891631563831,"Fgl2/Hopx/Igtp/Klrk1/Mapre2/Oasl2/Slc17a6/Ttc27",8,"Ind","linear model"
"Tbet_pos","Tbet_pos","13/32","32/159",0.0022568732769324,0.0157981129385268,0.0118782804049074,"BC094916/Ctsw/Furin/Gpr114/Ifitm3/Ifng/Il18r1/Klrd1/Nod1/P2ry14/Pik3ap1/Pld4/Zbtb32",13,"Superpos","linear model"
"Gata_Th1","Gata_Th1","9/32","21/159",0.00933261664450632,0.0326641582557721,0.0245595174855429,"BC094916/Furin/Gbp3/Gnaq/Ifitm3/Ifng/Klrd1/Ms4a6d/Nod1",9,"Superpos","linear model"
"Stat4","Stat4","23/32","103/159",0.233750551526656,0.429867938731633,0.32320897648995,"Aqp9/Bzrap1/Ccr5/Clpx/Ctsw/Furin/Gbp3/Gbp5/Gnaq/Ifng/Il18r1/Lrrk1/Ms4a6d/Myo6/Nod1/P2ry14/Pik3ap1/Pon2/Sco1/St3gal6/Stat1/Vezf1/Zbtb32",23,"Superpos","linear model"
"Tbet_large","Tbet_large","13/32","54/159",0.245638822132362,0.429867938731633,0.32320897648995,"Aqp9/Bzrap1/Ccr5/Furin/Gnaq/Ifitm3/Ifng/Il18r1/Lrrk1/Marcks/Myo6/Nod1/P2ry14",13,"Superpos","linear model"
"Stat1","Stat1","10/32","52/159",0.653150324532054,0.794217724525369,0.597156183853661,"Ccr5/Furin/Gbp3/Ifng/Il18r1/Lrrk1/Oasl1/Sco1/Stat1/Zbtb32",10,"Superpos","linear model"
"Stat6","Stat6","14/32","73/159",0.680758049593173,0.794217724525369,0.597156183853661,"Aqp9/Bzrap1/Ccr5/Clpx/Furin/Gnaq/Il18r1/Matk/Myo6/P2ry14/Sco1/St3gal6/Stat1/Tnfsf13b",14,"Superpos","linear model"
"Gata_Th2","Gata_Th2","1/32","11/159",0.922974951828322,0.922974951828322,0.693966129194227,"Myo6",1,"Superpos","linear model"
"Gata_Th1","Gata_Th1","5/17","21/159",0.0526139344660351,0.216736084093695,0.216736084093695,"Fes/Ffar2/Il12rb2/Ly6c1/Plac8",5,"Th1like","linear model"
"Tbet_large","Tbet_large","9/17","54/159",0.0722453613645651,0.216736084093695,0.216736084093695,"Ccr5/Ch25h/Cxcr3/Il12rb2/Itpr1/Ly6a/Plac8/Ppp3ca/Ptprk",9,"Th1like","linear model"
"Tbet_pos","Tbet_pos","4/17","32/159",0.459387592827998,0.671963082582445,0.671963082582445,"Cxcr3/Fes/Ffar2/Il12rb2",4,"Th1like","linear model"
"Stat1","Stat1","6/17","52/159",0.502779621900854,0.671963082582445,0.671963082582445,"Ccr5/H2-T10/Itpr1/Ly6a/Trim25/Ube2f",6,"Th1like","linear model"
"Stat6","Stat6","8/17","73/159",0.55996923548537,0.671963082582445,0.671963082582445,"Aff4/Ccr5/Ddx26b/Itpr1/Ppp3ca/Ptprk/Trim25/Ube2f",8,"Th1like","linear model"
"Stat4","Stat4","7/17","103/159",0.991174574320297,0.991174574320297,0.991174574320297,"Ccr5/Ffar2/Il12rb2/Itpr1/Ly6a/Ptprk/Trim25",7,"Th1like","linear model"
"Tbet_neg","Tbet_neg","10/83","10/159",0.00114091118826609,0.0091272895061287,0.0072057548732595,"2010001M09Rik/Akr1c18/Fos/Fscn1/Il4/Lif/Mgll/Nts/Pparg/Tiam1",10,"Th2like","linear model"
"Gata_Th2","Gata_Th2","9/83","11/159",0.039399618130902,0.157598472523608,0.124419846729164,"5730469M10Rik/Akr1c18/Fos/Gata3/Il4/Lif/Nts/Pparg/Timd2",9,"Th2like","linear model"
"Stat6","Stat6","39/83","73/159",0.450272139955688,0.999998879998417,0.789472799998751,"5730469M10Rik/Adora3/Antxr2/Armcx6/Atp10a/C730027P07Rik/Casp6/Cuedc1/D330045A20Rik/Efna5/Etv6/Gata3/Gbp6/Gnpda1/Gramd3/Id1/Il11ra1/Il4/Il4ra/Irf7/Irf9/Isg20/Kbtbd7/Lif/Matk/Mgll/Mitd1/Morc3/Oas1b/Pip5k1b/Pparg/Sp100/Spsb1/St3gal1/Stambpl1/Tarbp2/Tec/Tiam1/Znfx1",39,"Th2like","linear model"
"Stat1","Stat1","24/83","52/159",0.891297831577227,0.999998879998417,0.789472799998751,"Ddx60/Fos/Gbp6/Gnpda1/Gvin1/Hsh2d/Ifit3/Inpp5a/Irf7/Irf9/Isg20/Kbtbd7/Lgals3bp/Mitd1/Morc3/Oas1b/Parp14/Rexo2/Rsad2/Rtp4/Trex1/Trim21/Zbtb32/Znfx1",24,"Th2like","linear model"
