"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "14/69" "76/8821" 3.7686900293008e-16 3.96763048095407e-13 3.56252317348388e-13 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Sp100/Usp18/Zbp1/Bst2/Oas2/Irf9/Ifi35/Rsad2/Irf7" 14
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "18/69" "173/8821" 5.4763705741257e-16 3.96763048095407e-13 3.56252317348388e-13 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Apobec1/Tlr7/Zbp1/Bst2/Fgl2/Ddx58/Rtp4/Oas2/Irf9/Cxcl10/Rsad2/Irf7" 18
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "29/69" "682/8821" 3.96195622184059e-15 1.91362485514901e-12 1.71823785620876e-12 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Apobec1/Sp100/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Ifi35/Rsad2/Plac8/Gata3/Ffar2/Klrk1/Irf7" 29
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "19/69" "238/8821" 1.05494379477668e-14 3.82153389657852e-12 3.4313435009052e-12 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Apobec1/Tlr7/Zbp1/Bst2/Fgl2/Ddx58/Rtp4/Oas2/Irf9/Cxcl10/Rsad2/Gata3/Irf7" 19
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "33/69" "982/8821" 2.09157959077886e-14 6.06139765407714e-12 5.44251026147931e-12 "Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Ifit3/Pik3ap1/Apobec1/Sp100/Ccr5/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Ifi35/Rsad2/Plac8/Tap1/Gata3/Ffar2/Klrk1/Irf7" 33
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "30/69" "895/8821" 6.34865119599977e-13 1.53319926383394e-10 1.37665489092206e-10 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Apobec1/Sp100/Ccr5/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Ifi35/Rsad2/Plac8/Gata3/Ffar2/Klrk1/Irf7" 30
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "23/69" "546/8821" 8.4234870416309e-12 1.7436618176176e-09 1.56562856894072e-09 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Sp100/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Ddx58/Parp14/Oas2/Irf9/Ifi35/Rsad2/Gata3/Ffar2/Klrk1/Irf7" 23
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "24/69" "779/8821" 1.76585040572668e-09 3.19839654737244e-07 2.8718303966818e-07 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Apobec1/Tlr7/Zbp1/Bst2/Fgl2/Ddx58/Rtp4/Oas2/Irf9/Cxcl10/Ifi35/Rsad2/Plac8/Gata3/Ffar2/Klrk1/Irf7" 24
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "20/69" "540/8821" 2.65469760662369e-09 4.27406314666413e-07 3.83766811904898e-07 "Il4ra/Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Sp100/Ccr5/Usp18/Zbp1/Casp1/Bst2/Parp14/Oas2/Irf9/Cxcl10/Ifi35/Rsad2/Gata3/Irf7" 20
"GOBP_RESPONSE_TO_INTERFERON_GAMMA" "GOBP_RESPONSE_TO_INTERFERON_GAMMA" "GOBP_RESPONSE_TO_INTERFERON_GAMMA" "11/69" "143/8821" 1.12725343558935e-08 1.58086293759705e-06 1.41945195660888e-06 "Oas1g/Oasl1/Stat1/Sp100/Gbp3/Casp1/Bst2/Parp14/Oas2/Irf9/Irf7" 11
