"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_DNA_METABOLIC_PROCESS" "GOBP_DNA_METABOLIC_PROCESS" "GOBP_DNA_METABOLIC_PROCESS" "56/438" "578/8821" 7.97492237174644e-07 0.00215928472071212 0.00201229994743674 "Chek1/Batf/Mcm6/Fus/Tfrc/Dnajc2/Usp1/Pola2/Xrcc6/Fgf2/Dek/Il10/Uchl5/Psmd14/Mre11a/Hus1/Prmt5/Pold2/Mcm2/Pole3/Tipin/Mcm4/Pkib/Ruvbl2/Nsmce2/Psmc3ip/Actl6a/Cops5/Ssrp1/Fen1/Bax/Kpnb1/Fh1/Commd1/Sumo1/Wdhd1/Cct5/Brcc3/Trex1/Rad23b/Tcp1/Cct7/Rps27a/Tdrkh/Hspd1/Piwil2/Ruvbl1/Mcm5/Ube2l6/Pcna/Tbx21/Nthl1/Nudt1/Cops4/Gtf2h4/Mcm3" 56
"GOBP_ATP_METABOLIC_PROCESS" "GOBP_ATP_METABOLIC_PROCESS" "GOBP_ATP_METABOLIC_PROCESS" "28/438" "209/8821" 1.39844777232122e-06 0.00215928472071212 0.00201229994743674 "Ndufab1/Ola1/Cycs/Hif1a/Cox7b/Nudt5/Dld/Seh1l/Ndufb6/Cox7a2/Cox7a1/Cox5b/Nupl2/Nup62/Ndufb9/Tpi1/Ndufc1/Trex1/Cox6c/Atp5a1/Nup133/Atp5e/Ndufa5/Nup107/Nudt2/Ndufb8/Pom121/Slc2a6" 28
"GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "62/438" "685/8821" 2.0130062654246e-06 0.00215928472071212 0.00201229994743674 "Ndufab1/Bcat1/Psmd9/Aarsd1/Asns/Acsl6/Acot7/Acsl5/Hif1a/Atic/Eprs/Psmd14/Blmh/Ch25h/Dld/Psat1/Aars/Psmd12/Seh1l/Mgll/Psmb7/Atf4/Slc25a17/Psmb2/Psmb5/Nupl2/Fh1/Got2/Psmd6/Mif/Nup62/Aldh18a1/Etfb/Acsl4/Psmc2/Edn1/Insig1/Tpi1/Trex1/Mthfd2/St3gal1/Psmd8/Gldc/Acsl3/Sdhb/Etfa/Crabp2/Nup133/Enoph1/Abcd3/Odc1/Adh4/Nup107/Cth/Nudt19/Pom121/Elovl1/Slc2a6/Fabp5/Phgdh/Aldh1l2/Aacs" 62
"GOBP_ELECTRON_TRANSPORT_CHAIN" "GOBP_ELECTRON_TRANSPORT_CHAIN" "GOBP_ELECTRON_TRANSPORT_CHAIN" "19/438" "115/8821" 3.29394344898445e-06 0.00232175101128026 0.00216370698738591 "Ndufab1/Cycs/Cox7b/Dld/Ndufb6/Cox7a2/Cox11/Cox7a1/Cox5b/Etfb/Ndufb9/Ndufc1/Cox6c/Gldc/Sdhb/Etfa/Ndufa5/Ndufb8/Phgdh" 19
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY" "GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY" "GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY" "38/438" "351/8821" 4.21112817472586e-06 0.00232175101128026 0.00216370698738591 "Ndufab1/Cycs/Hif1a/Cox7b/Dld/Seh1l/Ndufb6/Cox7a2/Cox11/Cox7a1/Cox5b/Nupl2/Fh1/Ppp1cc/Nup62/Etfb/Gipr/Ndufb9/Tpi1/Ndufc1/Ide/Trex1/Cox6c/Gldc/Sdhb/Etfa/Atp5a1/Nup133/Atp5e/Cox17/Ndufa5/Adh4/Nup107/Ndufb8/Pom121/Slc2a6/Phgdh/Aacs" 38
"GOBP_DNA_RECOMBINATION" "GOBP_DNA_RECOMBINATION" "GOBP_DNA_RECOMBINATION" "24/438" "173/8821" 4.32893289859589e-06 0.00232175101128026 0.00216370698738591 "Chek1/Batf/Mcm6/Fus/Tfrc/Xrcc6/Il10/Uchl5/Psmd14/Mre11a/Hus1/Mcm2/Mcm4/Ruvbl2/Nsmce2/Psmc3ip/Actl6a/Fen1/Trex1/Hspd1/Ruvbl1/Mcm5/Tbx21/Mcm3" 24
"GOBP_CELL_CYCLE_DNA_REPLICATION" "GOBP_CELL_CYCLE_DNA_REPLICATION" "GOBP_CELL_CYCLE_DNA_REPLICATION" "11/438" "45/8821" 8.73903721107511e-06 0.0035056334789462 0.00326700133509461 "Mcm6/Pola2/Pold2/Mcm2/Pole3/Tipin/Mcm4/Fen1/Mcm5/Pcna/Mcm3" 11
"GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "52/438" "566/8821" 9.68966847583749e-06 0.0035056334789462 0.00326700133509461 "Chek1/Cd44/Batf/Mcm6/Fus/Usp1/Hic1/Xrcc6/Taf9/Dek/Uchl5/Psmd14/Mre11a/Hus1/Pold2/Mcm2/Plk2/Pole3/Tipin/Mcm4/Ruvbl2/Smyd2/Nsmce2/Htra2/Actl6a/Cops5/Mrps11/Tmem109/Ssrp1/Fen1/Bax/Fh1/Mif/Commd1/Sumo1/Ints7/Wdhd1/Brcc3/Fem1b/Trex1/Rad23b/Rps27a/Ruvbl1/Mcm5/Ube2l6/Pcna/Nthl1/Nudt1/Cops4/Gtf2h4/Bcl2l1/Mcm3" 52
"GOBP_MITOCHONDRION_ORGANIZATION" "GOBP_MITOCHONDRION_ORGANIZATION" "GOBP_MITOCHONDRION_ORGANIZATION" "37/438" "350/8821" 9.80444416112984e-06 0.0035056334789462 0.00326700133509461 "Ndufab1/Hspa4/Pmpcb/Tfrc/Immt/Cycs/Hif1a/Tfb1m/Tomm22/Mipep/Tomm70a/Aifm1/Ndufb6/Cox7a2/Htra2/Lman1/Cox7a1/Tmem70/Bax/Sco1/Mtx1/Ywhae/Pdcd5/Ndufb9/Msto1/Ndufc1/Hspd1/Alas1/Atp5a1/Atp5e/Cox17/Ndufa5/Ywhag/Hax1/Akt3/Ndufb8/Bcl2l1" 37
"GOBP_DNA_GEOMETRIC_CHANGE" "GOBP_DNA_GEOMETRIC_CHANGE" "GOBP_DNA_GEOMETRIC_CHANGE" "15/438" "84/8821" 1.3613495692367e-05 0.00409623579130903 0.00381740072926611 "Mcm6/Xrcc6/Mre11a/Mcm2/Mcm4/Ruvbl2/G3bp1/Trex1/Rad23b/Rps27a/Ruvbl1/Mcm5/Hmga1/Gtf2h4/Mcm3" 15
