"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "54/771" "288/8821" 4.4058467904326e-08 0.000102359501972402 9.83491615927884e-05 "Il4ra/Cd40/Cd4/Sema7a/Hif1a/Laptm5/Cd6/Tlr6/Polr3e/Casp8/Il10/Mre11a/Tlr7/Cd160/Pou2af1/Il21/Tusc2/Casp1/Nr4a3/Ddt/Prkdc/Prkd2/Atf4/Crtam/Ddx58/Il16/Ifng/Ddx21/Frmd8/Furin/Xcl1/Gpsm3/Aif1/F2r/Xrcc6/Polr3d/Stat1/Ifih1/Hmox1/Ager/Ep300/Rsad2/P2rx7/Rasgrp1/Gata3/Gbp5/Scrib/Polr3b/Dhx33/Irf7/Egr1/Il12rb2/Polr2e/Card11" 54
"GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "78/771" "485/8821" 5.39444015664832e-08 0.000102359501972402 9.83491615927884e-05 "Il4ra/Lag3/Batf/Cd40/Cd4/Csk/Sema7a/Hif1a/Nckap1l/Laptm5/Cd6/Tlr6/Polr3e/Arrb2/Casp8/Il10/Gbp2/Mre11a/Tlr7/Cd160/Pou2af1/Il21/Pdcd4/Tusc2/Casp1/Nr4a3/Ddt/Prkdc/Lef1/Bst2/Prkd2/Atf4/Crtam/Ddx58/Il16/Ifng/Rps6ka5/Ddx21/Frmd8/Pik3cg/Lgals7/Furin/Xcl1/Gpsm3/Aif1/F2r/Xrcc6/Polr3d/Rnf125/Cd47/Stat1/Ptprs/Ifih1/Hmox1/Ager/Appl2/Ep300/Tia1/Pik3cd/Rsad2/Socs1/P2rx7/Rasgrp1/Adcy7/Gata3/Gbp5/Abcd1/Scrib/Ltbp1/Ube2l6/Tbx21/Polr3b/Dhx33/Irf7/Egr1/Il12rb2/Polr2e/Card11" 78
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "123/771" "895/8821" 9.82391775187442e-08 0.000122007380691796 0.000117227256560954 "Gbp3/Il4ra/Oas1g/Lag3/Ddx60/Batf/Oasl1/Coro1a/Dtx3l/Ifit2/Hexim1/Rgs1/Cd40/Cd4/Tnfaip8l2/Ifit3/Atp2a2/Tspan32/Hif1a/Laptm5/Cotl1/Cd6/Dab2ip/Tlr6/Polr3e/Mettl3/Arrb2/Sp100/Casp8/Ccr5/Il10/Plscr1/Gbp2/Tlr7/Cd160/Socs3/Usp18/Pou2af1/Il21/Fasl/Mov10/Hdac5/Pdcd4/Tusc2/Casp1/Masp2/Prkdc/Bst2/Rbm14/Wipi2/Akap12/Fgl2/Tspan6/Slc26a6/Crtam/Ddx58/Alad/Rtp4/Slpi/Ifng/Rps6ka5/Mecp2/Parp14/Oas2/Ddx21/Cxcl10/Slc15a3/Ext1/Bnip3l/Smpdl3b/Pik3cg/Ociad2/Xcl1/Aif1/F2r/Xrcc6/Polr3d/Rnf125/Sumo1/Cd47/Ifi35/Irak2/Prkacb/Stat1/Tbxa2r/Ifih1/Ager/Appl2/Ep300/Was/Cnp/Pik3cd/Rsad2/Socs1/Dapk1/Mef2c/Plac8/Rasgrp1/H2-Ab1/Gata3/Gbp5/Pim2/Atad3a/Rps15a/Zmynd11/Scrib/Tarbp2/Tbx21/Polr3b/Exosc4/St13/Hsf1/Klrk1/Cnr2/Irf7/Egr1/Map4k2/Lgals8/Jak1/Ankrd17/Mapkapk3/Mgst2/Card11" 123
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "110/771" "779/8821" 1.28598029714673e-07 0.000122007380691796 0.000117227256560954 "Gm2a/Il4ra/Oas1g/Lag3/Ddx60/Batf/Scamp1/Oasl1/Coro1a/Dtx3l/Ifit2/Plcl2/Tbc1d10c/Ctsa/Cd40/Rab3a/Tfrc/Tspan14/Nfkbid/Ifit3/Actb/Tspan32/Sema7a/Nckap1l/Laptm5/Cotl1/Gmfg/Polr3e/Vapa/Arrb2/Il10/Plscr1/Gbp2/Rab3d/Rapgef1/Tlr7/Cd160/Ampd3/Pou2af1/Il21/Mov10/Tusc2/Nr4a3/Rab37/Masp2/Prkdc/Iqgap2/Lef1/Bst2/Slc44a2/Fgl2/Neu1/Tspan6/Crtam/Ddx58/Ypel5/Alad/Rtp4/Slpi/Ifng/Oas2/Ddx21/Cxcl10/Bnip3l/Pik3cg/H2-DMb2/Psap/Xcl1/Xrcc6/Polr3d/Rnf125/Cd47/Ifi35/Vcl/Vav2/Stat1/Sema4a/Cat/Ifih1/H2-DMb1/Hmox1/Ager/Appl2/Was/St3gal1/Sell/Pik3cd/Rsad2/Plaur/S100a11/Plac8/Rasgrp1/H2-Ab1/Arhgap9/Gata3/Cant1/Arsa/Atad3a/Zmynd11/Tarbp2/Tbx21/Polr3b/Exosc4/Klrk1/Irf7/Ankrd17/B4galt1/Cnn2/Stk10/Eomes" 110
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "130/771" "982/8821" 3.5734963046377e-07 0.000271228369522002 0.000260601919984527 "Gbp3/Il4ra/Oas1g/Lag3/Ddx60/Batf/Timp1/Lgals3bp/Oasl1/Coro1a/Dtx3l/Ifit2/Hexim1/Cd40/Cd4/Ecm1/Nfkbid/Tnfaip8l2/Ifit3/Pik3ap1/Tspan32/Sema7a/Hif1a/Laptm5/Cotl1/Cd6/Dab2ip/Tlr6/Polr3e/Mettl3/Arrb2/Sp100/Ccr5/Il10/Plscr1/Gbp2/Tlr7/Cd160/Socs3/Usp18/Il21/Fasl/Mov10/Hdac5/Pdcd4/Tusc2/Casp1/Ddt/Masp2/Prkdc/Bst2/Rbm14/Wipi2/Fgl2/Tspan6/Slc26a6/Crtam/Ddx58/Il16/Rtp4/Slpi/Ifng/Rps6ka5/Mecp2/Parp14/Oas2/Ddx21/Cxcl10/Slc15a3/Ext1/Bnip3l/Igfbp4/Smpdl3b/Pik3cg/Ociad2/Xcl1/Gpsm3/Aif1/F2r/Xrcc6/Polr3d/Rnf125/Sumo1/Cd47/Ifi35/Irak2/Mcph1/Prkacb/Stat1/Tbxa2r/Atm/Ifih1/Hmox1/Ager/Setd6/Appl2/Ep300/Was/Ets1/Pik3cd/Rsad2/Zfp148/Socs1/Dapk1/Mef2c/Plac8/Rasgrp1/H2-Ab1/Tap1/Adcy7/Gata3/Gbp5/Abcd1/Atad3a/Zmynd11/Tarbp2/Polr3b/Exosc4/Hsf1/Klrk1/Cnr2/Irf7/Egr1/Map4k2/Lgals8/Jak1/Ankrd17/B4galt1/Mgst2/Card11" 130
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "45/771" "238/8821" 4.7134238843705e-07 0.000298124060686434 0.000286443865534376 "Oas1g/Ddx60/Oasl1/Dtx3l/Ifit2/Cd40/Ifit3/Tspan32/Hif1a/Polr3e/Plscr1/Gbp2/Tlr7/Pou2af1/Il21/Mov10/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Ddx21/Cxcl10/Ext1/Bnip3l/Xcl1/Polr3d/Rnf125/Stat1/Ifih1/Rsad2/Gata3/Pim2/Atad3a/Rps15a/Zmynd11/Tarbp2/Tbx21/Polr3b/Exosc4/Irf7/Lgals8/Ankrd17" 45
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "36/771" "173/8821" 6.32025122210535e-07 0.000342647905541283 0.000329223311780044 "Oas1g/Ddx60/Oasl1/Dtx3l/Ifit2/Cd40/Ifit3/Tspan32/Polr3e/Plscr1/Gbp2/Tlr7/Il21/Mov10/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Ddx21/Cxcl10/Bnip3l/Polr3d/Rnf125/Stat1/Ifih1/Rsad2/Atad3a/Zmynd11/Tarbp2/Polr3b/Exosc4/Irf7/Ankrd17" 36
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "96/771" "682/8821" 1.04959781103057e-06 0.000497902961607625 0.000478395633869722 "Gbp3/Il4ra/Oas1g/Lag3/Ddx60/Batf/Oasl1/Coro1a/Dtx3l/Ifit2/Hexim1/Cd40/Cd4/Tnfaip8l2/Ifit3/Tspan32/Cotl1/Cd6/Dab2ip/Tlr6/Polr3e/Mettl3/Arrb2/Sp100/Il10/Plscr1/Gbp2/Tlr7/Cd160/Socs3/Usp18/Il21/Fasl/Mov10/Tusc2/Casp1/Masp2/Prkdc/Bst2/Rbm14/Wipi2/Fgl2/Tspan6/Slc26a6/Crtam/Ddx58/Rtp4/Slpi/Ifng/Rps6ka5/Parp14/Oas2/Ddx21/Cxcl10/Slc15a3/Bnip3l/Smpdl3b/Pik3cg/Ociad2/Xcl1/Aif1/Xrcc6/Polr3d/Rnf125/Sumo1/Cd47/Ifi35/Prkacb/Stat1/Ifih1/Ager/Appl2/Ep300/Was/Pik3cd/Rsad2/Socs1/Dapk1/Plac8/Rasgrp1/H2-Ab1/Gata3/Gbp5/Atad3a/Zmynd11/Tarbp2/Polr3b/Exosc4/Klrk1/Irf7/Egr1/Map4k2/Lgals8/Jak1/Ankrd17/Card11" 96
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "117/771" "908/8821" 5.93977475680598e-06 0.00250460502245319 0.00240647716462876 "Il4ra/Lag3/Ddx60/Coro1a/Dtx3l/Hexim1/Plcl2/Tbc1d10c/Sh3kbp1/Creb3/Cd40/Cd4/Tfrc/Ecm1/Nfkbid/Tnfaip8l2/Csk/Map3k1/Actb/Tspan32/Itgb7/Sema7a/Hif1a/Nckap1l/Laptm5/Cd6/Tlr6/Mettl3/Arrb2/Casp8/Il10/Plscr1/Gbp2/Rapgef1/Cd160/Socs3/Usp18/Cd8b1/Il21/Lgmn/Mov10/Klhl6/Rin3/Nr4a3/Ddt/Masp2/Prkdc/Lef1/Bst2/Rbm14/Prkd2/Fgl2/Tec/Tspan6/Gpr171/Crtam/Ddx58/Skap1/Ifng/Rps6ka5/Parp14/Ddx21/Lif/Cxcl10/H2-DMb2/Lgals7/Xcl1/Gpsm3/Aif1/Xrcc6/Polr3d/Rnf125/Sumo1/Cd47/Ifi35/Fyb/Vav2/Prkacb/Stat1/Atm/Ldb1/Tsc22d3/H2-DMb1/Hmox1/Ager/Appl2/Grap2/Ep300/Flt3l/Was/Ets1/Sell/Pik3cd/Rsad2/Socs1/Mef2c/Rasgrp1/H2-Ab1/Adcy7/Lime1/Gata3/Gbp5/Rassf2/Scrib/Tarbp2/Tbx21/Polr3b/Tapbpl/Klrk1/Cnr2/Irf7/Jak1/Ankrd17/Btla/Lpxn/Card11/Stk10" 117
"GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "115/771" "924/8821" 3.5959089544326e-05 0.012833471081345 0.0123306688373286 "Gm2a/Bcl11b/Il4ra/Lag3/Batf/Scamp1/Timp1/Coro1a/Plcl2/Tbc1d10c/Ctsa/Sh3kbp1/Cd40/Rab3a/Cd4/Tfrc/Tspan14/Nfkbid/Tnfaip8l2/Csk/Actb/Tspan32/Nckap1l/Laptm5/Cotl1/Lmo4/Cd6/Tlr6/Gmfg/Selplg/Vapa/Mettl3/Arrb2/Casp8/Il10/Plscr1/Rab3d/Tlr7/Cd160/Ampd3/Cd8b1/Pou2af1/Il21/Itpr1/Hdac5/Tusc2/Nr4a3/Rab37/Prkdc/Iqgap2/Lef1/Bst2/Slc44a2/Akap12/Fgl2/Neu1/Tec/Crtam/Ypel5/Alad/Gnaq/Slpi/Ifng/Cxcl10/Pik3cg/H2-DMb2/Psap/Lgals7/Itpr2/Xcl1/Aif1/F2r/Xrcc6/Cd47/Ifi35/Vcl/Vav2/Sema4a/Atm/Cat/Itpr3/H2-DMb1/Hmox1/Ager/Grap2/Ep300/Flt3l/Was/St3gal1/Sell/Pik3cd/Rsad2/Socs1/Plaur/S100a11/Mef2c/Plac8/Rasgrp1/Arhgap9/Gata3/Cant1/Arsa/Atad3a/Scrib/Tbx21/Prmt5/Klrk1/Cnr2/Egr1/B4galt1/Btla/Cnn2/Card11/Stk10/Eomes" 115
