"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "96/477" "895/8821" 1.51176654585088e-11 5.16570628717244e-08 4.71193762343625e-08 "Ticam2/Gbp3/Il4ra/Ddit4/Ddx60/Batf/Ifit2/Rab27a/Hexim1/Lgals9/Psmd9/Lgals3/Ifit3/Cd6/Apobec1/Sp100/Il10/Eprs/Unc13d/Smpd1/Psmd14/Tomm70a/Gstp1/Tlr7/Socs3/Zbp1/Vim/Pou2af1/Fasl/Mov10/Vamp8/H2-M3/Casp1/Grn/Psmd12/Pstpip1/Tspan6/Apaf1/Slc26a6/Crtam/Ddx58/Jak3/Tspo/Rtp4/Rps6ka5/Parp14/Oas2/Ddx21/Samhd1/Psmb5/Ext1/Trafd1/Bax/Malt1/Prkra/Psmd6/Xrcc6/Mif/Ifi35/Rarres2/Irak2/Stat1/Capn2/Cdk4/Ythdf2/Edn1/Cct5/Ifih1/Camk2g/Sla/Psmd8/Rsad2/Socs1/Dapk1/Dhx58/Mef2c/Cd226/Gata3/Gbp5/Prkca/Pim2/Scrib/Tarbp2/Csf2/Tbx21/Sigirr/Hsf1/Atg10/Klrk1/Irf7/Egr1/Rnf135/Hmga1/Mapkapk3/Bcl2l1/Ppm1b" 96
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "74/477" "682/8821" 3.08570989852114e-09 5.06643544621485e-06 4.62138698342411e-06 "Ticam2/Gbp3/Il4ra/Ddit4/Ddx60/Batf/Ifit2/Rab27a/Hexim1/Lgals9/Psmd9/Lgals3/Ifit3/Cd6/Apobec1/Sp100/Il10/Eprs/Unc13d/Smpd1/Psmd14/Tomm70a/Tlr7/Socs3/Zbp1/Vim/Fasl/Mov10/Vamp8/H2-M3/Casp1/Grn/Psmd12/Pstpip1/Tspan6/Slc26a6/Crtam/Ddx58/Jak3/Rtp4/Rps6ka5/Parp14/Oas2/Ddx21/Samhd1/Psmb5/Trafd1/Malt1/Psmd6/Xrcc6/Mif/Ifi35/Rarres2/Stat1/Ythdf2/Edn1/Ifih1/Camk2g/Sla/Psmd8/Rsad2/Socs1/Dapk1/Dhx58/Cd226/Gata3/Gbp5/Tarbp2/Klrk1/Irf7/Egr1/Rnf135/Bcl2l1/Ppm1b" 74
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "37/477" "238/8821" 4.44814349974965e-09 5.06643544621485e-06 4.62138698342411e-06 "Ddit4/Ddx60/Ifit2/Lgals9/Ifit3/Apobec1/Unc13d/Smpd1/Tomm70a/Tlr7/Zbp1/Pou2af1/Mov10/Vamp8/Tspan6/Ddx58/Rtp4/Oas2/Ddx21/Samhd1/Ext1/Bax/Prkra/Stat1/Cct5/Ifih1/Rsad2/Dhx58/Gata3/Pim2/Tarbp2/Tbx21/Irf7/Rnf135/Hmga1/Bcl2l1/Ppm1b" 37
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "62/477" "546/8821" 1.26526841822591e-08 9.07499329110446e-06 8.27782300108138e-06 "Ticam2/Gbp3/Ddx60/Ifit2/Rab27a/Hexim1/Lgals9/Psmd9/Lgals3/Ifit3/Cd6/Sp100/Eprs/Unc13d/Smpd1/Psmd14/Tomm70a/Tlr7/Socs3/Zbp1/Vim/Fasl/H2-M3/Casp1/Grn/Psmd12/Pstpip1/Slc26a6/Crtam/Ddx58/Jak3/Rps6ka5/Parp14/Oas2/Ddx21/Samhd1/Psmb5/Trafd1/Malt1/Psmd6/Xrcc6/Mif/Ifi35/Rarres2/Stat1/Ythdf2/Edn1/Ifih1/Camk2g/Sla/Psmd8/Rsad2/Socs1/Dapk1/Dhx58/Cd226/Gata3/Gbp5/Klrk1/Irf7/Egr1/Rnf135" 62
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "80/477" "787/8821" 1.32791824569863e-08 9.07499329110446e-06 8.27782300108138e-06 "Ticam2/Gbp3/Il4ra/Batf/Tnfrsf9/Ifit2/Lgals9/Psmd9/Tfrc/Ecm1/Ifit3/Taf9/Sp100/Il10/Eprs/Cd70/Smpd1/Psmd14/Gstp1/Rapgef1/Socs3/Zbp1/Vim/Fasl/Tnfrsf12a/Hdgf/H2-M3/Casp1/Pias3/Irs2/Psmd12/Slc26a6/Ddx58/Jak3/Pmm1/Rps6ka5/Parp14/Oas2/Lif/Smarca5/Smpd4/Samhd1/Psmb5/Ext1/Il3/Atic/Parp16/Psmd6/Mif/Zc3h15/Ifi35/Cish/Irak2/Stat1/Acsl4/Capn2/Fscn1/Cdk4/Ythdf2/Edn1/Ifih1/Camk2g/Rad23b/Psmd8/Rps27a/Rsad2/Prlr/Socs1/Dapk1/Gata3/Gbp5/Prkca/Csf2/Sigirr/Irf7/Egr1/Cth/Mapkapk3/Hax1/Bcl2l1" 80
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "76/477" "779/8821" 1.84821638763886e-07 0.000105255923276033 9.60099776105029e-05 "Ticam2/Ctsb/Il4ra/Ddit4/Arsb/Ddx60/Batf/Scamp1/Ifit2/Rab27a/Lgals9/Lgals3/Tfrc/Ifit3/Manba/Actb/Pkn1/Apobec1/Idh1/Il10/Unc13d/Cd70/Pdap1/Psmd14/Tomm70a/Gstp1/Rapgef1/Tlr7/Eef2/Zbp1/Pou2af1/Mov10/Vamp8/H2-M3/Hexb/Grn/Psmd12/Tspan6/Apaf1/Crtam/Ddx58/Jak3/Rtp4/Oas2/Ddx21/Acaa1a/Samhd1/Ctsz/Myo18a/Kpnb1/Malt1/Psmd6/Xrcc6/Mif/Ifi35/Stat1/Trappc1/Itm2a/Rac2/Ifih1/St3gal1/Rsad2/Dhx58/Cd226/Gata3/Serpinb6a/Tarbp2/Tbx21/Klrk1/Irf7/Rnf135/Commd3/Myo1g/Kcnab2/Bcl2l1/Ppm1b" 76
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "37/477" "280/8821" 3.44073726466038e-07 0.000167957131904922 0.000153203353994878 "Ddx60/Hexim1/Lgals9/Psmd9/Psmd14/Tomm70a/Socs3/Zbp1/H2-M3/Grn/Psmd12/Tspan6/Crtam/Ddx58/Rps6ka5/Parp14/Samhd1/Psmb5/Trafd1/Malt1/Psmd6/Xrcc6/Ifi35/Stat1/Ythdf2/Psmd8/Socs1/Dhx58/Cd226/Gbp5/Prkca/Tarbp2/Sigirr/Klrk1/Irf7/Rnf135/Ppm1b" 37
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "30/477" "213/8821" 1.19550393112424e-06 0.000510629616581441 0.000465774623691957 "Hexim1/Lgals9/Psmd9/Psmd14/Tomm70a/Socs3/Zbp1/H2-M3/Grn/Psmd12/Crtam/Rps6ka5/Parp14/Samhd1/Psmb5/Trafd1/Malt1/Psmd6/Xrcc6/Ifi35/Stat1/Ythdf2/Psmd8/Socs1/Dhx58/Cd226/Gbp5/Klrk1/Irf7/Rnf135" 30
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "26/477" "173/8821" 1.81469928057902e-06 0.000688980826859833 0.000628459014011048 "Ddit4/Ddx60/Ifit2/Ifit3/Apobec1/Unc13d/Tomm70a/Tlr7/Zbp1/Mov10/Vamp8/Tspan6/Ddx58/Rtp4/Oas2/Ddx21/Samhd1/Stat1/Ifih1/Rsad2/Dhx58/Tarbp2/Irf7/Rnf135/Bcl2l1/Ppm1b" 26
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "86/477" "982/8821" 2.8055045942555e-06 0.000958640919857103 0.000874431484588477 "Ticam2/Gbp3/Il4ra/Ddit4/Ddx60/Batf/Lgals3bp/Ifit2/Rab27a/Hexim1/Lgals9/Psmd9/Lgals3/Ecm1/Ifit3/Cd6/Apobec1/Sp100/Spp1/Il10/Eprs/Unc13d/Smpd1/Psmd14/Tomm70a/Gstp1/Tlr7/Socs3/Zbp1/Vim/Fasl/Mov10/Vamp8/H2-M3/Casp1/Grn/Psmd12/Pstpip1/Tspan6/Slc26a6/Crtam/Ddx58/Jak3/Rtp4/Rps6ka5/Parp14/Oas2/Dpp4/Ddx21/Samhd1/Psmb5/Ext1/Trafd1/Malt1/Psmd6/Xrcc6/Mif/Ifi35/Rarres2/Irak2/Stat1/Atm/Ythdf2/Edn1/Ifih1/Camk2g/Sla/Psmd8/Rsad2/Socs1/Dapk1/Dhx58/Mef2c/Cd226/Tap1/Gata3/Gbp5/Tarbp2/Sigirr/Hsf1/Klrk1/Irf7/Egr1/Rnf135/Bcl2l1/Ppm1b" 86
