"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "41/80" "982/8821" 5.37614321631268e-19 9.02116831697268e-16 7.75862352585757e-16 "Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Ifit3/Pik3ap1/Tlr7/Usp18/Gbp3/Ccr5/Casp1/Bst2/Fgl2/Mgll/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Stap1/Smpdl3b/Ociad2/Ifi35/Irak2/Ifih1/Rsad2/Mef2c/Plac8/Tap1/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7" 41
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "38/80" "895/8821" 1.23919101385732e-17 1.03968126062629e-14 8.94174147367569e-15 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Usp18/Gbp3/Ccr5/Casp1/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Stap1/Smpdl3b/Ociad2/Ifi35/Irak2/Ifih1/Rsad2/Mef2c/Plac8/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7/Rgs1" 38
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "20/80" "173/8821" 2.99536933846143e-17 1.67540991664609e-14 1.44093030281776e-14 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Irf9/Cxcl10/Ifih1/Rsad2/Tarbp2/Irf7" 20
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "33/80" "682/8821" 9.57020465146256e-17 4.01470085128854e-14 3.45282909925136e-14 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Usp18/Gbp3/Casp1/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Smpdl3b/Ociad2/Ifi35/Ifih1/Rsad2/Plac8/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7" 33
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "21/80" "238/8821" 1.15051451287542e-15 3.86112670520991e-13 3.32074820453095e-13 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Irf9/Cxcl10/Ifih1/Rsad2/Gata3/Tarbp2/Irf7" 21
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "12/80" "76/8821" 2.56937036174024e-12 7.18567244500021e-10 6.18001187008047e-10 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Usp18/Bst2/Oas2/Irf9/Ifi35/Rsad2/Irf7" 12
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "25/80" "546/8821" 5.29224965668593e-12 1.26862784627414e-09 1.09107883899495e-09 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Usp18/Gbp3/Casp1/Bst2/Ddx58/Ifng/Parp14/Oas2/Irf9/Smpdl3b/Ifi35/Ifih1/Rsad2/Gata3/Gbp5/Ffar2/Klrk1/Irf7" 25
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "28/80" "779/8821" 6.52756934683821e-11 1.36915767049932e-08 1.17753915454147e-08 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Irf9/Cxcl10/Stap1/Ifi35/Ifih1/Rsad2/Plac8/Gata3/Tarbp2/Ffar2/Klrk1/Irf7/Eomes" 28
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "28/80" "787/8821" 8.31081325398999e-11 1.54950496002169e-08 1.33264619546436e-08 "Il4ra/Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Usp18/Gbp3/Ccr5/Casp1/Bst2/Ddx58/Ifng/Parp14/Oas2/Irf9/Cxcl10/Stap1/Snx10/Ifi35/Irak2/Fscn1/Ifih1/Rsad2/Gata3/Gbp5/Irf7/Il12rb2" 28
"GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "21/80" "426/8821" 1.01744799245134e-10 1.70727773133336e-08 1.46833810279031e-08 "Stat1/Pik3ap1/Tlr7/Usp18/Casp1/Fgl2/Mgll/Tspan6/Ddx58/Ifng/Parp14/Stap1/Smpdl3b/Ifi35/Mef2c/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7" 21
