"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "17/41" "895/8821" 1.58514961791623e-07 0.000112800732246612 9.813473942147e-05 "Oas1g/Oasl1/Apobec1/Ccr5/Usp18/Zbp1/Gbp3/Bst2/Fgl2/Ifng/Cxcl10/Smpdl3b/Ociad2/Edn1/Plac8/Rgs1/Gbp5" 17
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "15/41" "682/8821" 1.71690612247507e-07 0.000112800732246612 9.813473942147e-05 "Oas1g/Oasl1/Apobec1/Usp18/Zbp1/Gbp3/Bst2/Fgl2/Ifng/Cxcl10/Smpdl3b/Ociad2/Edn1/Plac8/Gbp5" 15
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "17/41" "982/8821" 6.07927145593809e-07 0.000266272089770088 0.000231652238636799 "Oas1g/Oasl1/Pik3ap1/Apobec1/Ccr5/Usp18/Zbp1/Gbp3/Bst2/Fgl2/Ifng/Cxcl10/Smpdl3b/Ociad2/Edn1/Plac8/Gbp5" 17
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "8/41" "173/8821" 1.02431966601109e-06 0.000336489010284643 0.000292739778233696 "Oas1g/Oasl1/Apobec1/Zbp1/Bst2/Fgl2/Ifng/Cxcl10" 8
"GOBP_RESPONSE_TO_INTERFERON_GAMMA" "GOBP_RESPONSE_TO_INTERFERON_GAMMA" "GOBP_RESPONSE_TO_INTERFERON_GAMMA" "7/41" "143/8821" 3.60182294883667e-06 0.000946559070954276 0.000823490467881394 "Oas1g/Oasl1/Gbp3/Bst2/Ifng/Edn1/Gbp5" 7
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "8/41" "238/8821" 1.10455359880389e-05 0.00241897238138051 0.00210446527772109 "Oas1g/Oasl1/Apobec1/Zbp1/Bst2/Fgl2/Ifng/Cxcl10" 8
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "5/41" "76/8821" 2.44500892856678e-05 0.00458963104590965 0.00399290179913312 "Oas1g/Oasl1/Usp18/Zbp1/Bst2" 5
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "13/41" "787/8821" 3.41365686667222e-05 0.00560693140350912 0.00487793599632372 "Oas1g/Oasl1/Ccr5/Usp18/Zbp1/Gbp3/Bst2/Ifng/Cxcl10/Snx10/Edn1/Il12rb2/Gbp5" 13
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "11/41" "609/8821" 7.26147267380979e-05 0.00968498015211195 0.00842576980308706 "Nrp1/Bst2/Fgl2/Ifng/Cxcl10/Prickle1/Furin/Edn1/Plac8/Id1/Ube2l6" 11
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "11/41" "610/8821" 7.37060894376861e-05 0.00968498015211195 0.00842576980308706 "Nrp1/Pik3ap1/Ntrk3/Usp18/Zbp1/Fgl2/Ifng/Cxcl10/Smpdl3b/Edn1/Gbp5" 11
