"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "2/4" "80/8821" 0.000481667053057206 0.0761033943830386 0.0425895078492688 "Gipr/Mgll" 2
"GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "1/4" "10/8821" 0.00452769669296726 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "1/4" "12/8821" 0.00543138781827013 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "1/4" "13/8821" 0.00588300258143626 0.082715800082015 0.0462899880538925 "Gipr" 1
"GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "1/4" "13/8821" 0.00588300258143626 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "1/4" "15/8821" 0.00678577068347186 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_SIALYLATION" "GOBP_SIALYLATION" "GOBP_SIALYLATION" "1/4" "16/8821" 0.00723692409220089 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "1/4" "17/8821" 0.0076879237859695 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "1/4" "18/8821" 0.00813876979969663 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_REGULATION_OF_SENSORY_PERCEPTION" "GOBP_REGULATION_OF_SENSORY_PERCEPTION" "GOBP_REGULATION_OF_SENSORY_PERCEPTION" "1/4" "18/8821" 0.00813876979969663 0.082715800082015 0.0462899880538925 "Mgll" 1
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "1/4" "20/8821" 0.00904000092668578 0.082715800082015 0.0462899880538925 "Gipr" 1
"GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "1/4" "20/8821" 0.00904000092668578 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "1/4" "20/8821" 0.00904000092668578 0.082715800082015 0.0462899880538925 "Gipr" 1
"GOBP_MATURE_B_CELL_DIFFERENTIATION" "GOBP_MATURE_B_CELL_DIFFERENTIATION" "GOBP_MATURE_B_CELL_DIFFERENTIATION" "1/4" "21/8821" 0.0094903861097666 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS" "GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS" "GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS" "1/4" "21/8821" 0.0094903861097666 0.082715800082015 0.0462899880538925 "Mgll" 1
"GOBP_GANGLIOSIDE_METABOLIC_PROCESS" "GOBP_GANGLIOSIDE_METABOLIC_PROCESS" "GOBP_GANGLIOSIDE_METABOLIC_PROCESS" "1/4" "22/8821" 0.00994061775244404 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_KERATAN_SULFATE_METABOLIC_PROCESS" "GOBP_KERATAN_SULFATE_METABOLIC_PROCESS" "GOBP_KERATAN_SULFATE_METABOLIC_PROCESS" "1/4" "23/8821" 0.0103906958896176 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "1/4" "24/8821" 0.0108406205561828 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_AMINO_SUGAR_METABOLIC_PROCESS" "GOBP_AMINO_SUGAR_METABOLIC_PROCESS" "GOBP_AMINO_SUGAR_METABOLIC_PROCESS" "1/4" "25/8821" 0.0112903917870315 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "1/4" "25/8821" 0.0112903917870315 0.082715800082015 0.0462899880538925 "Gipr" 1
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS" "1/4" "25/8821" 0.0112903917870315 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT" "GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT" "GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT" "1/4" "27/8821" 0.0121894740811251 0.082715800082015 0.0462899880538925 "Gipr" 1
"GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS" "GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS" "GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS" "1/4" "27/8821" 0.0121894740811251 0.082715800082015 0.0462899880538925 "Mgll" 1
"GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS" "GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS" "GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS" "1/4" "28/8821" 0.0126387852141333 0.082715800082015 0.0462899880538925 "Mgll" 1
"GOBP_O_GLYCAN_PROCESSING" "GOBP_O_GLYCAN_PROCESSING" "GOBP_O_GLYCAN_PROCESSING" "1/4" "29/8821" 0.0130879430509517 0.082715800082015 0.0462899880538925 "St3gal1" 1
"GOBP_LIPID_BIOSYNTHETIC_PROCESS" "GOBP_LIPID_BIOSYNTHETIC_PROCESS" "GOBP_LIPID_BIOSYNTHETIC_PROCESS" "2/4" "459/8821" 0.0151138053502702 0.0842078212175621 0.047124963239675 "Mgll/St3gal1" 2
