"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "2/5" "24/8821" 7.05966901734265e-05 0.016110802840172 0.00985222028321295 "Adar/Zbp1" 2
"GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "2/5" "25/8821" 7.67181087627238e-05 0.016110802840172 0.00985222028321295 "Nrp1/Prickle1" 2
"GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "2/5" "57/8821" 0.00040518240331377 0.0567255364639278 0.0346893004942315 "Nrp1/Prickle1" 2
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "2/5" "76/8821" 0.000720417433969033 0.0756438305667485 0.0462583826022221 "Adar/Zbp1" 2
"GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "2/5" "98/8821" 0.00119544535061607 0.10041740945175 0.061408140115857 "Zbp1/Ube2l6" 2
"GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "2/5" "129/8821" 0.0020618581187164 0.101636651318513 0.062153741658439 "Adar/Zbp1" 2
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "3/5" "609/8821" 0.00294729182650048 0.101636651318513 0.062153741658439 "Nrp1/Prickle1/Ube2l6" 3
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "3/5" "610/8821" 0.00296132916105885 0.101636651318513 0.062153741658439 "Adar/Nrp1/Zbp1" 3
"GOBP_STEM_CELL_DIFFERENTIATION" "GOBP_STEM_CELL_DIFFERENTIATION" "GOBP_STEM_CELL_DIFFERENTIATION" "2/5" "160/8821" 0.00315426362462475 0.101636651318513 0.062153741658439 "Nrp1/Prickle1" 2
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "2/5" "173/8821" 0.00367843391406061 0.101636651318513 0.062153741658439 "Adar/Zbp1" 2
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "3/5" "696/8821" 0.00433402843317366 0.101636651318513 0.062153741658439 "Adar/Nrp1/Zbp1" 3
"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS" "GOBP_EPITHELIAL_TUBE_MORPHOGENESIS" "GOBP_EPITHELIAL_TUBE_MORPHOGENESIS" "2/5" "195/8821" 0.00465302431105943 0.101636651318513 0.062153741658439 "Nrp1/Prickle1" 2
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "2/5" "213/8821" 0.00553122172383635 0.101636651318513 0.062153741658439 "Adar/Zbp1" 2
