"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "14/54" "238/8821" 9.20422722235602e-11 1.24165025229583e-07 1.14035530954874e-07 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Tspan6/Rtp4/Oas2/Ifih1/Rsad2/Gata3/Pim2/Tarbp2/Irf7" 14
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "12/54" "173/8821" 3.7072900570015e-10 2.50056714344751e-07 2.29656863004777e-07 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Tspan6/Rtp4/Oas2/Ifih1/Rsad2/Tarbp2/Irf7" 12
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "20/54" "682/8821" 1.1574264282021e-09 5.20456083881542e-07 4.77996809120655e-07 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 20
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "22/54" "895/8821" 3.51711923485815e-09 1.18614846195591e-06 1.08938140511264e-06 "Cd86/Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Pim2/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 22
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "17/54" "546/8821" 1.23665800064011e-08 3.33650328572702e-06 3.06430835105981e-06 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Pparg/Klrk1/Irf7/Gbp5" 17
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "22/54" "982/8821" 1.98415789025388e-08 4.46104832325415e-06 4.09711199443653e-06 "Oas1g/Ddx60/Lgals3bp/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Adora3/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 22
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "7/54" "76/8821" 3.40787896494357e-07 6.5674696052984e-05 6.031689536449e-05 "Oas1g/Ifit2/Ifit3/Oas2/Ifi35/Rsad2/Irf7" 7
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "18/54" "779/8821" 4.02284706237061e-07 6.78352585892244e-05 6.23011972685553e-05 "Cd86/Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Tspan6/Rtp4/Oas2/Ifi35/Ifih1/St3gal1/Rsad2/Gata3/Tarbp2/Klrk1/Irf7/Eomes" 18
"GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "8/54" "142/8821" 2.06162571244012e-06 0.000309014787342413 0.000283805083455207 "Ddx60/Tlr7/Tspan6/Smpdl3b/Ifi35/Ifih1/Rsad2/Irf7" 8
"GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "6/54" "71/8821" 4.17812660245515e-06 0.0005636292786712 0.00051764789590418 "Ddx60/Tspan6/Smpdl3b/Ifi35/Rsad2/Irf7" 6
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "14/54" "610/8821" 1.20124850723084e-05 0.00147316748750401 0.00135298516077579 "Ddx60/Tlr7/Tspan6/Smpdl3b/Ifi35/Muc13/Tiam1/Sema4b/Gata3/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 14
