"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_BLASTOCYST_FORMATION" "GOBP_BLASTOCYST_FORMATION" "GOBP_BLASTOCYST_FORMATION" "2/9" "22/8821" 0.000211524074756685 0.0421005307948195 0.0310358790361261 "Furin/Hopx" 2
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "2/9" "25/8821" 0.000274270558923905 0.0421005307948195 0.0310358790361261 "Furin/Ltbp1" 2
"GOBP_RESPONSE_TO_FATTY_ACID" "GOBP_RESPONSE_TO_FATTY_ACID" "GOBP_RESPONSE_TO_FATTY_ACID" "2/9" "45/8821" 0.000895556340718562 0.0916452655335328 0.0675595134226283 "Gipr/Ffar2" 2
"GOBP_BLASTOCYST_DEVELOPMENT" "GOBP_BLASTOCYST_DEVELOPMENT" "GOBP_BLASTOCYST_DEVELOPMENT" "2/9" "57/8821" 0.00143459619626356 0.110105258063228 0.081167942683333 "Furin/Hopx" 2
"GOBP_REGULATION_OF_HORMONE_LEVELS" "GOBP_REGULATION_OF_HORMONE_LEVELS" "GOBP_REGULATION_OF_HORMONE_LEVELS" "3/9" "285/8821" 0.0024255594922966 0.138019367645499 0.101745805053256 "Furin/Gipr/Ffar2" 3
"GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "2/9" "80/8821" 0.00280601793964279 0.138019367645499 0.101745805053256 "Gipr/Mgll" 2
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "2/9" "118/8821" 0.00600746104600134 0.138019367645499 0.101745805053256 "Furin/Ltbp1" 2
"GOBP_REGULATION_OF_PEPTIDE_HORMONE_SECRETION" "GOBP_REGULATION_OF_PEPTIDE_HORMONE_SECRETION" "GOBP_REGULATION_OF_PEPTIDE_HORMONE_SECRETION" "2/9" "124/8821" 0.00661557744227868 0.138019367645499 0.101745805053256 "Gipr/Ffar2" 2
"GOBP_PEPTIDE_HORMONE_SECRETION" "GOBP_PEPTIDE_HORMONE_SECRETION" "GOBP_PEPTIDE_HORMONE_SECRETION" "2/9" "145/8821" 0.008956388384382 0.138019367645499 0.101745805053256 "Gipr/Ffar2" 2
"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "2/9" "151/8821" 0.00968473828135428 0.138019367645499 0.101745805053256 "Furin/Ltbp1" 2
