"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "12/19" "982/8821" 8.13094034116308e-08 5.57782507403787e-05 4.27944228482267e-05 "Trim25/Adar/Pik3ap1/Ccr5/Usp18/Zbp1/Bst2/Fgl2/Selp/Cxcr3/Plac8/Ffar2" 12
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "9/19" "682/8821" 4.2698256853573e-06 0.000988690070933274 0.000758546931819299 "Trim25/Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Plac8/Ffar2" 9
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "10/19" "895/8821" 4.32371751137e-06 0.000988690070933274 0.000758546931819299 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Fgl2/Selp/Plac8/Ffar2" 10
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "8/19" "540/8821" 7.75460992523499e-06 0.0013299156021778 0.00102034341121513 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Cxcr3/Il12rb2" 8
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "3/19" "24/8821" 1.66671047552821e-05 0.00204440771792579 0.00156851904091283 "Adar/Usp18/Zbp1" 3
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "4/19" "76/8821" 1.78811170664063e-05 0.00204440771792579 0.00156851904091283 "Adar/Usp18/Zbp1/Bst2" 4
"GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "7/19" "440/8821" 2.18731199540268e-05 0.00206571025957335 0.00158486286602221 "Pik3ap1/Ccr5/Usp18/Zbp1/Selp/Cxcr3/Ffar2" 7
"GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "5/19" "171/8821" 2.40899155635376e-05 0.00206571025957335 0.00158486286602221 "Nrp1/Ccr5/Ch25h/Cxcr3/Ffar2" 5
"GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "4/19" "117/8821" 9.7696637976724e-05 0.00682523198247255 0.00523648303089808 "Ccr5/Itpr1/Selp/Cxcr3" 4
"GOBP_VIRAL_LIFE_CYCLE" "GOBP_VIRAL_LIFE_CYCLE" "GOBP_VIRAL_LIFE_CYCLE" "5/19" "230/8821" 9.94931775870635e-05 0.00682523198247255 0.00523648303089808 "Trim25/Adar/Nrp1/Ccr5/Bst2" 5
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "8/19" "787/8821" 0.000119975279498456 0.00748209470326736 0.00574044399514144 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Cxcr3/Il12rb2" 8
"GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "4/19" "127/8821" 0.000134338068051358 0.00767965955693597 0.00589202052856834 "Ccr5/Ch25h/Cxcr3/Ffar2" 4
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "7/19" "609/8821" 0.000174825131465304 0.00865503316951663 0.00664035075150885 "Trim25/Nrp1/Bst2/Fgl2/Prickle1/Plac8/Ube2l6" 7
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "7/19" "610/8821" 0.000176633329990135 0.00865503316951663 0.00664035075150885 "Adar/Nrp1/Pik3ap1/Usp18/Zbp1/Fgl2/Ffar2" 7
"GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "6/19" "426/8821" 0.000194078139557065 0.0087615270055201 0.00672205539782116 "Adar/Pik3ap1/Usp18/Zbp1/Fgl2/Ffar2" 6
"GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "5/19" "268/8821" 0.000204350484093763 0.0087615270055201 0.00672205539782116 "Ccr5/Ch25h/Selp/Cxcr3/Ffar2" 5
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "5/19" "280/8821" 0.000250718054740568 0.0101172109148253 0.00776216887741695 "Adar/Usp18/Zbp1/Fgl2/Ffar2" 5
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "8/19" "908/8821" 0.000327477488144631 0.0124805309370676 0.0095753651504278 "Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Cxcr3/Ffar2" 8
"GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "6/19" "485/8821" 0.000392987073106423 0.0141889016921582 0.0108860685071031 "Trim25/Zbp1/Bst2/Ube2l6/Ffar2/Il12rb2" 6
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "4/19" "173/8821" 0.00043990920693636 0.0150888857979172 0.0115765580772726 "Adar/Zbp1/Bst2/Fgl2" 4
"GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "4/19" "178/8821" 0.000490130968183632 0.0160109449606653 0.0122839841650033 "Ccr5/Itpr1/Selp/Cxcr3" 4
"GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "2/19" "16/8821" 0.000518091187023229 0.0161550251953607 0.0123945260053404 "Adar/Bst2" 2
"GOBP_TAXIS" "GOBP_TAXIS" "GOBP_TAXIS" "5/19" "352/8821" 0.000719721780311535 0.0211817924323716 0.016251183391416 "Nrp1/Ccr5/Ch25h/Cxcr3/Ffar2" 5
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "6/19" "546/8821" 0.000741053962648568 0.0211817924323716 0.016251183391416 "Trim25/Adar/Usp18/Zbp1/Bst2/Ffar2" 6
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "4/19" "207/8821" 0.00086561232588511 0.0237524022222874 0.018223417387055 "Pik3ap1/Usp18/Zbp1/Ffar2" 4
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "2/19" "21/8821" 0.000900855869504585 0.0237687356338517 0.0182359487753965 "Trim25/Bst2" 2
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "4/19" "213/8821" 0.000963262622396363 0.024474005887552 0.0187770491695197 "Adar/Usp18/Zbp1/Ffar2" 4
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "3/19" "96/8821" 0.00106670342830105 0.0261342339933757 0.0200508163214483 "Trim25/Adar/Bst2" 3
"GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "3/19" "98/8821" 0.00113241992431845 0.0267875885545675 0.0205520857408068 "Trim25/Zbp1/Ube2l6" 3
"GOBP_CELL_MIGRATION" "GOBP_CELL_MIGRATION" "GOBP_CELL_MIGRATION" "7/19" "832/8821" 0.00118261455709135 0.0270424528721556 0.0207476238086202 "Nrp1/Ccr5/Ch25h/Bst2/Selp/Cxcr3/Ffar2" 7
"GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "2/19" "25/8821" 0.00128034467332133 0.0283327885773688 0.0217376005657272 "Nrp1/Prickle1" 2
"GOBP_ENTRY_INTO_HOST" "GOBP_ENTRY_INTO_HOST" "GOBP_ENTRY_INTO_HOST" "3/19" "104/8821" 0.00134481222680174 0.0288294121120622 0.0221186221513443 "Trim25/Nrp1/Ccr5" 3
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "4/19" "238/8821" 0.00145523229073124 0.0302511924679281 0.0232094464231457 "Adar/Zbp1/Bst2/Fgl2" 4
"GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "3/19" "116/8821" 0.00184143698048718 0.0361546353088879 0.0277387105331348 "Ccr5/Ch25h/Cxcr3" 3
"GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "2/19" "30/8821" 0.00184462425045347 0.0361546353088879 0.0277387105331348 "Trim25/Ube2l6" 2
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "2/19" "31/8821" 0.00196931116608141 0.0375263183314403 0.0287910989193189 "Trim25/Ube2l6" 2
"GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "3/19" "120/8821" 0.00202927823303608 0.0376239153476419 0.0288659777103283 "Trim25/Nrp1/Ccr5" 3
"GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "3/19" "124/8821" 0.00222870851530229 0.040234053723615 0.0308685389931065 "Trim25/Adar/Bst2" 3
"GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "3/19" "129/8821" 0.00249467636668185 0.0419459455222599 0.0321819437795457 "Adar/Usp18/Zbp1" 3
"GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "2/19" "35/8821" 0.00250697342042661 0.0419459455222599 0.0321819437795457 "Trim25/Ube2l6" 2
"GOBP_LYMPHOCYTE_CHEMOTAXIS" "GOBP_LYMPHOCYTE_CHEMOTAXIS" "GOBP_LYMPHOCYTE_CHEMOTAXIS" "2/19" "35/8821" 0.00250697342042661 0.0419459455222599 0.0321819437795457 "Ch25h/Cxcr3" 2
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "6/19" "696/8821" 0.00262348447251661 0.0428502463844379 0.0328757452696317 "Trim25/Adar/Nrp1/Ccr5/Zbp1/Bst2" 6
"GOBP_POSTREPLICATION_REPAIR" "GOBP_POSTREPLICATION_REPAIR" "GOBP_POSTREPLICATION_REPAIR" "2/19" "38/8821" 0.00295064581087444 0.0470730936339504 0.0361156158001768 "Trim25/Ube2l6" 2
"GOBP_LOCOMOTION" "GOBP_LOCOMOTION" "GOBP_LOCOMOTION" "7/19" "999/8821" 0.00344923913820433 0.0537767738365493 0.0412588413660805 "Nrp1/Ccr5/Ch25h/Bst2/Selp/Cxcr3/Ffar2" 7
"GOBP_NEGATIVE_REGULATION_OF_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_GROWTH" "3/19" "148/8821" 0.00368223511189827 0.0561336285947159 0.0430670773321436 "Nrp1/Bst2/Plac8" 3
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST" "GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST" "3/19" "152/8821" 0.0039694208648344 0.0591961459407913 0.0454167147006225 "Trim25/Nrp1/Ccr5" 3
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "6/19" "779/8821" 0.00462868135611937 0.0675590512829338 0.05183293791847 "Adar/Zbp1/Bst2/Fgl2/Plac8/Ffar2" 6
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION" "GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION" "GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION" "2/19" "50/8821" 0.00506311513743219 0.0708836119240506 0.0543836212398731 "Adar/Bst2" 2
"GOBP_RESPONSE_TO_CHEMOKINE" "GOBP_RESPONSE_TO_CHEMOKINE" "GOBP_RESPONSE_TO_CHEMOKINE" "2/19" "50/8821" 0.00506311513743219 0.0708836119240506 0.0543836212398731 "Ccr5/Cxcr3" 2
"GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "5/19" "570/8821" 0.00602533485359692 0.0826675941913498 0.0634245774062834 "Adar/Usp18/Zbp1/Fgl2/Ffar2" 5
"GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "2/19" "57/8821" 0.00653763823894902 0.0875573943297965 0.067176150322078 "Nrp1/Prickle1" 2
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "2/19" "58/8821" 0.00676246120644642 0.0875573943297965 0.067176150322078 "Trim25/Bst2" 2
"GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "3/19" "184/8821" 0.00676463833743326 0.0875573943297965 0.067176150322078 "Ccr5/Itpr1/Cxcr3" 3
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "2/19" "62/8821" 0.00769661308625514 0.0972502260845784 0.0746127252451883 "Adar/Fgl2" 2
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "2/19" "63/8821" 0.00793879396608804 0.0972502260845784 0.0746127252451883 "Nrp1/Plac8" 2
"GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING" "GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING" "GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING" "2/19" "63/8821" 0.00793879396608804 0.0972502260845784 0.0746127252451883 "Pik3ap1/Selp" 2
