"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "1/4" "10/8821" 0.00452769669296726 0.0819598811206732 0.0497393478337061 "St3gal1" 1
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE" "GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE" "GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE" "1/4" "11/8821" 0.004979619200427 0.0819598811206732 0.0497393478337061 "Ffar2" 1
"GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION" "GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION" "GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION" "1/4" "11/8821" 0.004979619200427 0.0819598811206732 0.0497393478337061 "Hopx" 1
"GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "1/4" "12/8821" 0.00543138781827013 0.0819598811206732 0.0497393478337061 "St3gal1" 1
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION" "GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION" "GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION" "1/4" "12/8821" 0.00543138781827013 0.0819598811206732 0.0497393478337061 "Sln" 1
"GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "1/4" "13/8821" 0.00588300258143626 0.0819598811206732 0.0497393478337061 "St3gal1" 1
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "1/4" "15/8821" 0.00678577068347186 0.0819598811206732 0.0497393478337061 "St3gal1" 1
"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE" "1/4" "16/8821" 0.00723692409220089 0.0819598811206732 0.0497393478337061 "Ffar2" 1
"GOBP_SIALYLATION" "GOBP_SIALYLATION" "GOBP_SIALYLATION" "1/4" "16/8821" 0.00723692409220089 0.0819598811206732 0.0497393478337061 "St3gal1" 1
"GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY" "GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY" "GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY" "1/4" "17/8821" 0.0076879237859695 0.0819598811206732 0.0497393478337061 "Hopx" 1
