"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "2/7" "25/8821" 0.000160548548126239 0.052644829138173 0.0316304827938402 "Ltbp1/Furin" 2
"GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "3/7" "171/8821" 0.00023660597365471 0.052644829138173 0.0316304827938402 "Tiam1/Nrp1/Cxcr3" 3
"GOBP_POSITIVE_REGULATION_OF_AXONOGENESIS" "GOBP_POSITIVE_REGULATION_OF_AXONOGENESIS" "GOBP_POSITIVE_REGULATION_OF_AXONOGENESIS" "2/7" "50/8821" 0.000649398461981357 0.0693285525927766 0.041654529529427 "Tiam1/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "2/7" "56/8821" 0.0008145334521749 0.0693285525927766 0.041654529529427 "Tiam1/Nrp1" 2
"GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY" "GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY" "GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY" "4/7" "645/8821" 0.000829115596730503 0.0693285525927766 0.041654529529427 "Ltbp1/Furin/Tiam1/Nrp1" 4
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING" "GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING" "GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING" "2/7" "60/8821" 0.000934767001250921 0.0693285525927766 0.041654529529427 "Tiam1/Nrp1" 2
"GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION" "2/7" "66/8821" 0.00113023843550184 0.0718508719711881 0.0431700094161603 "Tiam1/Nrp1" 2
"GOBP_DENDRITE_MORPHOGENESIS" "GOBP_DENDRITE_MORPHOGENESIS" "GOBP_DENDRITE_MORPHOGENESIS" "2/7" "82/8821" 0.00173931279556117 0.0870461946431933 0.0522997834166082 "Tiam1/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS" "2/7" "84/8821" 0.00182434446860295 0.0870461946431933 0.0522997834166082 "Tiam1/Nrp1" 2
"GOBP_TAXIS" "GOBP_TAXIS" "GOBP_TAXIS" "3/7" "352/8821" 0.00195609426164479 0.0870461946431933 0.0522997834166082 "Tiam1/Nrp1/Cxcr3" 3
"GOBP_REGULATION_OF_AXONOGENESIS" "GOBP_REGULATION_OF_AXONOGENESIS" "GOBP_REGULATION_OF_AXONOGENESIS" "2/7" "95/8821" 0.00232696063791788 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_NEURON_PROJECTION_EXTENSION" "GOBP_NEURON_PROJECTION_EXTENSION" "GOBP_NEURON_PROJECTION_EXTENSION" "2/7" "105/8821" 0.00283473461336778 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_BINDING" "GOBP_POSITIVE_REGULATION_OF_BINDING" "GOBP_POSITIVE_REGULATION_OF_BINDING" "2/7" "113/8821" 0.00327542416878867 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_RESPONSE_TO_GROWTH_FACTOR" "GOBP_RESPONSE_TO_GROWTH_FACTOR" "GOBP_RESPONSE_TO_GROWTH_FACTOR" "3/7" "429/8821" 0.00345237612591662 0.091132506875783 0.0547549538650476 "Ltbp1/Furin/Nrp1" 3
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "2/7" "118/8821" 0.00356627292851763 0.091132506875783 0.0547549538650476 "Ltbp1/Furin" 2
"GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "2/7" "125/8821" 0.00399322725113321 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION" "GOBP_MESENCHYMAL_CELL_DIFFERENTIATION" "GOBP_MESENCHYMAL_CELL_DIFFERENTIATION" "2/7" "128/8821" 0.00418322470584572 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_REGULATION_OF_PROTEIN_BINDING" "GOBP_REGULATION_OF_PROTEIN_BINDING" "GOBP_REGULATION_OF_PROTEIN_BINDING" "2/7" "133/8821" 0.00450918700025947 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS" "GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS" "GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS" "2/7" "135/8821" 0.00464281380488875 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_CELL_MATRIX_ADHESION" "GOBP_CELL_MATRIX_ADHESION" "GOBP_CELL_MATRIX_ADHESION" "2/7" "136/8821" 0.00471031966140336 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_DENDRITE_DEVELOPMENT" "GOBP_DENDRITE_DEVELOPMENT" "GOBP_DENDRITE_DEVELOPMENT" "2/7" "137/8821" 0.0047782864099467 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_DEVELOPMENTAL_CELL_GROWTH" "GOBP_DEVELOPMENTAL_CELL_GROWTH" "GOBP_DEVELOPMENTAL_CELL_GROWTH" "2/7" "138/8821" 0.00484671349292999 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS" "GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS" "GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS" "2/7" "144/8821" 0.00526691183839951 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "2/7" "151/8821" 0.00577790301454669 0.091132506875783 0.0547549538650476 "Ltbp1/Furin" 2
"GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT" "GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT" "GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT" "2/7" "154/8821" 0.00600369882730495 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_MESENCHYME_DEVELOPMENT" "GOBP_MESENCHYME_DEVELOPMENT" "GOBP_MESENCHYME_DEVELOPMENT" "2/7" "156/8821" 0.00615648486394943 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT" "GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT" "GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT" "3/7" "580/8821" 0.00810465522762929 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1/Cxcr3" 3
"GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT" "GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT" "GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT" "2/7" "182/8821" 0.00830484159011303 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_GANGLION_DEVELOPMENT" "GOBP_GANGLION_DEVELOPMENT" "GOBP_GANGLION_DEVELOPMENT" "1/7" "11/8821" 0.00869952843225419 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_PROTEIN_NEDDYLATION" "GOBP_PROTEIN_NEDDYLATION" "GOBP_PROTEIN_NEDDYLATION" "1/7" "11/8821" 0.00869952843225419 0.091132506875783 0.0547549538650476 "Ube2f" 1
"GOBP_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS" "GOBP_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS" "GOBP_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS" "1/7" "11/8821" 0.00869952843225419 0.091132506875783 0.0547549538650476 "Furin" 1
"GOBP_ERK1_AND_ERK2_CASCADE" "GOBP_ERK1_AND_ERK2_CASCADE" "GOBP_ERK1_AND_ERK2_CASCADE" "2/7" "192/8821" 0.00921007013576186 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_REGULATION_OF_CELL_MORPHOGENESIS" "GOBP_REGULATION_OF_CELL_MORPHOGENESIS" "GOBP_REGULATION_OF_CELL_MORPHOGENESIS" "2/7" "192/8821" 0.00921007013576186 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION" "GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION" "GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION" "2/7" "192/8821" 0.00921007013576186 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_INNERVATION" "GOBP_INNERVATION" "GOBP_INNERVATION" "1/7" "12/8821" 0.00948716785347714 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS" "GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS" "GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS" "1/7" "12/8821" 0.00948716785347714 0.091132506875783 0.0547549538650476 "Tiam1" 1
"GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY" "GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY" "GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY" "1/7" "12/8821" 0.00948716785347714 0.091132506875783 0.0547549538650476 "Furin" 1
"GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE" "GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE" "GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE" "1/7" "12/8821" 0.00948716785347714 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE" "GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE" "GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE" "1/7" "12/8821" 0.00948716785347714 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS" "GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS" "GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS" "3/7" "620/8821" 0.00976370854130259 0.091132506875783 0.0547549538650476 "Furin/Nrp1/Cxcr3" 3
"GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE" "GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE" "GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE" "1/7" "13/8821" 0.0102742707964927 0.091132506875783 0.0547549538650476 "Tiam1" 1
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "1/7" "13/8821" 0.0102742707964927 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "1/7" "13/8821" 0.0102742707964927 0.091132506875783 0.0547549538650476 "Furin" 1
"GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY" "GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY" "GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY" "2/7" "204/8821" 0.0103530926958895 0.091132506875783 0.0547549538650476 "Ltbp1/Furin" 2
"GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION" "GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION" "GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION" "2/7" "207/8821" 0.0106484211206133 0.091132506875783 0.0547549538650476 "Tiam1/Nrp1" 2
"GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS" "GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS" "GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS" "1/7" "14/8821" 0.0110608375658416 0.091132506875783 0.0547549538650476 "Furin" 1
"GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS" "GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS" "GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS" "1/7" "14/8821" 0.0110608375658416 0.091132506875783 0.0547549538650476 "Nrp1" 1
"GOBP_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION" "GOBP_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION" "GOBP_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION" "1/7" "14/8821" 0.0110608375658416 0.091132506875783 0.0547549538650476 "Nrp1" 1
