"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "3/7" "34/8821" 1.81225512640848e-06 0.00070315498904649 0.000394880853859532 "Sema4b/Klrk1/Nrp1" 3
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "3/7" "76/8821" 2.09872053993784e-05 0.00376044042577096 0.0021118045798551 "Oas1g/Ifi35/Zbp1" 3
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "5/7" "610/8821" 2.90755703023528e-05 0.00376044042577096 0.0021118045798551 "Ifi35/Sema4b/Klrk1/Zbp1/Nrp1" 5
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "2/7" "13/8821" 4.19325372880885e-05 0.00406745611694459 0.00228421979437745 "Sema4b/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "4/7" "319/8821" 5.38913953387298e-05 0.00418197227828543 0.00234853028107728 "Ifi35/Klrk1/Zbp1/Nrp1" 4
"GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "3/7" "125/8821" 9.32815516505888e-05 0.00545887811007022 0.00306562064238887 "Sema4b/Klrk1/Nrp1" 3
"GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "2/7" "20/8821" 0.000101873272736605 0.00545887811007022 0.00306562064238887 "Sema4b/Nrp1" 2
"GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "2/7" "21/8821" 0.000112554187836499 0.00545887811007022 0.00306562064238887 "Sema4b/Nrp1" 2
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "2/7" "23/8821" 0.000135498435055243 0.00584148808904826 0.00328048842765326 "Sema4b/Nrp1" 2
"GOBP_NEURAL_CREST_CELL_MIGRATION" "GOBP_NEURAL_CREST_CELL_MIGRATION" "GOBP_NEURAL_CREST_CELL_MIGRATION" "2/7" "29/8821" 0.000216947088690143 0.00834573797982069 0.00468683603316029 "Sema4b/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "3/7" "171/8821" 0.00023660597365471 0.00834573797982069 0.00468683603316029 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "3/7" "178/8821" 0.000266411732798433 0.00861397936048266 0.00483747620081365 "Sema4b/Klrk1/Nrp1" 3
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "2/7" "39/8821" 0.000394459329355118 0.0116989131258698 0.00656992679613416 "Sema4b/Nrp1" 2
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "4/7" "546/8821" 0.000437237687219109 0.0116989131258698 0.00656992679613416 "Oas1g/Ifi35/Klrk1/Zbp1" 4
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "3/7" "213/8821" 0.000452277569299091 0.0116989131258698 0.00656992679613416 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "3/7" "223/8821" 0.000517556445836287 0.01255074381153 0.00704830159790207 "Sema4b/Klrk1/Nrp1" 3
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "3/7" "230/8821" 0.000566702990827074 0.0129341623788768 0.00726362347375878 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "2/7" "49/8821" 0.000623658665463327 0.0134433090110984 0.00754955226613502 "Sema4b/Nrp1" 2
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "3/7" "280/8821" 0.00100727452429176 0.0190349238031086 0.0106897157548657 "Ifi35/Klrk1/Zbp1" 3
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "4/7" "682/8821" 0.00102590528423709 0.0190349238031086 0.0106897157548657 "Oas1g/Ifi35/Klrk1/Zbp1" 4
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "2/7" "63/8821" 0.00103024072130227 0.0190349238031086 0.0106897157548657 "Sema4b/Nrp1" 2
"GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "2/7" "67/8821" 0.00116457360212507 0.0205388435283876 0.0115342935712866 "Sema4b/Nrp1" 2
