"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "15/31" "895/8821" 6.9922129607077e-08 8.04803711777456e-05 6.70516421811022e-05 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Klrd1/Ociad2/Cd80/Nod1/Mef2c/Pld4/Il4ra/Ifng/Casp1" 15
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "13/31" "682/8821" 1.76000256834234e-07 9.25907442368952e-05 7.71413123597892e-05 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Klrd1/Ociad2/Nod1/Pld4/Il4ra/Ifng/Casp1" 13
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "15/31" "982/8821" 2.41331218688693e-07 9.25907442368952e-05 7.71413123597892e-05 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Klrd1/Ociad2/Nod1/Mef2c/Mgll/Pld4/Il4ra/Ifng/Casp1" 15
"GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "10/31" "426/8821" 1.10381992706282e-06 0.000289108974220347 0.000240869061698968 "Usp18/Adar/Gbp5/Il18rap/Klrd1/Nod1/Mef2c/Mgll/Ifng/Casp1" 10
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "11/31" "546/8821" 1.25590345013183e-06 0.000289108974220347 0.000240869061698968 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Klrd1/Nod1/Pld4/Ifng/Casp1" 11
"GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "11/31" "635/8821" 5.51708240186389e-06 0.00105836030742422 0.000881765275104913 "Adar/Gbp5/Cd80/Nod1/Mef2c/Ntrk3/Id1/Il4ra/Ifng/Furin/Casp1" 11
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "10/31" "540/8821" 9.34857934045637e-06 0.0015371735458379 0.00128068507957229 "Mx1/Usp18/Adar/Oasl1/Il18rap/Cd80/Nod1/Il4ra/Ifng/Casp1" 10
"GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "9/31" "440/8821" 1.32915730955274e-05 0.00191232507911901 0.00159323988026651 "Usp18/Gbp5/Il18rap/Nod1/Mgll/Pld4/Il4ra/Ifng/Casp1" 9
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "10/31" "610/8821" 2.723438475722e-05 0.00348297520617336 0.0029018157326114 "Usp18/Adar/Gbp5/Il18rap/Klrd1/Nod1/Ntrk3/Mgll/Ifng/Casp1" 10
"GOBP_INTERLEUKIN_1_BETA_PRODUCTION" "GOBP_INTERLEUKIN_1_BETA_PRODUCTION" "GOBP_INTERLEUKIN_1_BETA_PRODUCTION" "4/31" "56/8821" 4.03545599646397e-05 0.00407070989706449 0.00339148266150784 "Gbp5/Nod1/Ifng/Casp1" 4
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "7/31" "280/8821" 4.11520550734204e-05 0.00407070989706449 0.00339148266150784 "Usp18/Adar/Gbp5/Il18rap/Klrd1/Nod1/Ifng" 7
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "11/31" "787/8821" 4.24400684316019e-05 0.00407070989706449 0.00339148266150784 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Cd80/Nod1/Il4ra/Ifng/Casp1" 11
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "7/31" "288/8821" 4.92634909829073e-05 0.00436171370164048 0.00363393038748409 "Gbp5/Cd80/Nod1/Il4ra/Ifng/Furin/Casp1" 7
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "6/31" "213/8821" 8.20832310601472e-05 0.00674841421073067 0.00562239274404467 "Usp18/Adar/Gbp5/Il18rap/Klrd1/Ifng" 6
"GOBP_INTERLEUKIN_1_PRODUCTION" "GOBP_INTERLEUKIN_1_PRODUCTION" "GOBP_INTERLEUKIN_1_PRODUCTION" "4/31" "69/8821" 9.20045143224584e-05 0.00695271105606945 0.00579260119079909 "Gbp5/Nod1/Ifng/Casp1" 4
"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION" "3/31" "26/8821" 9.67498290788992e-05 0.00695271105606945 0.00579260119079909 "Cd80/Il4ra/Ifng" 3
"GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "9/31" "570/8821" 0.00010268991134073 0.00695271105606945 0.00579260119079909 "Usp18/Adar/Gbp5/Il18rap/Klrd1/Cd80/Mef2c/Il4ra/Ifng" 9
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "6/31" "230/8821" 0.000125458282453608 0.00802236017245014 0.00668377165586179 "Gbp5/Il18rap/Klrd1/Nod1/Mef2c/Ifng" 6
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "4/31" "76/8821" 0.000134217944559747 0.00813078179938257 0.00677410235423433 "Mx1/Usp18/Adar/Oasl1" 4
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS" "GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS" "GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS" "5/31" "149/8821" 0.000153269869951188 0.00882068101569087 0.00734888692239643 "Il18rap/Klrd1/Cd80/Il4ra/Ifng" 5
