"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "9/16" "982/8821" 1.40097499635774e-05 0.00435348886205298 0.00324602239714476 "Ccr5/Plac8/Ffar2/Pik3ap1/Cxcr3/Trim25/Bst2/Fgl2/Ifih1" 9
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "3/16" "31/8821" 2.13406316767303e-05 0.00435348886205298 0.00324602239714476 "Trim25/Ifih1/Ube2l6" 3
"GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "4/16" "127/8821" 6.52282229543677e-05 0.00887103832179401 0.00661437067853062 "Ccr5/Ch25h/Ffar2/Cxcr3" 4
"GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "6/16" "485/8821" 0.00013362403303069 0.0136296513691303 0.0101624593541761 "Il12rb2/Ffar2/Trim25/Bst2/Ifih1/Ube2l6" 6
"GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "4/16" "171/8821" 0.000206827786613084 0.0168771473876276 0.0125838379644592 "Ccr5/Ch25h/Ffar2/Cxcr3" 4
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "4/16" "197/8821" 0.000355729572270084 0.0241896109143657 0.0180361134010622 "Trim25/Bst2/Ifih1/Ube2l6" 4
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "6/16" "609/8821" 0.000464758063266713 0.0270887556875456 0.0201977564336963 "Plac8/Trim25/Bst2/Fgl2/Ifih1/Ube2l6" 6
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "7/16" "895/8821" 0.000543165041810276 0.0273548060067251 0.0203961272857161 "Ccr5/Plac8/Ffar2/Trim25/Bst2/Fgl2/Ifih1" 7
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "2/16" "21/8821" 0.000634907458522487 0.0273548060067251 0.0203961272857161 "Trim25/Bst2" 2
"GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "3/16" "98/8821" 0.00067046093153738 0.0273548060067251 0.0203961272857161 "Trim25/Ifih1/Ube2l6" 3
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "6/16" "682/8821" 0.000853005506743341 0.0316387497046621 0.0235902958324235 "Plac8/Ffar2/Trim25/Bst2/Fgl2/Ifih1" 6
"GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "3/16" "116/8821" 0.00109522483527264 0.0331064828880889 0.0246846582937505 "Ccr5/Ch25h/Cxcr3" 3
"GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "3/16" "117/8821" 0.00112280159537717 0.0331064828880889 0.0246846582937505 "Ccr5/Itpr1/Cxcr3" 3
"GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "4/16" "268/8821" 0.00113600676576776 0.0331064828880889 0.0246846582937505 "Ccr5/Ch25h/Ffar2/Cxcr3" 4
"GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "2/16" "30/8821" 0.00130270530384182 0.0354335842644976 0.0264197777410728 "Trim25/Ube2l6" 2
"GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "2/16" "35/8821" 0.00177246593908712 0.0406908553214856 0.0303396728274235 "Trim25/Ube2l6" 2
"GOBP_LYMPHOCYTE_CHEMOTAXIS" "GOBP_LYMPHOCYTE_CHEMOTAXIS" "GOBP_LYMPHOCYTE_CHEMOTAXIS" "2/16" "35/8821" 0.00177246593908712 0.0406908553214856 0.0303396728274235 "Ch25h/Cxcr3" 2
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "6/16" "787/8821" 0.00181304068687008 0.0406908553214856 0.0303396728274235 "Ccr5/Il12rb2/Cxcr3/Trim25/Bst2/Ifih1" 6
"GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "3/16" "142/8821" 0.00196138588356705 0.0406908553214856 0.0303396728274235 "Ffar2/Pik3ap1/Ifih1" 3
"GOBP_POSTREPLICATION_REPAIR" "GOBP_POSTREPLICATION_REPAIR" "GOBP_POSTREPLICATION_REPAIR" "2/16" "38/8821" 0.00208755985166826 0.0406908553214856 0.0303396728274235 "Trim25/Ube2l6" 2
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "5/16" "540/8821" 0.00209438225919411 0.0406908553214856 0.0303396728274235 "Ccr5/Il12rb2/Cxcr3/Trim25/Bst2" 5
"GOBP_TAXIS" "GOBP_TAXIS" "GOBP_TAXIS" "4/16" "352/8821" 0.00309771960005966 0.0574486180374701 0.0428344959051312 "Ccr5/Ch25h/Ffar2/Cxcr3" 4
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "3/16" "173/8821" 0.00344010256750463 0.0608441448459389 0.0453662483500422 "Bst2/Fgl2/Ifih1" 3
"GOBP_RESPONSE_TO_CHEMOKINE" "GOBP_RESPONSE_TO_CHEMOKINE" "GOBP_RESPONSE_TO_CHEMOKINE" "2/16" "50/8821" 0.00359180277863008 0.0608441448459389 0.0453662483500422 "Ccr5/Cxcr3" 2
"GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "3/16" "178/8821" 0.00372819514987371 0.0608441448459389 0.0453662483500422 "Ccr5/Itpr1/Cxcr3" 3
"GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION" "3/16" "184/8821" 0.00409301369885397 0.0642288303512469 0.0478899173671578 "Ccr5/Itpr1/Cxcr3" 3
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS" "2/16" "58/8821" 0.00480595419394277 0.0726233078195796 0.0541489575847743 "Trim25/Bst2" 2
"GOBP_MAINTENANCE_OF_LOCATION" "GOBP_MAINTENANCE_OF_LOCATION" "GOBP_MAINTENANCE_OF_LOCATION" "3/16" "203/8821" 0.00539006698692562 0.0785409760952019 0.0585612541060716 "Ccr5/Itpr1/Ffar2" 3
"GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "4/16" "440/8821" 0.00688318445991878 0.0968392848154091 0.0722047299062261 "Ccr5/Ffar2/Pik3ap1/Cxcr3" 4
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE" "2/16" "71/8821" 0.00712645016493805 0.0969197222431575 0.0722647051813017 "Ffar2/Bst2" 2
