"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_CELL_CYCLE_PROCESS" "GOBP_CELL_CYCLE_PROCESS" "GOBP_CELL_CYCLE_PROCESS" "279/1730" "870/8821" 2.14775124463598e-20 8.88739465030369e-17 7.8449440198809e-17 "Ppme1/Chek1/Rb1/Chmp5/Unc119/Trp53inp1/E2f1/Rad50/Rad51/Rfc5/Fzr1/Timeless/Stag3/Eif4ebp1/Mcm6/Msh5/Rfwd3/Tubb5/Aurka/Ncapg2/Bcat1/Psmd9/Plk1/Mdm1/Ccnd3/Drg1/Incenp/Nsl1/Mcm10/Pola2/Mtbp/Fignl1/Rbbp7/Prc1/Cenpf/Prpf40a/Dab2ip/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Anln/Prim2/Ddit3/Nde1/Ezh2/Nusap1/Plscr1/Rpa1/Kntc1/Mad2l1/Ccng1/Mre11a/Gtse1/Cdca8/Hus1/Prmt5/Cdc20/Rfc2/Foxm1/Ccna2/Dtl/Gja1/Skp2/Pold2/Kif4/Mcm2/Kif2c/Pard6a/Optn/Fancd2/Cdk6/H2-M3/Spc25/Cdk2/Cdc6/Prkdc/Nedd1/Zwilch/Brip1/Cdkn1a/Dsn1/Tyms/Mitd1/Pole3/Rbm14/Smc2/Melk/Tipin/Katnb1/Spag5/Ccnb1/Mcm4/Mcm7/Cdc25c/Psmd12/Seh1l/Kif11/Psmb7/Ccne1/Apaf1/Psmb9/Arl3/Cdc25b/Nasp/Tfdp2/Ube2c/Odf2/Clspn/Tube1/Pml/Csnk1d/Nsmce2/Anapc5/Rpa3/Bard1/Chmp2a/Psmb8/Kif20b/Ube2e2/Psmc3ip/Mlf1/Inhba/Mybl2/Lig1/Lif/Rpa2/Tpx2/Psmb2/Kif18a/Cenph/Pkmyt1/Kifc1/Cdca5/Pkp4/Kif3a/Rad51c/Chek2/Ndc80/Map2k6/Lcmt1/Cdc25a/Fen1/Cep55/Tm4sf5/Kpnb1/Xrcc2/Cbx5/Ncaph2/Lpin1/Dbf4/Ncapd2/Psmd6/Rfc1/Mif/Pole/Nup62/Ccnh/Brca2/Kif22/Mcph1/Pold3/Dhcr24/Top2a/Eps8/Ywhae/Cdk4/Atm/Pcbp4/Psmc2/Ythdf2/Cgrrf1/Aspm/Brcc3/Snx18/Kif23/Blm/Tubg1/Cenpk/Ube2e1/Rbl1/Ccnf/Prkaca/Map2k1/Arl2/Pold1/Ercc2/Cul7/Ttk/Iqgap3/Fes/Rrm2/Cep72/Pim2/Gpsm2/E2f3/Apbb1/Prkca/Bub1b/Pold4/Sass6/Ccne2/Eed/Ncaph/Mcm5/Prr11/Cdkn2d/Ccng2/Aurkb/Syce2/Pcna/Rfc4/Trip13/Bcl2/Cenpq/Dyrk3/Atf5/Ankrd17/Ssx2ip/Ywhag/Prnp/Cort/Ctdspl/Myh10/Esco2/Mnd1/Brca1/Cdkn2c/Cenpa/Gipc1/Chmp4b/Pttg1/Phf13/Prkar2b/Psrc1/Phgdh/Rad54l/Mcm3/Aaas/Id2/Plk2/Dctn1/Cep97/Ing4/Kifc2/Mta3/Tle6/Prkag1/Ppp1r9b/Ube2b/Ctdsp2/Fbxl12/Rbl2/Cdkn1b/Mecp2/Syf2/Aif1/Cdk2ap2/Sfi1/Cdkn1c/Cdc14b/Appl2/Foxn3/Ep300/Tdrkh/Wdr6/Hbp1/Zwint/Dctn6/Uxt/Psmd14/Snx9/Psmb5/Bax/Edn1/Psmd8/Piwil2/Bcl2l1" 279
"GOBP_MITOTIC_CELL_CYCLE" "GOBP_MITOTIC_CELL_CYCLE" "GOBP_MITOTIC_CELL_CYCLE" "226/1730" "675/8821" 5.31395911017076e-19 1.09945813989433e-15 9.7049674275224e-16 "Ppme1/Chek1/Rb1/Chmp5/Unc119/E2f1/Rad51/Fzr1/Eif4ebp1/Mcm6/Rfwd3/Tubb5/Aurka/Ncapg2/Bcat1/Psmd9/Plk1/Sugt1/Asns/Ccnd3/Drg1/Incenp/Nsl1/Mcm10/Pola2/Tubb6/Mtbp/Prc1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Anln/Prim2/Nde1/Ezh2/Nusap1/Rpa1/Kntc1/Mad2l1/Ccng1/Mre11a/Gtse1/Cdca8/Hus1/Prmt5/Cdc20/Foxm1/Ccna2/Dtl/Gja1/Skp2/Dynlt3/Kif4/Mcm2/Kif2c/Optn/Fancd2/Cdk6/Clip1/Spc25/Cdk2/Cdc6/Prkdc/Nedd1/Zwilch/Cdkn1a/Dsn1/Tyms/Mitd1/Pole3/Smc2/Melk/Tipin/Katnb1/Spag5/Ccnb1/Mcm4/Mcm7/Cdc25c/Psmd12/Seh1l/Kif11/Psmb7/Ccne1/Psmb9/Arl3/Cdc25b/Nasp/Tfdp2/Ube2c/Odf2/Clspn/Tube1/Pml/Csnk1d/Nsmce2/Anapc5/Rpa3/Chmp2a/Psmb8/Kif20b/Ube2e2/Pbk/Inhba/Mybl2/Lig1/Rpa2/Tpx2/Psmb2/Kif18a/Cenph/Pkmyt1/Kifc1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Cdc25a/Cep55/Tm4sf5/Kpnb1/Xrcc2/Ncaph2/Lpin1/Dbf4/Ncapd2/Psmd6/Pole/Nup62/Ccnh/Tubd1/Brca2/Kif22/Mcph1/Wdhd1/Eps8/Ywhae/Cdk4/Atm/Pcbp4/Asah2/Psmc2/Snx18/Kif23/Blm/Tubg1/Cenpk/Ube2e1/Rbl1/Ccnf/Prkaca/Ercc2/Cul7/Ttk/Iqgap3/Rrm2/Cep72/Pim2/Gpsm2/E2f3/Prkca/Bub1b/Ccne2/Ncaph/Mcm5/Cdkn2d/Ccng2/Aurkb/Kif15/Pcna/Trip13/Rrm1/Bcl2/Ankrd17/Ywhag/Ctdspl/Myh10/Brca1/Cdkn2c/Cenpa/Chmp4b/Pttg1/Phf13/Prkar2b/Psrc1/Mcm3/Aaas/Id2/Plk2/Dctn1/Cep97/Kifc2/Mta3/Il10/Ppp1r9b/Lgmn/Ctdsp2/Fbxl12/Rbl2/Cdkn1b/Mecp2/Syf2/Aif1/Usp3/Cdk2ap2/Sfi1/Cdkn1c/Cdc14b/Appl2/Foxn3/Ep300/Slc9a3r1/Zwint/Heca/Dctn6/Psmd14/Snx9/Psmb5/Bax/Edn1/Psmd8/Bcl2l1" 226
"GOBP_CELL_CYCLE_PHASE_TRANSITION" "GOBP_CELL_CYCLE_PHASE_TRANSITION" "GOBP_CELL_CYCLE_PHASE_TRANSITION" "151/1730" "427/8821" 3.87793468943009e-15 5.34896458162057e-12 4.72155556923593e-12 "Ppme1/Chek1/Rb1/E2f1/Fzr1/Timeless/Eif4ebp1/Mcm6/Rfwd3/Tubb5/Aurka/Bcat1/Psmd9/Plk1/Ccnd3/Mcm10/Pola2/Mtbp/Cenpf/Espl1/Cdt1/Hspa2/Ckap5/Anln/Prim2/Nde1/Ezh2/Rpa1/Kntc1/Mad2l1/Ccng1/Mre11a/Gtse1/Hus1/Cdc20/Foxm1/Ccna2/Dtl/Skp2/Mcm2/Optn/Cdk6/Cdk2/Cdc6/Prkdc/Nedd1/Cdkn1a/Tyms/Pole3/Melk/Tipin/Ccnb1/Mcm4/Mcm7/Cdc25c/Psmd12/Psmb7/Ccne1/Psmb9/Cdc25b/Nasp/Tfdp2/Ube2c/Odf2/Clspn/Pml/Csnk1d/Nsmce2/Anapc5/Rpa3/Chmp2a/Psmb8/Ube2e2/Inhba/Rpa2/Tpx2/Psmb2/Pkmyt1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Cdc25a/Tm4sf5/Dbf4/Psmd6/Pole/Ccnh/Eps8/Ywhae/Cdk4/Atm/Pcbp4/Psmc2/Brcc3/Blm/Tubg1/Ube2e1/Rbl1/Ccnf/Prkaca/Ercc2/Ttk/Iqgap3/Rrm2/Cep72/Pim2/E2f3/Bub1b/Ccne2/Mcm5/Cdkn2d/Ccng2/Aurkb/Pcna/Trip13/Bcl2/Dyrk3/Atf5/Ankrd17/Ywhag/Ctdspl/Brca1/Cdkn2c/Chmp4b/Prkar2b/Mcm3/Id2/Plk2/Dctn1/Mta3/Ppp1r9b/Ctdsp2/Fbxl12/Rbl2/Cdkn1b/Mecp2/Syf2/Aif1/Cdk2ap2/Sfi1/Cdc14b/Appl2/Foxn3/Ep300/Zwint/Psmd14/Psmb5/Bax/Psmd8" 151
"GOBP_DNA_REPLICATION" "GOBP_DNA_REPLICATION" "GOBP_DNA_REPLICATION" "81/1730" "184/8821" 2.26195337735194e-14 2.33999076887058e-11 2.06552058405558e-11 "Chek1/Rad50/Rad51/Rfc5/Timeless/Mcm6/Rfwd3/Gins2/Mcm10/Pola2/Polq/Rbbp7/Cdt1/Nap1l1/Dut/Smc3/Prim2/Chtf18/Rpa1/Mre11a/Hus1/Rfc2/Ccna2/Dtl/Pold2/Mcm2/Cdk2/Cdc6/Chaf1a/Brip1/Pole3/Tipin/Mcm4/Mcm7/Ccne1/Nasp/Repin1/Clspn/Rpa3/Bard1/Lig1/Rpa2/Zranb3/Samhd1/Chek2/Ssrp1/Fen1/Recql4/Dbf4/Rfc1/Pole/Gins4/Helb/Brca2/Pold3/Wdhd1/Atm/Blm/Pold1/Trex1/Rrm2/S100a11/Polk/Pold4/Ccne2/Mcm5/Pcna/Rfc4/Rrm1/Polh/Ankrd17/Cort/Pif1/Hmga1/Esco2/Brca1/Chaf1b/Mcm3/Ing4/Nfic/Dnajc2" 81
"GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" "181/1730" "566/8821" 3.4362355550386e-13 2.84382854534994e-10 2.51026050020714e-10 "Chek1/Trim25/Cebpg/E2f1/Cd44/Rad50/Rad51/Ddit4/Rfc5/Batf/Fzr1/Timeless/Mcm6/Msh5/Dtx3l/Phlda3/Sesn2/Rfwd3/Aurka/Gins2/Plk1/Fus/Usp1/Mcm10/Fignl1/Polq/Xrcc6/Suv39h1/Taf9/Dek/Smc3/Ddit3/Nupr1/Rpa1/Mre11a/Gtse1/Hus1/Rfc2/Foxm1/Ascc1/Dtl/Pold2/Mcm2/Wdr76/Traf6/Fancd2/Cdk2/Chaf1a/Prkdc/Brip1/Cdkn1a/Pole3/Tipin/Ccnb1/Commd1/Mcm4/Mcm7/Cdc25c/Fanci/Smchd1/Ruvbl2/Tfdp2/Clspn/Smyd2/Pml/Nsmce2/Casp3/Egln3/Rpa3/Bard1/Htra2/Ube2e2/Actl6a/Cops5/Lig1/Rpa2/Zranb3/Ube2t/Samhd1/Mrps11/Cdca5/Rad51c/Chek2/Ercc5/Map2k6/Tmem109/Ssrp1/Fen1/Xrcc2/Recql4/Fh1/Fancl/Mgmt/Cbx5/Rfc1/Mif/Sumo1/Pole/Bcl3/Ccnh/Gins4/Helb/Brca2/Kif22/Ints7/Pold3/Top2a/Uba1/Wdhd1/Uhrf1/Atm/Pcbp4/Hipk2/Bcl2l2/Brcc3/Blm/Mapkapk2/Fem1b/Pold1/Ercc2/Trex1/Hmgb2/Rad23b/Rps27a/Ctla4/Mbd4/Apbb1/Polk/Pold4/Ruvbl1/Mcm5/Sp100/Cdkn2d/Ube2l6/Pcna/Rfc4/Trip13/Bcl2/Dyrk3/Polh/Ier3/Uchl5/Irf7/Ndrg1/Nthl1/Pif1/Nudt1/Cops4/Fto/Esco2/Brca1/Chaf1b/Immp2l/Polr2g/Chchd6/Pttg1/Gtf2h4/Rad54l/Mcm3/Plk2/Cbx8/Ing4/Hic1/Ddb2/Ttc5/Ube2b/Rbl2/Cdkn1b/Syf2/Myo6/Usp3/Cdc14b/Hmox1/Foxn3/Ep300/Was/Taf9b/Pttg1ip/Psmd14/Bax/Bcl2l1" 181
"GOBP_ORGANELLE_FISSION" "GOBP_ORGANELLE_FISSION" "GOBP_ORGANELLE_FISSION" "105/1730" "285/8821" 4.31155014912744e-12 2.97353241951489e-09 2.62475070481969e-09 "Chek1/Rb1/Chmp5/Rad50/Rad51/Fzr1/Stag3/Msh5/Aurka/Ncapg2/Plk1/Drg1/Incenp/Nsl1/Mtbp/Fignl1/Prc1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Anln/Nde1/Nusap1/Kntc1/Mad2l1/Mre11a/Cdca8/Prmt5/Cdc20/Kif4/Kif2c/Fancd2/Cdc6/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Cdc25c/Seh1l/Kif11/Ccne1/Cdc25b/Ube2c/Nsmce2/Anapc5/Chmp2a/Kif20b/Psmc3ip/Mybl2/Lif/Tpx2/Kif18a/Pkmyt1/Kifc1/Mx1/Cdca5/Rad51c/Chek2/Coro1c/Ndc80/Lcmt1/Kpnb1/Ncaph2/Lpin1/Ncapd2/Nup62/Brca2/Kif22/Top2a/Eps8/Atm/Kif23/Tubg1/Cenpk/Cul7/Ttk/Prkca/Bub1b/Ccne2/Ncaph/Stat2/Aurkb/Syce2/Trip13/Cort/Mnd1/Chmp4b/Pttg1/Phf13/Psrc1/Rad54l/Aaas/Cep97/Kifc2/Ppp1r9b/Ube2b/Cdc14b/Tdrkh/Zwint/Edn1/Piwil2" 105
"GOBP_CELL_CYCLE_DNA_REPLICATION" "GOBP_CELL_CYCLE_DNA_REPLICATION" "GOBP_CELL_CYCLE_DNA_REPLICATION" "30/1730" "45/8821" 7.53129302610266e-12 3.96943492669883e-09 3.5038384156203e-09 "Rad51/Rfc5/Mcm6/Pola2/Cdt1/Prim2/Rpa1/Rfc2/Pold2/Mcm2/Pole3/Tipin/Mcm4/Mcm7/Rpa3/Lig1/Rpa2/Chek2/Fen1/Dbf4/Rfc1/Pole/Brca2/Pold3/Pold1/Pold4/Mcm5/Pcna/Rfc4/Mcm3" 30
"GOBP_SISTER_CHROMATID_SEGREGATION" "GOBP_SISTER_CHROMATID_SEGREGATION" "GOBP_SISTER_CHROMATID_SEGREGATION" "59/1730" "128/8821" 7.73735923484695e-12 3.96943492669883e-09 3.5038384156203e-09 "Rb1/Chmp5/Stag3/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Espl1/Cdt1/Smc3/Nusap1/Kntc1/Mad2l1/Mre11a/Cdca8/Cdc20/Kif4/Kif2c/Cdc6/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Seh1l/Ube2c/Nsmce2/Anapc5/Chmp2a/Kif18a/Kifc1/Cdca5/Rad51c/Ndc80/Lcmt1/Fen1/Kpnb1/Ncaph2/Ncapd2/Nup62/Kif22/Top2a/Atm/Kif23/Tubg1/Cenpk/Ttk/Bub1b/Ncaph/Aurkb/Trip13/Esco2/Chmp4b/Pttg1/Phf13/Psrc1/Zwint" 59
"GOBP_REGULATION_OF_CELL_CYCLE" "GOBP_REGULATION_OF_CELL_CYCLE" "GOBP_REGULATION_OF_CELL_CYCLE" "223/1730" "759/8821" 8.63337707595203e-12 3.96943492669883e-09 3.5038384156203e-09 "Chek1/Rb1/Chmp5/Trp53inp1/E2f1/Rad51/Fzr1/Timeless/Eif4ebp1/Rfwd3/Tubb5/Aurka/Psmd9/Plk1/Mdm1/Asns/Ccnd3/Drg1/Incenp/Mtbp/Fignl1/Rbbp7/E2f2/Actb/Prc1/Cenpf/Prpf40a/Dab2ip/Espl1/Cdt1/Hspa2/Ckap5/Anln/Ddit3/Nupr1/Birc5/Nde1/Ezh2/Nusap1/Plscr1/Kntc1/Mad2l1/Ccng1/Mre11a/Gtse1/Hus1/Prmt5/Cdc20/Foxm1/Ccna2/Dtl/Skp2/Dynlt3/Wdr76/Fancd2/Cdk6/H2-M3/Cdk2/Cdc6/Prkdc/Nedd1/Zwilch/Brip1/Cdkn1a/Ptprk/Rbm14/Tipin/Spag5/Ccnb1/Cdc25c/Psmd12/Kif11/Psmb7/Ccne1/Apaf1/Psmb9/Cdc25b/Tfdp2/Ube2c/Odf2/Clspn/Pml/Csnk1d/Nsmce2/Casp3/Anapc5/Rpa3/Bard1/Chmp2a/Htra2/Psmb8/Kif20b/Ube2e2/Cops5/Mlf1/Inhba/Mybl2/Lif/Rpa2/Tpx2/Psmb2/Pkmyt1/Mx1/Cdca5/Pkp4/Rad51c/Chek2/Ndc80/Map2k6/Lcmt1/Cdc25a/Fen1/Tm4sf5/Cbx5/Dbf4/Psmd6/Mif/Gadd45g/Nup62/Ccnh/Brca2/Mcph1/Ints7/Dhcr24/Hexim2/Ywhae/Cdk4/Atm/Pcbp4/Asah2/Psmc2/Ythdf2/Cgrrf1/Hipk2/Brcc3/Kif23/Blm/Tubg1/Ube2e1/Rbl1/Ccnf/Prkaca/Map2k1/Fem1b/Ercc2/Cul7/Trex1/Ttk/Rrm2/Cep72/Pim2/Gpsm2/Apbb1/Prkca/Bub1b/Ccne2/Birc2/Eed/Prr11/Cdkn2d/Tgm1/Ccng2/Aurkb/Pcna/Trip13/Bcl2/Dyrk3/Atf5/Ankrd17/Ywhag/Prnp/Ctdspl/Brca1/Cdkn2c/Gipc1/Chmp4b/Pttg1/Prkar2b/Psrc1/Id2/Plk2/Dctn1/Cep97/Madd/Ing4/Mta3/Prkag1/Il10/Ppp1r9b/Lgmn/Pdcd4/Ube2b/Ctdsp2/Fbxl12/Rbl2/Cdkn1b/Mecp2/Syf2/Aif1/Cdk2ap2/Prkacb/Sfi1/Cdkn1c/Cdc14b/Sipa1/Appl2/Foxn3/Ep300/Gata3/Ccndbp1/Slc9a3r1/Wdr6/Hbp1/Zwint/Heca/Uxt/Psmd14/Psmb5/Bax/Edn1/Psmd8/Piwil2/Bcl2l1" 223
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "67/1730" "155/8821" 1.13953397537377e-11 4.45202400222168e-09 3.92982200598032e-09 "Rb1/Chmp5/Stag3/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Espl1/Cdt1/Smc3/Nusap1/Kntc1/Mad2l1/Mre11a/Cdca8/Cdc20/Kif4/Kif2c/Fancd2/Cdc6/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Seh1l/Ccne1/Ube2c/Nsmce2/Anapc5/Chmp2a/Kif18a/Kifc1/Cdca5/Rad51c/Ndc80/Lcmt1/Fen1/Kpnb1/Ncaph2/Ncapd2/Nup62/Kif22/Top2a/Atm/Kif23/Tubg1/Cenpk/Ttk/Bub1b/Ccne2/Ncaph/Aurkb/Syce2/Trip13/Cenpq/Cort/Esco2/Chmp4b/Pttg1/Phf13/Psrc1/Ube2b/Zwint" 67
