"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_LYMPHOCYTE_ACTIVATION" "GOBP_LYMPHOCYTE_ACTIVATION" "GOBP_LYMPHOCYTE_ACTIVATION" "73/632" "471/8821" 1.32074539561369e-10 2.87702139725033e-07 2.65757887176207e-07 "Il6ra/Cxcr5/Cd2/Cd86/Sit1/Tyrobp/H2-Eb1/Prr7/Bcl6/Cd22/Cd3g/Cd27/Ccr6/Cd55/Prkcz/Pik3r1/Irf1/Srf/Tnfrsf14/F2rl1/Chd7/Foxp3/Ly9/Il7r/Lck/Sox4/Cd7/Dusp10/Cd79b/Ikzf1/Ppp3ca/Dock11/Mdk/Cd1d1/Msn/Vcam1/Blk/Peli1/Cd74/Apbb1ip/Gps2/Sirpa/H2-Ea/Mmp14/Tcf7/Rhoh/Sla2/Slc11a1/H2-T23/Il27ra/Inpp5d/Itpkb/Ptk2b/Tgfbr2/H2-D1/Clcf1/Sftpd/Atp11c/Prf1/Tox/Fyn/Psmb10/Ptpn22/Dock8/Foxp1/Lat2/Parp3/Cd3e/Lmbr1l/Dtx1/H2-Q7/Tbk1/Il18r1" 73
"GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "117/632" "924/8821" 1.89542578644181e-10 2.87702139725033e-07 2.65757887176207e-07 "Il6ra/Cxcr5/Dgka/Cd2/Cd86/Atp8a1/Sit1/Tyrobp/H2-Eb1/Dok3/Hvcn1/Igf2r/Lyz2/Prr7/Bcl6/Cd22/Cd3g/Cd27/Qpct/Ccr6/Ifngr1/Pecam1/Cd55/Prkcz/Dgkz/Pik3r1/Irf1/S100a8/Srf/Tnfrsf14/F2rl1/Chd7/Foxp3/Ly9/Il7r/Atp8b4/Cfp/Lck/Sox4/Cd7/Dusp10/Cd79b/Ikzf1/Timp2/App/Gns/Ppp3ca/Dock11/Cd84/Armc8/Mdk/Cd1d1/Acpp/1600012H06Rik/Glipr1/Msn/Mapk14/Vcam1/Il17ra/Ear2/Rap1b/Blk/Peli1/Cd74/Sdcbp/Crtc3/Apbb1ip/Gps2/Sirpa/Cap1/H2-Ea/Mmp14/Tcf7/H2-K1/Rhoh/Sla2/Fcgr3/Tgfbr1/Slc11a1/Ctsh/H2-T23/Il27ra/Inpp5d/Itpkb/Ptk2b/Tgfbr2/H2-D1/Flna/Man2b1/Clcf1/Gstp2/Creg1/Tmem63a/Sftpd/Dync1h1/Atp11c/Prf1/Atg7/Tmc6/Enpp4/Dgkq/Tox/Fyn/Psmb10/Ptpn22/Dock8/Foxp1/Lat2/Parp3/Vamp2/Cd3e/Lmbr1l/Dtx1/H2-Q7/Tlr1/Tbk1/Il18r1" 117
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "115/632" "908/8821" 2.7795201238403e-10 2.87702139725033e-07 2.65757887176207e-07 "Il6ra/Pias1/Cd2/Cd86/Elmo1/Cd96/Traf3/Gprc5b/Sit1/Tyrobp/Wnk1/Fos/H2-Eb1/Tnrc6a/C1qb/Ifngr2/Creb1/Camk1d/Trat1/Nfatc3/Bcl6/Cd22/Cd3g/Cd27/Ccr6/Ifngr1/Cd55/Prkcz/Dgkz/Pik3r1/Irf1/Tnfrsf14/F2rl1/Tnrc6b/Hcst/Foxp3/Il7r/Sppl3/Cfp/Lck/Sox4/Dusp10/Cd79b/App/Ppp3ca/Tnrc6c/Cd84/Mdk/Cd1d1/Lrch1/Nod1/Msn/Mapk14/Vcam1/Plekha1/Traf2/Blk/Aqp3/Peli1/Cd74/Mia3/Gps2/Sirpa/H2-Ea/Mmp14/Crebbp/C1qc/Cnot4/Tcf7/H2-K1/Rhoh/Sla2/Fcgr3/Slc11a1/Elf1/Ctsh/H2-T23/Il27ra/Inpp5d/Itpkb/Ptk2b/Dusp1/Tgfbr2/Irf3/H2-D1/Klf13/Mysm1/Klrd1/Clcf1/Sftpd/Atp11c/Trim21/Tox/Fyn/Cxcr3/Psmb10/Ptpn22/Ikbke/Ubash3a/Dock8/Zfp36/Foxp1/Lat2/Parp3/Cd247/Cd3e/H2-Ob/Dtx1/Ppargc1b/H2-Q7/Fcna/Tbk1/Icam2/Jun/Il18r1" 115
"GOBP_LEUKOCYTE_DIFFERENTIATION" "GOBP_LEUKOCYTE_DIFFERENTIATION" "GOBP_LEUKOCYTE_DIFFERENTIATION" "62/632" "377/8821" 3.24720247996652e-10 2.87702139725033e-07 2.65757887176207e-07 "Il6ra/Cd2/Cd86/Tyrobp/Fos/H2-Eb1/Creb1/Prr7/Bcl6/Cd3g/Cd27/Ccr6/Prkcz/Pik3r1/Irf1/Srf/F2rl1/Chd7/Foxp3/Ly9/Il7r/Lck/Sox4/Dusp10/Cd79b/Ikzf1/App/Dock11/Mdk/Cd1d1/Mapk14/Vcam1/Blk/Cd74/Pde1b/Gps2/H2-Ea/Mmp14/C1qc/Tcf7/Rhoh/H2-T23/Inpp5d/Itpkb/Ptk2b/Tgfbr2/H2-D1/Clcf1/Atp11c/Tox/Ptpn22/Foxp1/Cd3e/Lmbr1l/Dtx1/Ppargc1b/L3mbtl3/H2-Q7/Trf/Ostm1/Jun/Il18r1" 62
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "86/632" "616/8821" 6.46555840128305e-10 4.58278779482942e-07 4.23323929010322e-07 "Il6ra/Cd2/Cd86/Elmo1/Gprc5b/Tyrobp/Wnk1/Fos/H2-Eb1/C1qb/Creb1/Camk1d/Trat1/Bcl6/Cd22/Cd3g/Cd27/Ccr6/Cd55/Prkcz/Dgkz/Pik3r1/Tnfrsf14/F2rl1/Foxp3/Il7r/Sppl3/Cfp/Lck/Sox4/Dusp10/Cd79b/App/Cd84/Mdk/Cd1d1/Nod1/Vcam1/Plekha1/Traf2/Blk/Aqp3/Peli1/Cd74/Mia3/Gps2/Sirpa/H2-Ea/Mmp14/Crebbp/C1qc/H2-K1/Rhoh/Sla2/Fcgr3/Slc11a1/Elf1/H2-T23/Il27ra/Inpp5d/Itpkb/Ptk2b/Tgfbr2/Irf3/H2-D1/Klrd1/Clcf1/Atp11c/Tox/Fyn/Psmb10/Ptpn22/Ikbke/Ubash3a/Dock8/Foxp1/Lat2/Cd247/Cd3e/Ppargc1b/H2-Q7/Fcna/Tbk1/Icam2/Jun/Il18r1" 86
"GOBP_T_CELL_ACTIVATION" "GOBP_T_CELL_ACTIVATION" "GOBP_T_CELL_ACTIVATION" "56/632" "335/8821" 1.33111252120744e-09 7.86243795859863e-07 7.2627367385178e-07 "Il6ra/Cd2/Cd86/Sit1/H2-Eb1/Prr7/Bcl6/Cd3g/Cd27/Ccr6/Cd55/Prkcz/Pik3r1/Irf1/Srf/Tnfrsf14/F2rl1/Chd7/Foxp3/Ly9/Il7r/Lck/Sox4/Cd7/Dusp10/Ppp3ca/Mdk/Cd1d1/Msn/Vcam1/Peli1/Cd74/Apbb1ip/Sirpa/H2-Ea/Tcf7/Rhoh/Sla2/Slc11a1/H2-T23/Il27ra/Itpkb/Tgfbr2/H2-D1/Sftpd/Tox/Fyn/Psmb10/Ptpn22/Dock8/Foxp1/Cd3e/Lmbr1l/Dtx1/H2-Q7/Il18r1" 56
"GOBP_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_ADAPTIVE_IMMUNE_RESPONSE" "49/632" "276/8821" 1.92702234940433e-09 9.22401712036361e-07 8.52046252950304e-07 "Il6ra/Cd86/Sit1/H2-Eb1/C1qb/Trat1/Prr7/Bcl6/Cd3g/Cd27/Ccr6/Cd55/Prkcz/Irf1/Tnfrsf14/Foxp3/Ly9/Il7r/Cd7/Dusp10/Cd79b/Cd84/Cd1d1/Siglecg/Il17ra/Traf2/Cd74/H2-Ea/C1qc/H2-K1/Sla2/Slc11a1/Ctsh/H2-T23/Il27ra/Inpp5d/Ptk2b/H2-D1/Klrd1/Clcf1/Prf1/Fyn/Lat2/Parp3/Cd247/Cd3e/H2-Ob/H2-Q7/Il18r1" 49
"GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "52/632" "303/8821" 2.08217090753129e-09 9.22401712036361e-07 8.52046252950304e-07 "Il6ra/Cd2/Cd86/H2-Eb1/Prr7/Bcl6/Cd3g/Cd27/Ccr6/Prkcz/Pik3r1/Irf1/Srf/F2rl1/Chd7/Foxp3/Ly9/Il7r/Lck/Sox4/Dusp10/Cd79b/Ikzf1/Dock11/Mdk/Cd1d1/Vcam1/Blk/Cd74/Pde1b/Gps2/H2-Ea/Mmp14/Tcf7/Rhoh/H2-T23/Inpp5d/Itpkb/Ptk2b/Tgfbr2/H2-D1/Clcf1/Atp11c/Tox/Ptpn22/Foxp1/Cd3e/Lmbr1l/Dtx1/H2-Q7/Jun/Il18r1" 52
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "100/632" "779/8821" 2.48857474200448e-09 9.53791337460559e-07 8.81041659588434e-07 "Il6ra/Cd86/Elmo1/Cd96/Traf3/Atp8a1/Gprc5b/Rnase6/Tyrobp/H2-Eb1/Zc3hav1/C1qb/Dok3/Hvcn1/Igf2r/Lyz2/Bcl6/Trim56/Cd22/Cd3g/Cd27/Qpct/Ccr6/Pecam1/Cd55/Prkcz/Pik3r1/Irf1/S100a8/Tnfrsf14/F2rl1/Foxp3/Ly9/Il7r/Atp8b4/Cfp/Dusp10/Timp2/App/Gns/Dock11/Cd84/Armc8/Mdk/Cd1d1/Acpp/1600012H06Rik/Glipr1/Mapk14/Traf2/Irak4/Ear2/Rap1b/Blk/Cd74/Sdcbp/Apbb1ip/Sirpa/Cap1/H2-Ea/Clpb/C1qc/H2-K1/Sla2/Fcgr3/Slc11a1/Ctsh/H2-T23/Il27ra/Inpp5d/Ptk2b/Irf3/H2-D1/Flna/Man2b1/Klrd1/Clcf1/Gstp2/Creg1/Tmem63a/Dync1h1/Prf1/Atg7/Trim11/Tmc6/Enpp4/Map3k14/Fyn/Ptpn22/Ddx17/Foxp1/Lat2/Parp3/Vamp2/Cd247/H2-Q7/Fcna/Tbk1/Clec2d/Il18r1" 100
"GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "90/632" "675/8821" 2.69128481224763e-09 9.53791337460559e-07 8.81041659588434e-07 "Il6ra/Cxcr5/Cd2/Cd86/Cd164/Ltb/Tyrobp/Fos/Tgfbr3/Flcn/H2-Eb1/Tnrc6a/Creb1/Prr7/Bcl6/Cd3g/Cd27/Ccr6/Prkcz/Pik3r1/Irf1/Srf/F2rl1/Tnrc6b/Chd7/Foxp3/Ly9/Il7r/Lck/Sox4/Dusp10/Cd79b/Ikzf1/App/Prkx/Tnrc6c/Dock11/Mdk/Cd1d1/Mapk14/Vcam1/Klf2/Zbtb24/Pip4k2a/Blk/Cd74/Pde1b/Snrk/Gps2/H2-Ea/Mmp14/Crebbp/C1qc/Cnot4/Tcf7/Rhoh/Tgfbr1/H2-T23/Il27ra/Inpp5d/Itpkb/Ptk2b/Tgfbr2/H2-D1/Klf13/Actn1/Mysm1/Clcf1/Atp11c/Tox/Pld4/Psmb10/Ptpn22/Zfp36/Foxp1/Parp3/Cd3e/Stk4/Lmbr1l/Dtx1/Ppargc1b/L3mbtl3/H2-Q7/Trf/Smad5/Ostm1/Fli1/Jun/Lmo2/Il18r1" 90
