"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "79/511" "273/8821" 2.82133375442159e-35 9.02262534664023e-32 8.26799281295757e-32 "Polr2d/Rcl1/Tsr1/Nob1/Ddx3x/Noc4l/Nip7/Nmd3/Prmt7/Ruvbl1/Mrps7/Ddx21/Mrps2/Krr1/Ddx1/Snrpd2/Ran/Mybbp1a/Hsp90aa1/Utp15/Exosc6/Ptges3/Abce1/Shq1/Pop7/Exosc2/Rpl7l1/Eif3b/Rsl1d1/Nat10/Hsp90ab1/Srfbp1/Rrp15/C1qbp/Rps27l/Smn1/Prpf19/Usp39/Mrto4/Rps19/Taf9/Luc7l/Cdc73/Tbl3/Wdr75/Ltv1/Wdr74/Txnl4a/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Eif2s2/Dis3/Ebna1bp2/Wdr18/Mrpl20/Pelp1/Snrpb/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Heatr3/Prmt5/Rrp1b/Lsm2/Gemin5/Pwp1/Strap/Npm3/Nol10/Imp4" 79
"GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "72/511" "300/8821" 1.65271320968679e-26 1.91499965963571e-23 1.75483330121649e-23 "Rcl1/Tsr1/Nob1/Noc4l/Wars/Ddx21/Krr1/Ddx1/Mettl4/Pop1/Sars/Ran/Mettl1/Utp15/Gars/Exosc6/Shq1/Pop7/Rars/Exosc2/Rpl7l1/Eprs/Rsl1d1/Ppa1/Pus10/Nat10/Farsb/Srfbp1/Rrp15/Tars/Trnt1/Lars/Wdr4/Kars/Mrto4/Rps19/Eef1e1/Nfkb1/Tbl3/Iars/Wdr75/Wdr74/Pus1/Trmt6/Ddx49/Gemin4/Pa2g4/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Dtwd1/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Dph3/Rpp25/Lyar/Rrp12/Thg1l/Rrs1/Bop1/Nars/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 72
"GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "57/511" "190/8821" 2.10376794661854e-26 1.91499965963571e-23 1.75483330121649e-23 "Rcl1/Tsr1/Nob1/Ddx3x/Noc4l/Nip7/Nmd3/Mrps7/Ddx21/Mrps2/Krr1/Ran/Mybbp1a/Utp15/Exosc6/Abce1/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Nat10/Srfbp1/Rrp15/C1qbp/Rps27l/Mrto4/Rps19/Tbl3/Wdr75/Ltv1/Wdr74/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Dis3/Ebna1bp2/Wdr18/Mrpl20/Pelp1/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Heatr3/Rrp1b/Pwp1/Npm3/Nol10/Imp4" 57
"GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "102/511" "570/8821" 2.39524660367193e-26 1.91499965963571e-23 1.75483330121649e-23 "Polr2d/Polr2h/Rcl1/Tsr1/Nob1/Syncrip/Eftud2/Noc4l/Ncl/Prmt7/Ddx21/Krr1/Ddx1/Mettl4/Pop1/Sars/Snrpd2/Mettl1/Adarb1/Utp15/Exosc6/Shq1/Pop7/Sf3b4/Exosc2/Rpl7l1/Thoc3/Hspa8/Zmpste24/Rsl1d1/Tbrg4/Pus10/Nat10/Srfbp1/Rrp15/Prpf38a/Supv3l1/Pcbp1/Polr2f/C1qbp/Rnps1/Smn1/Prpf19/Trnt1/Nup98/Magoh/Wdr4/Kars/Usp39/Mrto4/Rps19/Luc7l/Gtf2f1/Tnf/Cdc73/Tbl3/Pabpc4/Wdr75/Wdr74/Pus1/Txnl4a/Trmt6/Ddx49/Gemin4/Pa2g4/Ecd/Magohb/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Tgfb1/Dtwd1/Ncbp2/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Snrpb/Dph3/Rpp25/Leo1/Lyar/Gtf2f2/Rrp12/Thg1l/Rrs1/Prpf40a/Bop1/Prkrip1/Ftsj3/Prmt5/Rrp1b/Lsm2/Gemin5/Strap/Npm3/Nol10/Imp4" 102
"GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "58/511" "235/8821" 4.32769849605055e-22 2.76799595807393e-19 2.53648686589574e-19 "Rcl1/Tsr1/Nob1/Noc4l/Ddx21/Krr1/Ddx1/Pop1/Sars/Mettl1/Utp15/Exosc6/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Pus10/Nat10/Srfbp1/Rrp15/Trnt1/Wdr4/Kars/Mrto4/Rps19/Tbl3/Wdr75/Wdr74/Pus1/Trmt6/Ddx49/Gemin4/Pa2g4/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Dtwd1/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Dph3/Rpp25/Lyar/Rrp12/Thg1l/Rrs1/Bop1/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 58
"GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "43/511" "143/8821" 3.63979872623822e-20 1.94001272108497e-17 1.77775432523635e-17 "Rcl1/Tsr1/Nob1/Noc4l/Ddx21/Krr1/Utp15/Exosc6/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Nat10/Srfbp1/Rrp15/Mrto4/Rps19/Tbl3/Wdr75/Wdr74/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Dis3/Ebna1bp2/Wdr18/Pelp1/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 43
"GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "76/511" "453/8821" 7.0966081458216e-18 3.24213612147678e-15 2.97097098916802e-15 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Mrps10/Sars/Ptcd3/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Pabpc4/Iars/Eif5a/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Dph3/Mrpl11/Tufm/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 76
"GOBP_PEPTIDE_METABOLIC_PROCESS" "GOBP_PEPTIDE_METABOLIC_PROCESS" "GOBP_PEPTIDE_METABOLIC_PROCESS" "83/511" "550/8821" 1.3474782730917e-16 5.38654439668406e-14 4.93602567406222e-14 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Ece2/Mrps10/Sars/Thop1/Ptcd3/Gsto1/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Ide/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Ctsz/Pabpc4/Iars/Eif5a/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Ece1/Dph3/Mrpl11/Tufm/Ifng/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 83
"GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "80/511" "538/8821" 1.24451977822898e-15 4.42219361197363e-13 4.05233106735611e-13 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Mrps10/St6galnac4/Sars/Ptcd3/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Slc25a15/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Pabpc4/Iars/Eif5a/Hsd17b12/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Dph3/Mrpl11/St6galnac6/Tufm/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 80
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "35/511" "126/8821" 1.98913950015689e-15 6.36126812150173e-13 5.82922565098609e-13 "Mrpl3/Mrps28/Mrps7/Mrps2/Mettl4/Mrps10/Ptcd3/Mrpl54/Mrps18a/Gars/Lrpprc/Mrps12/Mrpl37/Tbrg4/Mrps18b/Mrps31/Mrpl47/Supv3l1/C1qbp/Mrpl50/Trnt1/Mrpl2/Mrps30/Tsfm/Mrps6/Shmt2/Slc25a33/Pus1/Mrpl12/Mrpl20/Mrpl11/Tufm/Gfm1/Mrpl16/Mrps22" 35
