"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "39/236" "160/3069" 1.46738163359942e-11 6.89669367791726e-10 6.02398775898708e-10 "Vbp1/Ndufab1/Mcm6/Hdgf/Usp1/Xrcc6/Nap1l1/Dek/Eprs/Psmd14/Tomm70a/Snrpa/Pold2/Mcm2/Sf3a1/Pole3/Mcm4/Ruvbl2/Hspe1/Cops5/G3bp1/Psmb2/Kpnb1/Got2/Ywhae/Cdk4/Cct5/Ube2e1/Rad23b/Tcp1/Psmd8/Cct7/Hspd1/Vdac3/Snrpd1/Mcm5/Pcna/Lsm2/Odc1" 39
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "32/236" "158/3069" 1.55621665264944e-07 3.65710913372617e-06 3.194339444912e-06 "Hspa4/Bcat1/Cyp51/Asns/Tfrc/Immt/Eprs/Uchl5/Pdap1/Psmd14/Mcm2/Psat1/Mcm4/Psmd12/Hspe1/Cops5/Idi1/Psmb5/Sdf2l1/Tmem97/Cdc25a/Slc1a4/Dhcr24/Psmc2/Insig1/Tpi1/Mthfd2/Acsl3/Hspd1/Sqle/Cth/Phgdh" 32
"HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "29/236" "149/3069" 1.51907507115409e-06 2.37988427814141e-05 2.07873430789507e-05 "Chek1/Mcm6/Tfrc/Usp1/Pola2/Rbbp7/Xrcc6/Nap1l1/Dek/Mre11a/Hus1/Pold2/Mcm2/Tipin/Mcm4/Nasp/Psmc3ip/Paics/Cdc25a/Ssrp1/Cdk4/Anp32e/Mthfd2/Eed/Mcm5/Pcna/Hmga1/Nup107/Mcm3" 29
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "31/236" "170/3069" 2.80041950728595e-06 3.29049292106099e-05 2.87411475747768e-05 "Ndufab1/Immt/Cycs/Cox7b/Tomm22/Tomm70a/Aifm1/Dld/Mrpl34/Ndufb6/Cox7a2/Cox11/Htra2/Mrps11/Bax/Cox5b/Fh1/Got2/Etfb/Ndufc1/Mrps15/Cox6c/Alas1/Vdac3/Sdhb/Etfa/Atp5a1/Atp5e/Cox17/Ndufa5/Ndufb8" 31
"HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "23/236" "145/3069" 0.000524453961164673 0.00492986723494792 0.00430604304956258 "Chek1/Mcm6/Pola2/Dtymk/Hif1a/Hus1/Prmt5/Mcm2/Marcks/Rbm14/Nasp/G3bp1/Cdc25a/Kpnb1/Cdk4/Uck2/Rad23b/Snrpd1/Mcm5/Sqle/Odc1/Hmga1/Mcm3" 23
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "23/236" "160/3069" 0.00210419881655055 0.0164828907296459 0.0143971497974511 "Syngr2/Gbp3/Cd44/Batf/Il2ra/Etv4/Tnfrsf9/Spp1/Il10/Plscr1/Snx9/Lif/Cxcl10/Ctsz/Furin/Cish/Uck2/Tiam1/Socs1/Csf2/Odc1/Bcl2l1/Eomes" 23
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "9/236" "57/3069" 0.0278823108526027 0.187209801438904 0.163520319285941 "Cyp51/Hsd17b7/Plscr1/Idi1/Tmem97/Gldc/Sqle/Adh4/Fabp5" 9
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "7/236" "43/3069" 0.0431312682430419 0.253396200927871 0.221331508089294 "Mcm4/Hspe1/Tmem97/Cdk4/Hspd1/Las1l/Mcm5" 7
"HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "17/236" "149/3069" 0.0616774900543862 0.322093559172906 0.281335919546323 "Phldb1/Ndufab1/Immt/Cox7b/Angptl4/Aifm1/Ddt/Dld/Mgll/Rtn3/Gphn/Etfb/Rnf11/Sdhb/Nkiras1/Ndufa5/Ywhag" 17
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "13/236" "110/3069" 0.0762998087776895 0.356999774061442 0.31182511060238 "Acsl5/Hsd17b7/Dld/Mgll/Alad/Idi1/Fh1/Mif/Dhcr24/Acsl4/Ube2l6/Odc1/Nthl1" 13
"HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "10/236" "80/3069" 0.0835531386101248 0.356999774061442 0.31182511060238 "Acsl5/Atxn1/Slc25a17/Idi1/Dhcr24/Acsl4/Ide/Crabp2/Abcd3/Nudt19" 10
"HALLMARK_ANDROGEN_RESPONSE" "HALLMARK_ANDROGEN_RESPONSE" "HALLMARK_ANDROGEN_RESPONSE" "9/236" "86/3069" 0.212505987343908 0.695642413252577 0.607615993658466 "Xrcc6/Vapa/Idi1/Lman1/Dhcr24/Insig1/Acsl3/Spcs3/Srp19" 9
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "3/236" "21/3069" 0.215815363898223 0.695642413252577 0.607615993658466 "Timp1/Spp1/Vav2" 3
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "7/236" "64/3069" 0.21822130772157 0.695642413252577 0.607615993658466 "Cd44/Il2ra/Cxcl10/Socs1/Csf2/Il15ra/Hax1" 7
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "9/236" "88/3069" 0.232232281003422 0.695642413252577 0.607615993658466 "Asns/Fus/Psat1/Atf4/Pdia5/Slc1a4/Aldh18a1/Mthfd2/Spcs3" 9
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "14/236" "148/3069" 0.24430096569758 0.695642413252577 0.607615993658466 "Cd44/Tnfrsf9/Plek/Marcks/Plk2/Inhba/Slc16a6/Lif/Cxcl10/Edn1/Ifih1/Csf2/Il15ra/Slc2a6" 14
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "13/236" "137/3069" 0.251615340963698 0.695642413252577 0.607615993658466 "Timp1/Tnfrsf9/Rgs1/Hif1a/Il10/Cd70/Inhba/Lif/Cxcl10/Irak2/Slc31a1/Edn1/Il15ra" 13
"HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "11/236" "118/3069" 0.295773284086618 0.772296908448391 0.674570647916848 "Pola2/Taf9/Ssrp1/Fen1/Cox17/Tarbp2/Pcna/Gtf3c5/Zwint/Tmed2/Pom121" 11
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "7/236" "76/3069" 0.367093427499591 0.908073215393724 0.793165854431248 "Acsl5/Ch25h/Atxn1/Idi1/Dhcr24/Paox/Abcd3" 7
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "8/236" "92/3069" 0.412762424290852 0.969991697083501 0.847249186702274 "Timp1/Plek/P2ry1/Crip2/Furin/Prep/Dusp6/Dusp14" 8
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "10/236" "125/3069" 0.497377496126241 0.998268908545943 0.871948206792649 "Actb/Itga3/Vcl/Vav2/Fscn1/Insig1/Tspan4/Myh10/Akt3/Cdh15" 10
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "6/236" "78/3069" 0.562437770701058 0.998268908545943 0.871948206792649 "Gbp3/Plscr1/Gbp2/Cxcl10/Ifih1/Ube2l6" 6
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "7/236" "94/3069" 0.593528280040545 0.998268908545943 0.871948206792649 "Mgll/Atxn1/Vav2/Insig1/Prkca/Id1/Akt3" 7
"HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "6/236" "82/3069" 0.612673828104926 0.998268908545943 0.871948206792649 "Strbp/Pebp1/Mlf1/Ide/Vdac3/Il12rb2" 6
"HALLMARK_GLYCOLYSIS" "HALLMARK_GLYCOLYSIS" "HALLMARK_GLYCOLYSIS" "11/236" "152/3069" 0.631471991474965 0.998268908545943 0.871948206792649 "Cd44/Abcb6/Angptl4/Dld/Nasp/Got2/Mif/Tpi1/Txn1/Cth/Hax1" 11
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "10/236" "141/3069" 0.655261166141259 0.998268908545943 0.871948206792649 "Hdgf/Psmd9/Asns/Tfrc/Acsl6/Abcb6/Alad/Htra2/Slc6a9/Agpat4" 10
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "9/236" "128/3069" 0.662361887120845 0.998268908545943 0.871948206792649 "Etv4/Spp1/Angptl4/Inhba/Lif/Cxcl10/Evi5/Dusp6/Csf2" 9
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "11/236" "159/3069" 0.691084237967145 0.998268908545943 0.871948206792649 "Gbp3/Hif1a/Plscr1/Cxcl10/Psmb2/Ifih1/Mthfd2/Socs1/Ube2l6/Il15ra/Sectm1a" 11
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "8/236" "124/3069" 0.750748594214484 0.998268908545943 0.871948206792649 "Asns/Tfrc/Pdap1/Pole3/Fen1/Furin/Alas1/Cyb5r1" 8
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/236" "37/3069" 0.790385621557002 0.998268908545943 0.871948206792649 "Furin/Id1" 2
"HALLMARK_NOTCH_SIGNALING" "HALLMARK_NOTCH_SIGNALING" "HALLMARK_NOTCH_SIGNALING" "1/236" "20/3069" 0.799209110270349 0.998268908545943 0.871948206792649 "Prkca" 1
"HALLMARK_PANCREAS_BETA_CELLS" "HALLMARK_PANCREAS_BETA_CELLS" "HALLMARK_PANCREAS_BETA_CELLS" "1/236" "20/3069" 0.799209110270349 0.998268908545943 0.871948206792649 "Akt3" 1
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "9/236" "150/3069" 0.829355517405394 0.998268908545943 0.871948206792649 "Plk2/Pmm1/Lif/Slc19a2/Bax/Socs1/Pcna/Mapkapk3/Pom121" 9
"HALLMARK_PROTEIN_SECRETION" "HALLMARK_PROTEIN_SECRETION" "HALLMARK_PROTEIN_SECRETION" "4/236" "74/3069" 0.833321650976735 0.998268908545943 0.871948206792649 "Scamp1/Lman1/Anp32e/Tmed2" 4
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "10/236" "166/3069" 0.835985350712961 0.998268908545943 0.871948206792649 "Timp1/Il2ra/Bcat1/Hif1a/Il10/Gbp2/Aars/Inhba/Lif/Socs1" 10
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "8/236" "142/3069" 0.8678045574945 0.998268908545943 0.871948206792649 "Cd44/Batf/Slc1a4/Cish/Etfb/Tiam1/Cox6c/Fabp5" 8
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "8/236" "148/3069" 0.895182923045096 0.998268908545943 0.871948206792649 "Uxt/Marcks/Csnk1d/Vcl/Fscn1/Ywhae/Tiam1/Myh10" 8
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "5/236" "107/3069" 0.92468539721511 0.998268908545943 0.871948206792649 "Tg/Lgals7/Arhgdig/Edn1/Gtf3c5" 5
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "3/236" "80/3069" 0.952928881751599 0.998268908545943 0.871948206792649 "Pla2g12a/Cdk4/Tiam1" 3
"HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "6/236" "135/3069" 0.955907013072953 0.998268908545943 0.871948206792649 "Bcat1/Ddt/Pmm1/Tmem97/Alas1/Comt" 6
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY" "HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY" "HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY" "1/236" "39/3069" 0.956756011537621 0.998268908545943 0.871948206792649 "Txn1" 1
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "5/236" "120/3069" 0.960998496011884 0.998268908545943 0.871948206792649 "Cd44/Timp1/Fgf2/Spp1/Inhba" 5
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "5/236" "126/3069" 0.971617983417872 0.998268908545943 0.871948206792649 "Cd44/Timp1/Bax/Cth/Bcl2l1" 5
"HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "6/236" "151/3069" 0.980380666651991 0.998268908545943 0.871948206792649 "Cd44/Slc39a6/Slc19a2/Slc1a4/Cish/Tiam1" 6
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "5/236" "134/3069" 0.981652576673087 0.998268908545943 0.871948206792649 "Syngr2/Fgf2/Sln/Cox7a1/Igfbp7" 5
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "5/236" "138/3069" 0.985321938592788 0.998268908545943 0.871948206792649 "Timp1/Plscr1/Plek/Prep/Dusp6" 5
"HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "4/236" "153/3069" 0.998268908545943 0.998268908545943 0.871948206792649 "Angptl4/Mif/Tpi1/Prkca" 4
