"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "3/8" "78/3069" 0.000807035988617986 0.0121055398292698 0.00934462723662931 "Gbp3/Cxcl10/Ube2l6" 3
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/8" "159/3069" 0.00630238296040715 0.0320736722071703 0.0247586241599209 "Gbp3/Cxcl10/Ube2l6" 3
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "3/8" "160/3069" 0.00641473444143405 0.0320736722071703 0.0247586241599209 "Gbp3/Cxcl10/Furin" 3
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "2/8" "134/3069" 0.0445731264240995 0.167149224090373 0.129027471227656 "Igfbp7/Mef2c" 2
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "1/8" "37/3069" 0.0925764703036992 0.277729410911098 0.214387615440146 "Furin" 1
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "1/8" "64/3069" 0.155312288735593 0.350255542124745 0.270372699184014 "Cxcl10" 1
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "1/8" "76/3069" 0.181953768393784 0.350255542124745 0.270372699184014 "Ch25h" 1
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "1/8" "92/3069" 0.216330547989146 0.350255542124745 0.270372699184014 "Furin" 1
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "1/8" "107/3069" 0.247403916845427 0.350255542124745 0.270372699184014 "Ifng" 1
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "1/8" "110/3069" 0.253487520613287 0.350255542124745 0.270372699184014 "Ube2l6" 1
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "1/8" "124/3069" 0.28131236229376 0.350255542124745 0.270372699184014 "Furin" 1
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "1/8" "128/3069" 0.28909371771324 0.350255542124745 0.270372699184014 "Cxcl10" 1
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "1/8" "137/3069" 0.306332782632594 0.350255542124745 0.270372699184014 "Cxcl10" 1
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "1/8" "148/3069" 0.326905172649762 0.350255542124745 0.270372699184014 "Cxcl10" 1
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "1/8" "166/3069" 0.359418743992486 0.359418743992486 0.2774460479942 "Ifng" 1
