"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "26/191" "160/3069" 3.28088720825721e-06 0.000154201698788089 0.00013814261929504 "Hdgf/Xrcc6/Nap1l1/Eprs/Tomm70a/Eif4g2/Snrpa/Pold2/Pole3/Ruvbl2/Cops5/G3bp1/Psmb2/Kpnb1/Ywhae/Cdk4/Rpl22/Cct5/Ube2e1/Rad23b/Tcp1/Cct7/Hspd1/Snrpd1/Lsm2/Odc1" 26
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "22/191" "160/3069" 0.000269202056635032 0.00632624833092325 0.00566741171863225 "Syngr2/Cd44/Batf/Il2ra/Etv4/Ecm1/Ahnak/Lif/Cxcl10/Rora/Enpp1/Klf6/Twsg1/Furin/Hipk2/Hopx/Uck2/Tiam1/Socs1/Gpr65/Csf2/Odc1" 22
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "10/191" "57/3069" 0.00227010378626262 0.0355649593181143 0.0318611057721069 "Trp53inp1/Hsd17b7/Tnfrsf12a/Anxa5/Idi1/Tmem97/S100a11/Sqle/Adh4/Fabp5" 10
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "9/191" "64/3069" 0.0161582344337708 0.189859254596806 0.170086678250219 "Cd44/Il2ra/Stat1/Tnfrsf12a/Irf9/Cxcl10/Socs1/Csf2/Il15ra" 9
"HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "16/191" "149/3069" 0.0208315164257009 0.195816254401588 0.175423296216428 "Psip1/Rbbp7/Xrcc6/Nap1l1/Mre11a/Hus1/Pold2/Prkdc/Nasp/Cdc25a/Cdk4/Anp32e/Mthfd2/Eed/Hmga1/Nup107" 16
"HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "15/191" "145/3069" 0.0335021111520462 0.228468804987318 0.204675301220442 "Dtymk/Hus1/Prmt5/Rps6ka5/G3bp1/Nasp/Cdc25a/Kpnb1/Cdk4/Uck2/Rad23b/Snrpd1/Sqle/Odc1/Hmga1" 15
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "16/191" "158/3069" 0.0340272688278984 0.228468804987318 0.204675301220442 "Bcat1/Asns/Eprs/Psmd12/Cops5/Idi1/Tmem97/Cdc25a/Slc1a4/Psmc2/Insig1/Mthfd2/Hspd1/Sqle/Uchl5/Cth" 16
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "14/191" "148/3069" 0.0732370015680504 0.430267384212296 0.385457902989739 "Cd44/Id2/Plek/Plk2/Inhba/Lif/Cxcl10/Klf6/Birc2/Csf2/Il15ra/B4galt1/Slc16a6/Slc2a6" 14
"HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "8/191" "80/3069" 0.1215284195278 0.631492118845945 0.565726422258406 "Mlycd/Slc25a17/Idi1/Acsl4/Crabp2/Abcd1/Abcd3/Nudt19" 8
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "12/191" "137/3069" 0.141673505477318 0.631492118845945 0.565726422258406 "Timp1/Cd70/Kif1b/P2rx7/Inhba/Lif/Cxcl10/Klf6/Slc31a1/Aqp9/Il15ra/Ffar2" 12
