"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/21" "160/3069" 0.000515993060700175 0.011867840396104 0.0103198612140035 "Batf/Cxcl10/Twsg1/Furin/Hopx/Tiam1" 6
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "3/21" "64/3069" 0.00879935487438888 0.101192581055472 0.0879935487438889 "Stat1/Irf9/Cxcl10" 3
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "4/21" "159/3069" 0.0207985838822461 0.147889310519399 0.128599400451651 "Stat1/Irf9/Cxcl10/Znfx1" 4
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/21" "37/3069" 0.0257198800903303 0.147889310519399 0.128599400451651 "Id2/Furin" 2
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "3/21" "137/3069" 0.0642810970460942 0.26866769831554 0.233624085491774 "Cxcl10/Aqp9/Ffar2" 3
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "3/21" "142/3069" 0.0700872256475323 0.26866769831554 0.233624085491774 "Batf/Id2/Tiam1" 3
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "2/21" "76/3069" 0.0939031289833376 0.282173611780862 0.245368358070315 "Ch25h/Aqp9" 2
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "2/21" "78/3069" 0.0981473432281259 0.282173611780862 0.245368358070315 "Irf9/Cxcl10" 2
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "2/21" "92/3069" 0.129303009398318 0.308053577306469 0.267872675918669 "Furin/Dusp14" 2
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/21" "94/3069" 0.133936337959334 0.308053577306469 0.267872675918669 "Mgll/Ltbp1" 2
