"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "22/42" "159/3069" 2.60734207913813e-18 7.82202623741439e-17 6.86142652404771e-17 "Il4ra/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Rnf213/Zbp1/Gbp3/Casp1/Ddx58/Rtp4/Parp14/Oas2/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Klrk1/Irf7" 22
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "17/42" "78/3069" 1.93761265470475e-17 2.90641898205713e-16 2.54949033513783e-16 "Il4ra/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Gbp3/Casp1/Rtp4/Parp14/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Irf7" 17
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "7/42" "160/3069" 0.0052797366040522 0.052797366040522 0.046313478982914 "Il4ra/Batf/Nrp1/Tlr7/Gbp3/Hopx/Tiam1" 7
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "5/42" "137/3069" 0.0371491059264224 0.278618294448168 0.244402012673831 "Il4ra/Rtp4/Irak2/Edn1/Irf7" 5
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "5/42" "148/3069" 0.0492347659480565 0.295408595688339 0.259130347095034 "Ifit2/Ddx58/Edn1/Ifih1/Tap1" 5
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "2/42" "31/3069" 0.066223242586039 0.331116212930195 0.29045281835982 "Efna5/Gata3" 2
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "1/42" "21/3069" 0.2519820906691 0.876421596901608 0.768790874475095 "Nrp1" 1
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "3/42" "134/3069" 0.276993151596623 0.876421596901608 0.768790874475095 "Sln/Igfbp7/Mef2c" 3
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "1/42" "24/3069" 0.282489830134069 0.876421596901608 0.768790874475095 "Nrp1" 1
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "3/42" "138/3069" 0.292140532300536 0.876421596901608 0.768790874475095 "Casp1/Gata3/Irf7" 3
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/42" "94/3069" 0.370562481006505 0.90088320756505 0.790248427688641 "Nrp1/Ltbp1" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "3/42" "166/3069" 0.39884212137607 0.90088320756505 0.790248427688641 "Il4ra/Tap1/Irf7" 3
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "2/42" "107/3069" 0.433968814472976 0.90088320756505 0.790248427688641 "Edn1/Rsad2" 2
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "2/42" "125/3069" 0.516086694513469 0.90088320756505 0.790248427688641 "Itga3/Fscn1" 2
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "2/42" "126/3069" 0.52042635222007 0.90088320756505 0.790248427688641 "Casp1/Tap1" 2
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "2/42" "142/3069" 0.586413947396764 0.90088320756505 0.790248427688641 "Batf/Tiam1" 2
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "1/42" "64/3069" 0.589814907637481 0.90088320756505 0.790248427688641 "Il4ra" 1
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "2/42" "148/3069" 0.609444252707592 0.90088320756505 0.790248427688641 "Fscn1/Tiam1" 2
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "2/42" "150/3069" 0.616910385029068 0.90088320756505 0.790248427688641 "Casp1/Tap1" 2
