"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "40/415" "170/3069" 0.00018927058765969 0.00946352938298448 0.00876621669160667 "Ndufab1/Nqo2/Aldh6a1/Ech1/Immt/Cox7b/Tomm22/Idh1/Cox7a2l/Tomm70a/Aifm1/Dld/Timm9/Mrpl34/Gpx4/Mrpl15/Cox7a2/Cox11/Htra2/Acaa1a/Mrps11/Acaa2/Bax/Cox5b/Fh1/Got2/Mgst3/Etfb/Casp7/Ndufc1/Mrps15/Cox6c/Alas1/Vdac3/Sdhb/Etfa/Atp5a1/Atp5e/Cox17/Ndufb8" 40
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "17/415" "57/3069" 0.000944843822141819 0.0236210955535455 0.0218805937759158 "Lgals3/Cyp51/Ech1/Hsd17b7/Plscr1/Lgmn/Anxa5/Idi1/Acss2/Gldc/Plaur/S100a11/Stx5a/Ethe1/Sqle/Antxr2/Adh4" 17
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "35/415" "158/3069" 0.00155104525347142 0.0258507542245237 0.0239459618079798 "Ddit4/Coro1a/Hspa4/Cyp51/Asns/Atp2a2/Immt/Idh1/Eprs/Rpa1/Uchl5/Pdap1/Psmd14/Lgmn/Mcm2/Psat1/Mcm4/Fgl2/Psmd12/Hspe1/Idi1/Psmb5/Sdf2l1/Cdc25a/Slc1a4/Glrx/Dhcr24/Tpi1/Sla/Rrp9/Acsl3/Slc9a3r1/Sqle/Cth/Phgdh" 35
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "11/415" "43/3069" 0.0241758974978673 0.282770252234755 0.26193454943851 "Ppan/Mcm4/Hspe1/Imp4/Cdk4/Gnl3/Rrp9/Pprc1/Pes1/Mcm5/Ipo4" 11
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "17/415" "78/3069" 0.0282770252234755 0.282770252234755 0.26193454943851 "Gbp3/Oas1g/Oasl1/Casp8/Plscr1/Gbp2/Usp18/H2-M3/Bst2/Epsti1/Cxcl10/Trafd1/Cd47/Sell/Cnp/Dhx58/Ube2l6" 17
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "27/415" "141/3069" 0.0346699329645422 0.288916108037852 0.267627552708747 "Ctsb/Psmd9/Aldh6a1/Add1/Asns/Ccnd3/E2f2/Abcb6/Tmem9b/Mpp1/Ypel5/Alad/Myl4/Ctns/Htatip2/Htra2/Bnip3l/Cdr2/Ppox/Blvrb/Mgst3/Cat/Slc10a3/Narf/Endod1/Hebp1/Agpat4" 27
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "15/415" "76/3069" 0.0804539666202008 0.511111323245147 0.473450488900768 "Mlycd/Scp2/Idh1/Pfkm/Ch25h/Npc1/Pex6/Atxn1/Idi1/Dhcr24/Cat/Paox/Gstk1/Abcd1/Abcd3" 15
"HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "26/415" "149/3069" 0.0971153761843071 0.511111323245147 0.473450488900768 "Ndufab1/Ech1/Immt/Cox7b/Scp2/Idh1/Angptl4/Aifm1/Pdcd4/Ddt/Dld/Dhrs7/Aldh2/Pqlc3/Gpx4/Mrpl15/Acaa2/Rtn3/Gphn/Mgst3/Etfb/Cat/Sdhb/Nkiras1/Slc5a6/Ppm1b" 26
"HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "25/415" "145/3069" 0.113777529986065 0.511111323245147 0.473450488900768 "Chek1/Mcm6/Arid4a/Pola2/Dtymk/E2f2/Hif1a/Mcm2/Marcks/Rbm14/Cdc25b/Nasp/Cdkn1b/Cdc25a/Kpnb1/Cdk4/Kif23/Rbl1/Foxn3/Rad23b/Mcm5/Sqle/Prmt5/Hmga1/Mcm3" 25
"HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "HALLMARK_PEROXISOME" "15/415" "80/3069" 0.113895388664998 0.511111323245147 0.473450488900768 "Ech1/Mlycd/Scp2/Idh1/Pex6/Atxn1/Tspo/Idi1/Acaa1a/Dhcr24/Cat/Ide/Gstk1/Abcd1/Abcd3" 15
