"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "36/68" "159/3069" 6.08411424846334e-30 2.25112227193144e-28 1.98534254423541e-28 "Trim25/Cd86/Il4ra/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Ifit3/P2ry14/Parp12/Rnf213/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Ddx58/Nod1/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Tdrd7/Mx1/Ifi35/Znfx1/Ifih1/Rsad2/Trim21/Tap1/Ube2l6/Klrk1/Irf7" 36
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "25/68" "78/3069" 2.48972006480926e-24 4.60598211989713e-23 4.06217484258353e-23 "Trim25/Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Parp12/Usp18/Gbp3/Casp1/Bst2/Rtp4/Parp14/Irf9/Cxcl10/Tdrd7/Ifi35/Ifih1/Rsad2/Trim21/Tap1/Ube2l6/Irf7" 25
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "10/68" "137/3069" 0.000714533856410114 0.00881258422905807 0.00777212264867141 "Il4ra/Il18rap/Bst2/Rtp4/Cxcl10/Irak2/Edn1/Aqp9/Irf7/Rgs1" 10
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "10/68" "160/3069" 0.00236036257222553 0.0218333537930861 0.0192555894049977 "Cd86/Il4ra/Batf/Tlr7/Gbp3/Fgl2/Cxcl10/Twsg1/Tnfrsf8/Eomes" 10
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "9/68" "148/3069" 0.00474638625227125 0.0351232582668073 0.0309764155411387 "Ifit2/Cd80/Id2/Marcks/Ddx58/Cxcl10/Edn1/Ifih1/Tap1" 9
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "8/68" "166/3069" 0.028524005008261 0.175898030884276 0.1551305535537 "Cd86/Il4ra/Stat1/Il18rap/Cd80/Ccr5/Tap1/Irf7" 8
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "4/68" "64/3069" 0.0518300983573838 0.2739590913176 0.241613992342691 "Il4ra/Stat1/Irf9/Cxcl10" 4
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "2/68" "24/3069" 0.097711936509692 0.451917706357325 0.398561846289533 "Shh/Rasa1" 2
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "2/68" "31/3069" 0.14941681693161 0.614269136274395 0.54174518419648 "Efna5/Gata3" 2
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/68" "37/3069" 0.197141039585977 0.729421846468113 0.643302339701608 "Id2/Id1" 2
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "4/68" "148/3069" 0.417159767091695 0.980143783105672 0.864422682113111 "Marcks/Rapgef5/Nin/Rasa1" 4
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "3/68" "107/3069" 0.425366522647455 0.980143783105672 0.864422682113111 "Cd80/Edn1/Rsad2" 3
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "3/68" "126/3069" 0.534611396482965 0.980143783105672 0.864422682113111 "Casp6/Casp1/Tap1" 3
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "3/68" "128/3069" 0.545461271734448 0.980143783105672 0.864422682113111 "Id2/Cxcl10/Nin" 3
"HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "3/68" "135/3069" 0.582292496974972 0.980143783105672 0.864422682113111 "Id2/Casp6/Aqp9" 3
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "3/68" "138/3069" 0.597509303475199 0.980143783105672 0.864422682113111 "Casp1/Gata3/Irf7" 3
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "3/68" "142/3069" 0.617247965328708 0.980143783105672 0.864422682113111 "Batf/Id2/Snx10" 3
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/68" "94/3069" 0.623405207957935 0.980143783105672 0.864422682113111 "Id1/Pparg" 2
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "1/68" "57/3069" 0.724477472340668 0.980143783105672 0.864422682113111 "Pparg" 1
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "2/68" "125/3069" 0.77344448444263 0.980143783105672 0.864422682113111 "Cd86/Rasa1" 2
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "2/68" "134/3069" 0.80613550030119 0.980143783105672 0.864422682113111 "Sln/Mef2c" 2
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "1/68" "76/3069" 0.821696788720947 0.980143783105672 0.864422682113111 "Aqp9" 1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "1/68" "80/3069" 0.837364434819855 0.980143783105672 0.864422682113111 "Nod1" 1
"HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "2/68" "145/3069" 0.840442576589776 0.980143783105672 0.864422682113111 "Efna5/Marcks" 2
"HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "1/68" "82/3069" 0.844681415659032 0.980143783105672 0.864422682113111 "Il12rb2" 1
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "2/68" "150/3069" 0.854172677724911 0.980143783105672 0.864422682113111 "Casp1/Tap1" 2
"HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "2/68" "153/3069" 0.861894230855278 0.980143783105672 0.864422682113111 "Casp6/Plac8" 2
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "1/68" "110/3069" 0.918735001266808 0.980143783105672 0.864422682113111 "Ube2l6" 1
"HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "1/68" "118/3069" 0.932542270915568 0.980143783105672 0.864422682113111 "Tarbp2" 1
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "1/68" "120/3069" 0.935615828686271 0.980143783105672 0.864422682113111 "Id2" 1
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "1/68" "124/3069" 0.941354839297139 0.980143783105672 0.864422682113111 "Tap1" 1
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "1/68" "141/3069" 0.960619255948242 0.980143783105672 0.864422682113111 "Endod1" 1
"HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "1/68" "149/3069" 0.967375438167081 0.980143783105672 0.864422682113111 "Pparg" 1
"HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "1/68" "151/3069" 0.968877499713652 0.980143783105672 0.864422682113111 "Endod1" 1
"HALLMARK_GLYCOLYSIS" "HALLMARK_GLYCOLYSIS" "HALLMARK_GLYCOLYSIS" "1/68" "152/3069" 0.969602767026699 0.980143783105672 0.864422682113111 "Casp6" 1
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "1/68" "158/3069" 0.973617448086563 0.980143783105672 0.864422682113111 "Fgl2" 1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "1/68" "170/3069" 0.980143783105672 0.980143783105672 0.864422682113111 "Nqo2" 1
