"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "17/34" "159/3069" 6.52929272245134e-14 1.4364443989393e-12 1.23712914741183e-12 "Cd86/Ddx60/Lgals3bp/Ifit2/Ifit3/P2ry14/Parp12/Rnf213/Gbp3/Rtp4/Oas2/Ifi35/Znfx1/Ifih1/Rsad2/Klrk1/Irf7" 17
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "12/34" "78/3069" 1.07123388332723e-11 1.17835727165996e-10 1.0148531526258e-10 "Oas1g/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Gbp3/Rtp4/Ifi35/Ifih1/Rsad2/Irf7" 12
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "5/34" "160/3069" 0.0295226340808423 0.216499316592843 0.186458741563215 "Cd86/Tlr7/Gbp3/Tiam1/Eomes" 5
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "2/34" "31/3069" 0.0453405302535802 0.249372916394691 0.214770932780117 "Efna5/Gata3" 2
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "3/34" "125/3069" 0.158809033168633 0.698759745941985 0.601802652007451 "Cd86/Itga3/Fscn1" 3
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "3/34" "148/3069" 0.223904461079186 0.703699734820298 0.60605718788351 "Marcks/Fscn1/Tiam1" 3
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "3/34" "148/3069" 0.223904461079186 0.703699734820298 0.60605718788351 "Ifit2/Marcks/Ifih1" 3
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/34" "94/3069" 0.279689200379534 0.75882492019321 0.653533424089846 "Ltbp1/Pparg" 2
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "2/34" "134/3069" 0.441459515017493 0.75882492019321 0.653533424089846 "Sln/Igfbp7" 2
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "2/34" "137/3069" 0.452927911525885 0.75882492019321 0.653533424089846 "Rtp4/Irf7" 2
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "2/34" "138/3069" 0.456723198270126 0.75882492019321 0.653533424089846 "Gata3/Irf7" 2
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "2/34" "142/3069" 0.471762411989287 0.75882492019321 0.653533424089846 "Snx10/Tiam1" 2
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "1/34" "57/3069" 0.473181261024849 0.75882492019321 0.653533424089846 "Pparg" 1
"HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "HALLMARK_G2M_CHECKPOINT" "2/34" "145/3069" 0.482888585577497 0.75882492019321 0.653533424089846 "Efna5/Marcks" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "2/34" "166/3069" 0.556817137455784 0.81666513493515 0.703347963102043 "Cd86/Irf7" 2
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "1/34" "80/3069" 0.594634930584316 0.817623029553434 0.704172944113006 "Tiam1" 1
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "1/34" "92/3069" 0.646723668823587 0.83693651259523 0.72080656587149 "Dusp14" 1
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "1/34" "107/3069" 0.702759207968378 0.854833895227466 0.736220579621741 "Rsad2" 1
"HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "1/34" "118/3069" 0.738265636787357 0.854833895227466 0.736220579621741 "Tarbp2" 1
"HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "1/34" "149/3069" 0.817593069503882 0.857486957203885 0.738505513381336 "Pparg" 1
"HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "1/34" "151/3069" 0.821816890744974 0.857486957203885 0.738505513381336 "Tiam1" 1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "1/34" "170/3069" 0.857486957203885 0.857486957203885 0.738505513381336 "Nqo2" 1
