"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "32/66" "159/3069" 5.10876724796884e-25 1.89024388174847e-23 1.66707141775825e-23 "Trim25/Cd86/Adar/Il4ra/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/P2ry14/Parp12/Rnf213/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Nod1/Rtp4/Parp14/Oas2/Tdrd7/Mx1/Ifi35/Znfx1/Ifih1/Rsad2/Tap1/Ube2l6/Klrk1/Irf7" 32
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "23/66" "78/3069" 9.99018822761001e-22 1.84818482210785e-20 1.62997807924163e-20 "Trim25/Adar/Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Parp12/Usp18/Gbp3/Casp1/Bst2/Rtp4/Parp14/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Irf7" 23
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "11/66" "160/3069" 0.000484522079026753 0.00597577230799662 0.00527024015783485 "Cd86/Il4ra/Nrp1/Tlr7/Gbp3/Fgl2/Furin/Hopx/Tiam1/Il18r1/Eomes" 11
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "10/66" "166/3069" 0.00247068671785534 0.0228538521401619 0.0201556021719778 "Cd86/Il4ra/Il18rap/Cd80/Ccr5/Ifng/Klrd1/Cxcr3/Tap1/Irf7" 10
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "8/66" "137/3069" 0.00824751434909284 0.061031606183287 0.0538258831203954 "Il4ra/Il18rap/Bst2/Rtp4/Aqp9/Ffar2/Irf7/Il18r1" 8
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "5/66" "94/3069" 0.049828160368753 0.30727365560731 0.27099525814585 "Nrp1/Mgll/Id1/Ltbp1/Pparg" 5
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "2/66" "31/3069" 0.142413213942581 0.752755559410787 0.663881147702259 "Efna5/Gata3" 2
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/66" "37/3069" 0.188340707408778 0.867278914848158 0.764883253493397 "Furin/Id1" 2
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "5/66" "148/3069" 0.210959736044147 0.867278914848158 0.764883253493397 "Ifit2/Cd80/Marcks/Ifih1/Tap1" 5
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "1/66" "21/3069" 0.367484401378526 0.977688811540183 0.862257557830602 "Nrp1" 1
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "2/66" "64/3069" 0.402703693327829 0.977688811540183 0.862257557830602 "Il4ra/Il18r1" 2
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "3/66" "107/3069" 0.406427730493451 0.977688811540183 0.862257557830602 "Cd80/Ifng/Rsad2" 3
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "1/66" "24/3069" 0.407702630918708 0.977688811540183 0.862257557830602 "Nrp1" 1
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "2/66" "76/3069" 0.490790726817862 0.977688811540183 0.862257557830602 "Ch25h/Aqp9" 2
