"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "8/15" "159/3069" 2.05973196728316e-07 2.88362475419643e-06 2.38495280422261e-06 "Trim25/Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Ube2l6" 8
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/15" "78/3069" 2.29460183011671e-05 0.000160622128108169 0.00013284536911202 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "3/15" "160/3069" 0.039845472693401 0.185945539235871 0.153789543728916 "Nrp1/Fgl2/Selp" 3
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "1/15" "21/3069" 0.0980791705915391 0.311734741376535 0.257825725950518 "Nrp1" 1
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "1/15" "24/3069" 0.111333836205905 0.311734741376535 0.257825725950518 "Nrp1" 1
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "2/15" "137/3069" 0.142285383961703 0.331999229243974 0.274585828698023 "Bst2/Ffar2" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "2/15" "166/3069" 0.193036660406779 0.386073320813558 0.319308761575123 "Ccr5/Cxcr3" 2
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "1/15" "76/3069" 0.314087178404754 0.520291036079535 0.430315894501871 "Ch25h" 1
"HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "1/15" "82/3069" 0.334472808908272 0.520291036079535 0.430315894501871 "Il12rb2" 1
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "1/15" "94/3069" 0.373558910231195 0.522982474323673 0.432541896057173 "Nrp1" 1
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "1/15" "110/3069" 0.422347031426537 0.537532585451956 0.444575822554249 "Ube2l6" 1
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "1/15" "128/3069" 0.472984644874309 0.548278605540997 0.453463508342178 "Nrp1" 1
"HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "1/15" "153/3069" 0.536470559343372 0.548278605540997 0.453463508342178 "Plac8" 1
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "1/15" "158/3069" 0.548278605540997 0.548278605540997 0.453463508342178 "Fgl2" 1
