"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "4/12" "166/3069" 0.00290301520282692 0.0493512584480576 0.0427812766732388 "Cd80/Tap1/Ifng/Klrd1" 4
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/12" "159/3069" 0.0212447943583305 0.180580752045809 0.156540590008751 "Tap1/Nod1/Adar" 3
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "2/12" "78/3069" 0.0356903027722521 0.202245049042762 0.175320785547905 "Tap1/Adar" 2
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "2/12" "107/3069" 0.0632926125719104 0.268993603430619 0.233183309475459 "Cd80/Ifng" 2
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "2/12" "124/3069" 0.0820367349837195 0.278924898944646 0.241792482057278 "Tap1/Ntrk3" 2
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "2/12" "148/3069" 0.11110413917013 0.288324740550733 0.249940951561007 "Cd80/Tap1" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/12" "160/3069" 0.126595574301152 0.288324740550733 0.249940951561007 "Il18r1/Eomes" 2
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "1/12" "37/3069" 0.135682230847404 0.288324740550733 0.249940951561007 "Id1" 1
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "1/12" "64/3069" 0.223803577810656 0.422740091420128 0.36646199875429 "Il18r1" 1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "1/12" "80/3069" 0.272056436524811 0.452523725051172 0.392280628527332 "Nod1" 1
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "1/12" "94/3069" 0.312005246278992 0.452523725051172 0.392280628527332 "Id1" 1
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "1/12" "125/3069" 0.393412527118772 0.452523725051172 0.392280628527332 "Fscn1" 1
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "1/12" "126/3069" 0.395885030404972 0.452523725051172 0.392280628527332 "Tap1" 1
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "1/12" "134/3069" 0.415334991656177 0.452523725051172 0.392280628527332 "Mef2c" 1
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "1/12" "137/3069" 0.422479495281901 0.452523725051172 0.392280628527332 "Il18r1" 1
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "1/12" "148/3069" 0.447996808575561 0.452523725051172 0.392280628527332 "Fscn1" 1
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "1/12" "150/3069" 0.452523725051172 0.452523725051172 0.392280628527332 "Tap1" 1
