"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "3/5" "160/3069" 0.00128716494044751 0.0167331442258176 0.0121941941726606 "Furin/Tiam1/Nrp1" 3
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/5" "94/3069" 0.00873979340014693 0.0568086571009551 0.0413990213691171 "Ltbp1/Nrp1" 2
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "1/5" "21/3069" 0.0337697901141267 0.125185514339468 0.0912283100449568 "Nrp1" 1
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "1/5" "24/3069" 0.0385186197967595 0.125185514339468 0.0912283100449568 "Nrp1" 1
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "1/5" "37/3069" 0.058881616370934 0.153092202564428 0.111565167860717 "Furin" 1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "1/5" "80/3069" 0.123791986888539 0.241684743612573 0.176126533806733 "Tiam1" 1
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "1/5" "92/3069" 0.14125157031821 0.241684743612573 0.176126533806733 "Furin" 1
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "1/5" "124/3069" 0.186453444354401 0.241684743612573 0.176126533806733 "Furin" 1
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "1/5" "128/3069" 0.191967126113131 0.241684743612573 0.176126533806733 "Nrp1" 1
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "1/5" "142/3069" 0.21103007371468 0.241684743612573 0.176126533806733 "Tiam1" 1
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "1/5" "148/3069" 0.219088944919627 0.241684743612573 0.176126533806733 "Tiam1" 1
"HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "1/5" "151/3069" 0.223093609488529 0.241684743612573 0.176126533806733 "Tiam1" 1
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "1/5" "166/3069" 0.242871251355662 0.242871251355662 0.176991195319915 "Cxcr3" 1
