"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "7/18" "159/3069" 1.72472259372134e-05 0.000396686196555907 0.000326789544073517 "Mx1/Usp18/Adar/Oasl1/Nod1/Il4ra/Casp1" 7
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/18" "78/3069" 6.16588021189633e-05 0.000709076224368078 0.000584136020074389 "Usp18/Adar/Oasl1/Il4ra/Casp1" 5
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "5/18" "166/3069" 0.00210054391700939 0.0161041700304053 0.0132665931600593 "Il18rap/Klrd1/Cd80/Il4ra/Ifng" 5
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/18" "37/3069" 0.0191675440609606 0.110213378350524 0.0907936297624451 "Id1/Furin" 2
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "3/18" "137/3069" 0.0434337262854056 0.199795140912866 0.164590962765748 "Il18rap/Il4ra/Aqp9" 3
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "2/18" "94/3069" 0.103419066104503 0.396439753400594 0.326586524540535 "Mgll/Id1" 2
"HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "HALLMARK_KRAS_SIGNALING_DN" "2/18" "107/3069" 0.128365029008591 0.421770809599657 0.347454213857841 "Cd80/Ifng" 2
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "2/18" "124/3069" 0.162943361974642 0.468462165677095 0.38591848888731 "Ntrk3/Furin" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/18" "160/3069" 0.240766245750132 0.597777461712859 0.492448252211966 "Il4ra/Furin" 2
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "1/18" "64/3069" 0.31641317688669 0.597777461712859 0.492448252211966 "Il4ra" 1
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "1/18" "76/3069" 0.364047015590939 0.597777461712859 0.492448252211966 "Aqp9" 1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" "1/18" "80/3069" 0.379215662755695 0.597777461712859 0.492448252211966 "Nod1" 1
"HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "HALLMARK_COAGULATION" "1/18" "92/3069" 0.422697626991411 0.597777461712859 0.492448252211966 "Furin" 1
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "1/18" "110/3069" 0.482563120202933 0.597777461712859 0.492448252211966 "Mgll" 1
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "1/18" "126/3069" 0.530808479185861 0.597777461712859 0.492448252211966 "Casp1" 1
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "1/18" "134/3069" 0.553306584374726 0.597777461712859 0.492448252211966 "Mef2c" 1
"HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "1/18" "135/3069" 0.556046101063398 0.597777461712859 0.492448252211966 "Aqp9" 1
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "1/18" "138/3069" 0.564169758227282 0.597777461712859 0.492448252211966 "Casp1" 1
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "1/18" "141/3069" 0.572152880530337 0.597777461712859 0.492448252211966 "Endod1" 1
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "1/18" "148/3069" 0.590246442301446 0.597777461712859 0.492448252211966 "Cd80" 1
"HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "HALLMARK_ADIPOGENESIS" "1/18" "149/3069" 0.592771455666244 0.597777461712859 0.492448252211966 "Mgll" 1
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "1/18" "150/3069" 0.595281768610767 0.597777461712859 0.492448252211966 "Casp1" 1
"HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "HALLMARK_ESTROGEN_RESPONSE_EARLY" "1/18" "151/3069" 0.597777461712859 0.597777461712859 0.492448252211966 "Endod1" 1
