"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/13" "78/3069" 1.0235347785698e-05 0.000112588825642677 9.69664527066122e-05 "Tdrd7/Trim25/Bst2/Ifih1/Ube2l6" 5
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "6/13" "159/3069" 2.23270826812635e-05 0.000122798954746949 0.000105759865332301 "Tdrd7/Trim25/Bst2/Fgl2/Ifih1/Ube2l6" 6
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "2/13" "137/3069" 0.111899282734778 0.337917397786762 0.29102933780678 "Ffar2/Bst2" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/13" "160/3069" 0.144698614128312 0.337917397786762 0.29102933780678 "Hopx/Fgl2" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "2/13" "166/3069" 0.153598817175801 0.337917397786762 0.29102933780678 "Ccr5/Cxcr3" 2
"HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "HALLMARK_BILE_ACID_METABOLISM" "1/13" "76/3069" 0.278648866963719 0.467123313066644 0.402307159578928 "Ch25h" 1
"HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "HALLMARK_SPERMATOGENESIS" "1/13" "82/3069" 0.297260290133319 0.467123313066644 0.402307159578928 "Il12rb2" 1
"HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "HALLMARK_FATTY_ACID_METABOLISM" "1/13" "110/3069" 0.378396383708181 0.497670887689103 0.428616075521715 "Ube2l6" 1
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "1/13" "148/3069" 0.474721202533957 0.497670887689103 0.428616075521715 "Ifih1" 1
"HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "1/13" "153/3069" 0.486314338155195 0.497670887689103 0.428616075521715 "Plac8" 1
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "1/13" "158/3069" 0.497670887689103 0.497670887689103 0.428616075521715 "Fgl2" 1
