"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "16/29" "159/3069" 4.84519444135621e-14 1.21129861033905e-12 1.07104298177348e-12 "Ddx60/Oas2/Ifit2/Ifit3/Znfx1/Lgals3bp/Parp14/Tap1/Gbp3/Cd86/P2ry14/Irf7/Rnf213/Parp12/Rtp4/Rsad2" 16
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "11/29" "78/3069" 3.33516819220614e-11 4.16896024025768e-10 3.68623852822784e-10 "Ddx60/Ifit2/Ifit3/Lgals3bp/Parp14/Tap1/Gbp3/Irf7/Parp12/Rtp4/Rsad2" 11
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/29" "160/3069" 0.00319105539966377 0.0265921283305314 0.0235130397869962 "Gbp3/Cd86/Il18r1/Tiam1/Eomes/Tlr7" 6
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "2/29" "31/3069" 0.0338494692999224 0.211559183124515 0.187062856657466 "Efna5/Gata3" 2
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "3/29" "137/3069" 0.137020120386435 0.577450794265802 0.510588070719236 "Il18r1/Irf7/Rtp4" 3
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "3/29" "148/3069" 0.161686222394425 0.577450794265802 0.510588070719236 "Fscn1/Marcks/Tiam1" 3
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "3/29" "148/3069" 0.161686222394425 0.577450794265802 0.510588070719236 "Ifit2/Tap1/Marcks" 3
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "3/29" "166/3069" 0.204752088475835 0.639850276486984 0.565762349735859 "Tap1/Cd86/Irf7" 3
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "2/29" "125/3069" 0.332135620526437 0.802169569747269 0.709286777460743 "Fscn1/Cd86" 2
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "2/29" "138/3069" 0.377494354841791 0.802169569747269 0.709286777460743 "Irf7/Gata3" 2
