"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "41/565" "78/3069" 5.54501353088314e-12 2.31559694589901e-10 1.99872578488125e-10 "Txnip/Il4ra/Casp8/Irf1/Cd74/Elf1/H2-T23/H2-D1/Sell/Cnp/Trim21/H2-Q7/Trim26/Irf9/Cd47/Gbp3/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Parp12/Gbp2/Usp18/Mov10/Casp1/Bst2/Rtp4/Parp14/Cxcl10/Tdrd7/Ifi35/Rsad2/Tap1/Ube2l6/Irf7/H2-M3/Epsti1/Trafd1/Dhx58" 41
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "65/565" "159/3069" 9.26238778359605e-12 2.31559694589901e-10 1.99872578488125e-10 "Cd86/Txnip/Il4ra/H2-DMa/H2-Eb1/Itgb7/Rapgef6/Casp8/Irf1/P2ry14/Socs3/Nod1/Ciita/Btg1/Gpr18/Vcam1/Peli1/Cd74/St8sia4/H2-T23/H2-D1/Trim21/Socs1/Psmb10/H2-Q7/Trim26/Stat1/Irf9/Znfx1/Gbp3/Ddx60/Lgals3bp/Oasl1/Ifit2/Cd69/Cd40/Ifit3/Parp12/Rnf213/Usp18/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Cxcl10/Tdrd7/Xcl1/Ifi35/Rsad2/Tap1/Ube2l6/Klrk1/Irf7/Eif4e3/Zbp1/Vamp8/H2-M3/Epsti1/Samhd1/Trafd1/Casp7/Dhx58" 65
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "64/565" "166/3069" 2.7844768534992e-10 4.640794755832e-09 4.00573863134973e-09 "Cd2/Cd86/Cd96/Il4ra/H2-DMa/Ltb/Ly86/Sit1/Ifngr2/Cd4/Csk/Trat1/Cd3g/Ifngr1/Tlr6/Ccr5/Ccnd2/Cd8b1/Cfp/Lck/Cd7/Cd1d1/Il16/Traf2/Cd74/H2-DMb2/H2-Ea/St8sia4/F2r/H2-T23/Il27ra/Fyb/H2-D1/Tap2/Flna/Klrd1/H2-DMb1/Prf1/Was/Ets1/Socs1/Gpr65/Cxcr3/Psmb10/Cd247/Cd3e/H2-Ob/H2-Q7/Tlr1/Stat1/Cd47/Timp1/Cd40/Gbp2/Fasl/Crtam/Ifng/Tap1/Irf7/Capg/Ccnd3/H2-M3/Ncf4/Thy1" 64
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "39/565" "126/3069" 0.000353696579319316 0.00442120724149146 0.00381619993476105 "Mcl1/Cd2/Txnip/Madd/Tgfbr3/Add1/Gadd45a/Igf2r/Psen2/Ifngr1/Nedd9/Casp8/Irf1/Ccnd2/Pdcd4/Timp2/App/Lef1/Cdkn1b/Crebbp/Ank/F2r/Hmox1/Prf1/Plcb2/Jun/Tnfrsf12a/Bnip3l/Timp1/Cd69/Fasl/Casp1/Tap1/Lgals3/Ppt1/Cdc25b/Gpx4/Tspo/Casp7" 39
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "44/565" "160/3069" 0.00240281864772812 0.0240281864772812 0.0207401188540743 "Cd86/Il4ra/Ltb/Itgae/Igf2r/Ifngr1/Ccnd2/Snx14/Cd79b/Itga6/Klf6/Twsg1/Nt5e/Rhoh/Furin/Cdkn1c/Hopx/Ager/Flt3l/Sell/Bcl2/Socs1/Gpr65/Smpdl3a/Gpr83/Il18r1/Ecm1/Ahnak/Rora/Enpp1/Hipk2/Gbp3/Tlr7/Fgl2/Lrig1/Cxcl10/Phlda1/Igf1r/Capg/Nrp1/Ccnd3/Gpx4/Serpinb6a/Rabgap1l" 44
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "40/565" "150/3069" 0.00669995463446948 0.0478948124518311 0.0413407854847384 "Dgka/Txnip/Hexim1/Osgin1/Pitpnc1/Fos/Gadd45a/Xpc/Mxd4/Ccnd2/App/Ddb2/Sesn1/Gpx2/Btg1/F2r/Tob1/Ephx1/Def6/Nol8/Hmox1/Fgf13/Socs1/Ptpre/Klk8/Jun/Abcc5/Gm2a/Tax1bp3/Zfp36l1/Casp1/Tap1/Cdk5r1/Ddit4/Ccnd3/Vamp8/Apaf1/Sertad3/Ercc5/Trafd1" 40
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "38/565" "141/3069" 0.00674981175667645 0.0478948124518311 0.0413407854847384 "Rbm5/Vezf1/Aldh6a1/Sidt2/Uros/Add1/Trak2/Rbm38/Tnrc6b/Tmem9b/Bach1/Rnf123/Fbxo9/Ctse/Ypel5/Ctns/Aqp3/Sdcbp/Ppox/Cat/Mark3/Foxj2/Ranbp10/Hebp1/Lmo2/Bnip3l/Narf/Cdr2/Slc10a3/Ctsb/Ccnd3/E2f2/Mpp1/Myl4/Htatip2/Blvrb/Mgst3/Endod1" 38
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "34/565" "124/3069" 0.00766316999229298 0.0478948124518311 0.0413407854847384 "Rab27a/Fos/Arrb2/Irf1/Cdo1/Mark2/Btg1/Aqp3/Chka/Mmp14/Furin/H2-T23/Nxf1/Ephx1/H2-D1/Cdkn1c/Hmox1/Creg1/Cnp/Rasgrp1/Kcnh2/Tgfbrap1/H2-Q7/Ntrk3/E2f5/Ddx21/Tap1/Fosb/Wiz/Ccnd3/Ppt1/H2-M3/Grina/Acaa1a" 34
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "39/565" "148/3069" 0.00910980614923945 0.0506100341624414 0.0436844505402126 "Mcl1/Fos/Gadd45a/Ifngr2/Bcl6/Id2/Snn/Irf1/F2rl1/Socs3/Il7r/Btg1/Klf2/Klf6/Birc2/Dusp1/Sgk1/Clcf1/Spsb1/Ptpre/Zfp36/Ets2/Jun/B4galt1/Ifit2/Cd69/Yrdc/Dusp2/Nr4a3/Pdlim5/Ddx58/Cxcl10/Nr4a2/Phlda1/Plaur/Tap1/Fosb/Egr1/Irs2" 39
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "31/565" "128/3069" 0.0564896443414938 0.266670194056839 0.230178483291166 "Cbx8/Gprc5b/Nin/Map3k1/Laptm5/Id2/Pecam1/F2rl1/Ccnd2/Il7r/Ikzf1/Akap12/Slpi/Tmem176b/Ank/Zfp277/Hsd11b1/Cd37/Scg5/Ets1/Usp12/Lat2/St6gal1/Yrdc/Cxcl10/Mmd/Plaur/Nrp1/Glrx/Rabgap1l/Atg10" 31
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "33/565" "138/3069" 0.0586674426925045 0.266670194056839 0.230178483291166 "Actn2/Cd55/Irf1/Ctso/Lgmn/Lck/Timp2/Klk1/Rabif/Pik3cg/Mmp14/C1qc/Ctsh/Was/Fyn/Rasgrp1/Gata3/Dyrk2/Dock9/Gngt2/Anxa5/Timp1/Usp16/Casp1/Plaur/Irf7/Cdk5r1/Ctsb/Lgals3/Gnai2/Dpp4/Gng2/Casp7" 33
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "29/565" "125/3069" 0.100236322232821 0.387345831856489 0.334340612760338 "Cd86/Tgfbi/Pkd1/Pecam1/Actn2/Pik3r3/Mdk/Amigo2/Actb/Msn/Mapk14/Vcam1/Pbx2/Sirpa/Cap1/Fyb/Actn1/Evl/Mapk11/Kcnh2/Map4k2/Rasa1/Cnn2/Icam2/B4galt1/Gnai2/Rac2/Arhgef6/Thy1" 29
"HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "HALLMARK_APICAL_SURFACE" "9/565" "31/3069" 0.100709916282687 0.387345831856489 0.334340612760338 "Efna5/Rtn4rl1/App/Gata3/B4galt1/Cd160/Plaur/Flot2/Thy1" 9
"HALLMARK_WNT_BETA_CATENIN_SIGNALING" "HALLMARK_WNT_BETA_CATENIN_SIGNALING" "HALLMARK_WNT_BETA_CATENIN_SIGNALING" "8/565" "28/3069" 0.12727456822906 0.399745937267506 0.345043861641427 "Axin1/Psen2/Axin2/Ccnd2/Hdac5/Lef1/Tcf7/Wnt5b" 8
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "10/565" "37/3069" 0.127440874147781 0.399745937267506 0.345043861641427 "Ifngr2/Id2/Ski/Furin/Tgfbr1/Cdkn1c/Arid4b/Fnta/Hipk2/Ppp1ca" 10
"HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "HALLMARK_HYPOXIA" "34/565" "153/3069" 0.127918699925602 0.399745937267506 0.345043861641427 "Tgfbi/Fos/Map3k1/Ampd3/Akap12/Btg1/Cdkn1b/Chst3/Klhl24/Klf6/Nedd4l/Dusp1/Cdkn1c/Tpst2/Ilvbl/Hmox1/Ets1/Bcl2/Zfp36/Hexa/Klf7/Jun/Ids/Rora/Bnip3l/Nagk/Gcnt2/Ext1/Plaur/Plac8/Ddit4/Irs2/Ankzf1/Glrx" 34
"HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "HALLMARK_XENOBIOTIC_METABOLISM" "30/565" "135/3069" 0.145983797045977 0.429364108958755 0.370609020364399 "Adh1/Id2/Entpd5/Cdo1/Npc1/Igfbp4/Tmem176b/Hsd11b1/Ephx1/Acp2/Cat/Hmox1/Cbr1/Slc46a3/Aqp9/Psmb10/Cyp2s1/Acox3/Ets2/Gcnt2/Atp2a2/Pdlim5/Xdh/Ech1/Idh1/Pts/Dhrs7/Aldh2/Fbln1/Blvrb" 30
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "15/565" "64/3069" 0.185741374638603 0.505113787111919 0.435992953086077 "Il4ra/Ltb/Ifngr2/Ifngr1/Irf1/Socs3/Il17ra/Hmox1/Socs1/Jun/Il18r1/Stat1/Tnfrsf12a/Irf9/Cxcl10" 15
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "21/565" "94/3069" 0.191943239102529 0.505113787111919 0.435992953086077 "Tgfbr3/Pik3r3/Prdm2/Nipbl/Cdkn1b/Mapk14/Inpp4b/Dbp/Add3/Dusp1/Tgfbr2/Pik3cd/Fyn/Sipa1l1/Nr1d2/Ltbp1/Pdlim5/Igf1r/Nrp1/Pias3/Prkar2b" 21
