"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "31/223" "166/3069" 4.5656307354188e-07 2.2828153677094e-05 2.0184893777641e-05 "Cd2/Cd86/Cd96/Ltb/Ly86/Sit1/Ifngr2/Trat1/Cd3g/Ifngr1/Ccnd2/Cfp/Lck/Cd7/Cd1d1/Traf2/Cd74/H2-Ea/H2-T23/Il27ra/H2-D1/Flna/Klrd1/Prf1/Cxcr3/Psmb10/Cd247/Cd3e/H2-Ob/H2-Q7/Tlr1" 31
"HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "HALLMARK_APOPTOSIS" "18/223" "126/3069" 0.00372327006940468 0.093081751735117 0.0823038646921035 "Mcl1/Cd2/Txnip/Tgfbr3/Gadd45a/Igf2r/Psen2/Ifngr1/Nedd9/Irf1/Ccnd2/Timp2/App/Crebbp/Ank/Prf1/Plcb2/Jun" 18
"HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "HALLMARK_APICAL_JUNCTION" "17/223" "125/3069" 0.00790361056572286 0.131726842762048 0.116474260968547 "Cd86/Tgfbi/Pkd1/Pecam1/Actn2/Pik3r3/Mdk/Amigo2/Msn/Mapk14/Vcam1/Sirpa/Cap1/Actn1/Mapk11/Rasa1/Icam2" 17
"HALLMARK_WNT_BETA_CATENIN_SIGNALING" "HALLMARK_WNT_BETA_CATENIN_SIGNALING" "HALLMARK_WNT_BETA_CATENIN_SIGNALING" "6/223" "28/3069" 0.0133572622096081 0.166965777620101 0.147632898106195 "Axin1/Psen2/Axin2/Ccnd2/Tcf7/Wnt5b" 6
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "18/223" "148/3069" 0.0193405776717765 0.193405776717765 0.171011423624129 "Mcl1/Fos/Gadd45a/Ifngr2/Bcl6/Snn/Irf1/F2rl1/Il7r/Btg1/Klf2/Dusp1/Sgk1/Clcf1/Ptpre/Zfp36/Ets2/Jun" 18
"HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "HALLMARK_UV_RESPONSE_UP" "15/223" "124/3069" 0.0327941229489984 0.259902501476201 0.229808527621062 "Fos/Irf1/Cdo1/Mark2/Btg1/Aqp3/Chka/Mmp14/H2-T23/Nxf1/Ephx1/H2-D1/Creg1/Tgfbrap1/H2-Q7" 15
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "18/223" "159/3069" 0.0369467816268963 0.259902501476201 0.229808527621062 "Cd86/Txnip/H2-Eb1/Irf1/P2ry14/Nod1/Ciita/Btg1/Gpr18/Vcam1/Peli1/Cd74/H2-T23/H2-D1/Trim21/Psmb10/H2-Q7/Trim26" 18
"HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "HALLMARK_P53_PATHWAY" "17/223" "150/3069" 0.0415844002361922 0.259902501476201 0.229808527621062 "Dgka/Txnip/Osgin1/Fos/Gadd45a/Xpc/Ccnd2/App/Sesn1/Gpx2/Btg1/Tob1/Ephx1/Fgf13/Ptpre/Jun/Abcc5" 17
"HALLMARK_NOTCH_SIGNALING" "HALLMARK_NOTCH_SIGNALING" "HALLMARK_NOTCH_SIGNALING" "4/223" "20/3069" 0.05227475930717 0.290415329484278 0.256788291333467 "Psen2/St3gal6/Rbx1/Dtx1" 4
"HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "HALLMARK_HEME_METABOLISM" "15/223" "141/3069" 0.0837967963185913 0.418983981592956 0.370470046882193 "Rbm5/Vezf1/Sidt2/Uros/Rbm38/Tnrc6b/Bach1/Rnf123/Fbxo9/Ctse/Aqp3/Sdcbp/Foxj2/Ranbp10/Lmo2" 15
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "9/223" "78/3069" 0.109513752430415 0.471139549025995 0.416586548612459 "Txnip/Irf1/Cd74/Elf1/H2-T23/H2-D1/Trim21/H2-Q7/Trim26" 9
"HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "HALLMARK_COMPLEMENT" "14/223" "138/3069" 0.124100946452886 0.471139549025995 0.416586548612459 "Actn2/Cd55/Irf1/Ctso/Lck/Timp2/Klk1/Rabif/Mmp14/C1qc/Ctsh/Fyn/Dyrk2/Dock9" 14
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "5/223" "37/3069" 0.126652884193739 0.471139549025995 0.416586548612459 "Ifngr2/Ski/Tgfbr1/Arid4b/Fnta" 5
"HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "HALLMARK_KRAS_SIGNALING_UP" "13/223" "128/3069" 0.134246112734626 0.471139549025995 0.416586548612459 "Gprc5b/Nin/Pecam1/F2rl1/Ccnd2/Il7r/Ikzf1/Ank/Zfp277/Hsd11b1/Scg5/Usp12/Lat2" 13
"HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "HALLMARK_UV_RESPONSE_DN" "10/223" "94/3069" 0.141341864707799 0.471139549025995 0.416586548612459 "Tgfbr3/Pik3r3/Prdm2/Nipbl/Mapk14/Add3/Dusp1/Tgfbr2/Fyn/Sipa1l1" 10
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "7/223" "64/3069" 0.179631273668074 0.561347730212732 0.496349571977573 "Ltb/Ifngr2/Ifngr1/Irf1/Il17ra/Jun/Il18r1" 7
"HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "HALLMARK_MITOTIC_SPINDLE" "13/223" "148/3069" 0.275920151816262 0.811529858283124 0.717563243113499 "Bin1/Nin/Nedd9/Numa1/Mid1/Plekhg2/Tlk1/Flna/Arhgap27/Dync1h1/Arhgap29/Ssh2/Rasa1" 13
