"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "49/236" "160/3069" 6.62211416802333e-19 3.1786148006512e-17 2.78825859706246e-17 "Cops5/Syncrip/Eif4a1/Ddx21/Snrpd2/Ran/Xpot/Ptges3/Erh/Abce1/Ifrd1/Eif3b/Ranbp1/Bub3/Eprs/Rsl1d1/Mrps18b/Nme1/Hsp90ab1/Pcbp1/C1qbp/Slc25a3/Psmd1/Rnps1/Cct3/Cad/Ctps/Smarcc1/Srm/Kars/Etf1/Hspd1/Pabpc4/Iars/Txnl4a/Pa2g4/Cox5a/Psmc4/Eif2s2/Myc/Psmd7/Ncbp2/Nap1l1/Apex1/Tufm/Lsm2/Pwp1/Phb2/Gnl3" 49
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "19/236" "43/3069" 5.08470567287259e-11 1.22032936148942e-09 1.0704643521837e-09 "Rcl1/Noc4l/Nip7/Grwd1/Mybbp1a/Tbrg4/Supv3l1/Ung/Srm/Mrto4/Hspd1/Wdr74/Pus1/Pa2g4/Slc19a1/Myc/Rrp12/Gnl3/Imp4" 19
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "30/236" "158/3069" 1.70787554130935e-06 2.73260086609497e-05 2.39701830359208e-05 "Cops5/Sla/Abcf2/Cacybp/Hspa5/Cct6a/Wars/Prdx1/Hspa9/Stip1/Ifrd1/Eprs/Ppa1/Map2k3/Polr3g/Psme3/Psmd12/Ung/Etf1/Pno1/Eef1e1/Shmt2/Hspd1/Psmd13/M6pr/Slc1a5/Psmc4/Eif2s2/Gmps/Hsp90b1" 30
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "16/236" "88/3069" 0.000852735296844791 0.0102328235621375 0.00897616101941886 "Hspa5/Pdia6/Eif4a1/Atf3/Hspa9/Xpot/Exosc2/Banf1/Tars/Srprb/Atf4/Gosr2/Iars/Gemin4/Hsp90b1/Hyou1" 16
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "21/236" "148/3069" 0.00384356212540441 0.0368981964038823 0.032366838950774 "Tnfaip3/Tgif1/Atf3/Icam1/Fjx1/Map2k3/Ehd1/Gch1/Rel/Relb/Gadd45b/Traf1/Stat5a/Tnf/Nfkb1/Il15ra/Cd44/Myc/Ccl4/Cd83/Fosl2" 21
"HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "20/236" "149/3069" 0.00889772142484934 0.0650645079209038 0.0570741297551788 "Ak2/Syncrip/Hus1/Ran/Cse1l/Pop7/Ranbp1/Tbrg4/Nme1/Nasp/Ung/Ctps/Pa2g4/Rbbp7/Myc/Prps1/Snrpb/Lyar/Nap1l1/Ilf3" 20
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "22/236" "170/3069" 0.00948857407179848 0.0650645079209038 0.0570741297551788 "Idh3a/Bdh2/Timm8b/Cycs/Mdh2/Hspa9/Lrpprc/Mrps12/Timm17a/Supv3l1/Polr2f/Slc25a3/Mrps30/Mtrr/Timm50/Cox5a/Mrpl11/Timm10/Hccs/Phb2/Mrps22/Grpel1" 22
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "19/236" "160/3069" 0.0351476893722962 0.210886136233777 0.184987838801559 "Alcam/Irf4/Gsto1/Bcl2l1/Umps/Swap70/Tnfsf11/Gadd45b/Il1r2/Traf1/Rgs16/Ctsz/Pus1/Irf8/Cd44/Slc1a5/Myc/Tnfrsf21/Cd83" 19
"HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "HALLMARK_DNA_REPAIR" "14/236" "118/3069" 0.0656644638965806 0.350210474115097 0.307202170276401 "Polr2d/Polr2h/Umps/Guk1/Nme1/Ccno/Polr2f/Sac3d1/Taf9/Adrm1/Gtf2f1/Ercc1/Sec61a1/Ncbp2" 14
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "18/236" "166/3069" 0.0825844660779162 0.396405437173998 0.347724067696489 "Mrpl3/Wars/Irf4/Abce1/Rars/Icam1/Nme1/Lcp2/Jak2/Rps19/Tnf/Eif5a/Irf8/Srgn/Tgfb1/Ifng/Il2/Ccl4" 18
