"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "15/127" "130/6317" 3.70025229515701e-08 1.48750142265312e-05 1.46841591081494e-05 "Elac2/Nol9/Exosc1/Pwp2/Heatr1/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pes1/Rps15a/Exosc4/Nob1" 15
"REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "25/127" "447/6317" 2.07252802069062e-06 0.000416578132158815 0.000411233191473877 "Aqr/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Wdr77/Nsun2/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pus3/Pes1/Zfp36l1/Rps15a/Exosc4/Cnot2/Qtrt1/Prmt5/Polr2e/Nob1" 25
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "5/127" "15/6317" 7.75687499872621e-06 0.00103942124982931 0.00102608486825255 "Nfix/Polr3e/Polr3d/Polr3b/Polr2e" 5
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "6/127" "32/6317" 3.46233909419691e-05 0.00278372063173432 0.00274800387055208 "Nfix/Polr3e/Polr3d/Snapc4/Polr3b/Polr2e" 6
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "6/127" "32/6317" 3.46233909419691e-05 0.00278372063173432 0.00274800387055208 "Pwp2/Heatr1/Imp4/Nol11/Nol6/Rrp9" 6
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "5/127" "21/6317" 4.77029293316918e-05 0.00319609626522335 0.00315508848386804 "Polr3e/Polr3d/Snapc4/Polr3b/Polr2e" 5
"REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "4/127" "12/6317" 6.80772633448183e-05 0.00390957998065957 0.00385941778661602 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "4/127" "21/6317" 0.000715255642931977 0.0359415960573318 0.0354804443928099 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"REACTOME_NGF_STIMULATED_TRANSCRIPTION" "REACTOME_NGF_STIMULATED_TRANSCRIPTION" "REACTOME_NGF_STIMULATED_TRANSCRIPTION" "4/127" "26/6317" 0.00165305079736182 0.073836268948828 0.0728889065035563 "Fosb/Egr1/Cdk5r1/Nab2" 4
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "5/127" "46/6317" 0.00215005127952867 0.0864320614370526 0.0853230876191904 "Mef2c/Fosb/Egr1/Cdk5r1/Nab2" 5
