"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "26/61" "512/6317" 1.9037885658775e-13 4.85466084298762e-11 4.38873364133865e-11 "Il4ra/Oas1g/Batf/Oasl1/Ifit2/Ifit3/Sp100/Ccr5/Usp18/Gbp3/Casp1/Bst2/Ddx58/Ifng/Oas2/Cxcl10/Ifi35/Irak2/Fscn1/Rsad2/Mef2c/Gata3/Gbp5/Ube2l6/Irf7/Il12rb2" 26
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "16/61" "151/6317" 4.11539946543212e-13 5.24713431842596e-11 4.74353938384018e-11 "Oas1g/Oasl1/Ifit2/Ifit3/Sp100/Usp18/Gbp3/Bst2/Ddx58/Ifng/Oas2/Ifi35/Rsad2/Gbp5/Ube2l6/Irf7" 16
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "10/61" "59/6317" 1.42454765235815e-10 1.21086550450443e-08 1.09465240654889e-08 "Oas1g/Oasl1/Ifit2/Ifit3/Usp18/Bst2/Oas2/Ifi35/Rsad2/Irf7" 10
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "8/61" "76/6317" 5.32326633632013e-07 3.39358228940408e-05 3.06788244119502e-05 "Oas1g/Oasl1/Sp100/Gbp3/Ifng/Oas2/Gbp5/Irf7" 8
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "6/61" "60/6317" 2.10660309976776e-05 0.00107436758088156 0.000971254902840295 "Oas1g/Oasl1/Usp18/Ddx58/Oas2/Ube2l6" 6
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "3/61" "12/6317" 0.000177192147196518 0.00753066625585202 0.0068079088133399 "Ddx58/Ifih1/Irf7" 3
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "11/61" "329/6317" 0.000259144499269203 0.00944026390194955 0.0085342323819482 "Il4ra/Batf/Ccr5/Casp1/Ifng/Cxcl10/Irak2/Fscn1/Mef2c/Gata3/Il12rb2" 11
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "3/61" "20/6317" 0.000868981224582259 0.0276987765335595 0.0250403800241467 "Ddx58/Ifih1/Irf7" 3
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "3/61" "25/6317" 0.00169402596409116 0.0479974023159161 0.0433908404837384 "Ddx58/Ifih1/Ube2l6" 3
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "4/61" "57/6317" 0.0021216271431906 0.0541014921513602 0.0489090888798674 "Ddx58/Ifih1/Ube2l6/Irf7" 4
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "5/61" "99/6317" 0.00253839451768043 0.0588446001825918 0.0531969760164607 "Ntrk3/Furin/Tiam1/Mef2c/Id1" 5
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "2/61" "10/6317" 0.00392720527551866 0.0834531121047716 0.0754436802928586 "Tlr7/Irf7" 2
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "4/61" "74/6317" 0.00547141936453073 0.107323995227334 0.0970235498649578 "Tlr7/Irak2/Mef2c/Irf7" 4
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "4/61" "82/6317" 0.00785501422858823 0.143073473449286 0.129341963613596 "Il4ra/Batf/Fscn1/Gata3" 4
"REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "3/61" "49/6317" 0.0115178850357513 0.188194594767305 0.170132574836077 "Parp14/Furin/St3gal1" 3
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "13/61" "682/6317" 0.011808288299125 0.188194594767305 0.170132574836077 "Tlr7/Itpr1/Casp1/Bst2/Fgl2/Ddx58/Irak2/Ifih1/Mef2c/Plac8/Ube2l6/Klrk1/Irf7" 13
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "2/61" "18/6317" 0.0127064157872303 0.190596236808454 0.172303718724671 "Ddx58/Ifih1" 2
"REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "2/61" "20/6317" 0.0155854360988709 0.220793678067338 0.199602953546943 "Parp14/St3gal1" 2
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "5/61" "156/6317" 0.0168705469461614 0.226420498487956 0.204689738571155 "Ccr5/Itpr1/Cxcl10/Gnaz/Rgs1" 5
"REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "4/61" "111/6317" 0.0218826525538543 0.268216378913998 0.242474249668382 "Tlr7/Parp14/Furin/St3gal1" 4
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/61" "24/6317" 0.0220884076752704 0.268216378913998 0.242474249668382 "Pik3ap1/Itpr1" 2
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "4/61" "114/6317" 0.0238685440938177 0.276658124723796 0.250105796963927 "Tlr7/Irak2/Mef2c/Irf7" 4
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/61" "27/6317" 0.0275771727311402 0.301070003546717 0.272174740048425 "Ccr5/Cxcl10" 2
"REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "2/61" "28/6317" 0.029516667014384 0.301070003546717 0.272174740048425 "Furin/Ltbp1" 2
"REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "2/61" "28/6317" 0.029516667014384 0.301070003546717 0.272174740048425 "Casp1/Irak2" 2
"REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "2/61" "29/6317" 0.0315091252322544 0.309031805162495 0.279372405905413 "Ddx58/Ifih1" 2
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES" "REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES" "REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES" "4/61" "129/6317" 0.0354177064704665 0.326288732857726 0.294973095958068 "Usp18/Ddx58/Ifih1/Gata3" 4
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "3/61" "76/6317" 0.0366127118175043 0.326288732857726 0.294973095958068 "Ccr5/Nts/Cxcl10" 3
"REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "2/61" "32/6317" 0.0377926927179348 0.326288732857726 0.294973095958068 "Parp14/St3gal1" 2
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "3/61" "78/6317" 0.0390916646119212 0.326288732857726 0.294973095958068 "Irak2/Mef2c/Irf7" 3
"REACTOME_ION_HOMEOSTASIS" "REACTOME_ION_HOMEOSTASIS" "REACTOME_ION_HOMEOSTASIS" "2/61" "33/6317" 0.039985499848027 0.326288732857726 0.294973095958068 "Itpr1/Sln" 2
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "7/61" "336/6317" 0.0418630974384522 0.326288732857726 0.294973095958068 "Ntrk3/Itpr1/Itga3/Furin/Tiam1/Mef2c/Id1" 7
"REACTOME_INTERLEUKIN_10_SIGNALING" "REACTOME_INTERLEUKIN_10_SIGNALING" "REACTOME_INTERLEUKIN_10_SIGNALING" "2/61" "34/6317" 0.0422256007227645 0.326288732857726 0.294973095958068 "Ccr5/Cxcl10" 2
"REACTOME_INTERLEUKIN_12_SIGNALING" "REACTOME_INTERLEUKIN_12_SIGNALING" "REACTOME_INTERLEUKIN_12_SIGNALING" "2/61" "35/6317" 0.0445119105183574 0.331807135759049 0.299961868859573 "Ifng/Il12rb2" 2
"REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS" "REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS" "REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS" "2/61" "36/6317" 0.0468433603424539 0.331807135759049 0.299961868859573 "Efna5/Tiam1" 2
"REACTOME_SARS_COV_1_INFECTION" "REACTOME_SARS_COV_1_INFECTION" "REACTOME_SARS_COV_1_INFECTION" "2/61" "36/6317" 0.0468433603424539 0.331807135759049 0.299961868859573 "Parp14/St3gal1" 2
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "7/61" "351/6317" 0.0509577080950571 0.346514688395727 0.313257860716881 "Ccr5/Itpr1/Nts/Cxcl10/Tiam1/Gnaz/Rgs1" 7
"REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "2/61" "38/6317" 0.0516374829766182 0.346514688395727 0.313257860716881 "Furin/Ube2l6" 2
"REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES" "REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES" "REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES" "2/61" "39/6317" 0.0540980958860298 0.35371831925481 0.319770121431593 "Atp10a/Sln" 2
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "3/61" "93/6317" 0.0603053750755584 0.38388135230381 0.347038250379915 "Itpr1/Furin/Gnaz" 3
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING" "REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING" "REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING" "2/61" "42/6317" 0.0617220997821812 0.38388135230381 0.347038250379915 "Ifng/Il12rb2" 2
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "2/61" "44/6317" 0.066996835287837 0.403463600906568 0.364741088126062 "Casp1/Irak2" 2
"REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "4/61" "160/6317" 0.0680350385842448 0.403463600906568 0.364741088126062 "Itpr1/Casp1/Furin/Gnaz" 4
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "2/61" "46/6317" 0.0724164045582564 0.419685980962622 0.379406521489429 "Mef2c/Id1" 2
"REACTOME_REGULATION_OF_INSULIN_SECRETION" "REACTOME_REGULATION_OF_INSULIN_SECRETION" "REACTOME_REGULATION_OF_INSULIN_SECRETION" "2/61" "49/6317" 0.0808014003518978 0.449688351487583 0.406529407536762 "Itpr1/Marcks" 2
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "1/61" "10/6317" 0.0925380270316708 0.449688351487583 0.406529407536762 "Ntrk3" 1
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "1/61" "10/6317" 0.0925380270316708 0.449688351487583 0.406529407536762 "St3gal1" 1
"REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX" "REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX" "REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX" "1/61" "10/6317" 0.0925380270316708 0.449688351487583 0.406529407536762 "Irak2" 1
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "1/61" "10/6317" 0.0925380270316708 0.449688351487583 0.406529407536762 "Furin" 1
"REACTOME_INFECTIOUS_DISEASE" "REACTOME_INFECTIOUS_DISEASE" "REACTOME_INFECTIOUS_DISEASE" "9/61" "569/6317" 0.0940559983311703 0.449688351487583 0.406529407536762 "Ccr5/Rnf213/Tlr7/Itpr1/Casp1/Parp14/Furin/St3gal1/Gnaz" 9
"REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "2/61" "55/6317" 0.0984059738201704 0.449688351487583 0.406529407536762 "Irak2/Mef2c" 2
"REACTOME_DEUBIQUITINATION" "REACTOME_DEUBIQUITINATION" "REACTOME_DEUBIQUITINATION" "4/61" "184/6317" 0.101166172568098 0.449688351487583 0.406529407536762 "Usp18/Ddx58/Ifih1/Gata3" 4
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "1/61" "11/6317" 0.101314811612465 0.449688351487583 0.406529407536762 "Furin" 1
"REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "1/61" "11/6317" 0.101314811612465 0.449688351487583 0.406529407536762 "Itpr1" 1
"REACTOME_INTERLEUKIN_35_SIGNALLING" "REACTOME_INTERLEUKIN_35_SIGNALLING" "REACTOME_INTERLEUKIN_35_SIGNALLING" "1/61" "11/6317" 0.101314811612465 0.449688351487583 0.406529407536762 "Il12rb2" 1
"REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "1/61" "11/6317" 0.101314811612465 0.449688351487583 0.406529407536762 "Furin" 1
"REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "1/61" "12/6317" 0.110008087300958 0.449688351487583 0.406529407536762 "Furin" 1
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "1/61" "12/6317" 0.110008087300958 0.449688351487583 0.406529407536762 "Ccr5" 1
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "1/61" "12/6317" 0.110008087300958 0.449688351487583 0.406529407536762 "Itpr1" 1
"REACTOME_SIGNALING_BY_NTRK3_TRKC" "REACTOME_SIGNALING_BY_NTRK3_TRKC" "REACTOME_SIGNALING_BY_NTRK3_TRKC" "1/61" "12/6317" 0.110008087300958 0.449688351487583 0.406529407536762 "Ntrk3" 1
"REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL" "REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL" "REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL" "1/61" "12/6317" 0.110008087300958 0.449688351487583 0.406529407536762 "Inpp5a" 1
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "3/61" "121/6317" 0.111140673203066 0.449688351487583 0.406529407536762 "Itpr1/Nts/Rgs1" 3
"REACTOME_MICRORNA_MIRNA_BIOGENESIS" "REACTOME_MICRORNA_MIRNA_BIOGENESIS" "REACTOME_MICRORNA_MIRNA_BIOGENESIS" "1/61" "13/6317" 0.118618635544359 0.449688351487583 0.406529407536762 "Tarbp2" 1
"REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "1/61" "13/6317" 0.118618635544359 0.449688351487583 0.406529407536762 "Ifng" 1
"REACTOME_THE_NLRP3_INFLAMMASOME" "REACTOME_THE_NLRP3_INFLAMMASOME" "REACTOME_THE_NLRP3_INFLAMMASOME" "1/61" "13/6317" 0.118618635544359 0.449688351487583 0.406529407536762 "Casp1" 1
"REACTOME_EPH_EPHRIN_SIGNALING" "REACTOME_EPH_EPHRIN_SIGNALING" "REACTOME_EPH_EPHRIN_SIGNALING" "2/61" "63/6317" 0.123354211251981 0.449688351487583 0.406529407536762 "Efna5/Tiam1" 2
"REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS" "REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS" "REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS" "2/61" "63/6317" 0.123354211251981 0.449688351487583 0.406529407536762 "Tlr7/Furin" 2
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON" "REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON" "REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON" "1/61" "14/6317" 0.127147230600164 0.449688351487583 0.406529407536762 "Irf7" 1
"REACTOME_NICOTINATE_METABOLISM" "REACTOME_NICOTINATE_METABOLISM" "REACTOME_NICOTINATE_METABOLISM" "1/61" "14/6317" 0.127147230600164 0.449688351487583 0.406529407536762 "Parp14" 1
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "3/61" "132/6317" 0.134505566657553 0.449688351487583 0.406529407536762 "Ccr5/Nts/Cxcl10" 3
"REACTOME_INTERLEUKIN_37_SIGNALING" "REACTOME_INTERLEUKIN_37_SIGNALING" "REACTOME_INTERLEUKIN_37_SIGNALING" "1/61" "15/6317" 0.135594639601178 0.449688351487583 0.406529407536762 "Casp1" 1
"REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1" "REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1" "REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1" "1/61" "15/6317" 0.135594639601178 0.449688351487583 0.406529407536762 "Irak2" 1
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "1/61" "15/6317" 0.135594639601178 0.449688351487583 0.406529407536762 "Itpr1" 1
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "1/61" "15/6317" 0.135594639601178 0.449688351487583 0.406529407536762 "Furin" 1
