"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "11/49" "151/6317" 1.3491600937161e-08 1.78133534381718e-06 1.62507785751743e-06 "Ifit2/Ifit3/Sp100/Gbp3/Ddx58/Oas2/Ifi35/Rsad2/Gbp5/Ube2l6/Irf7" 11
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "18/49" "512/6317" 1.82701060904327e-08 1.78133534381718e-06 1.62507785751743e-06 "Il4ra/Batf/Ifit2/Ifit3/Sp100/Gbp3/Casp1/Ddx58/Oas2/Ifi35/Irak2/Fscn1/Rsad2/Mef2c/Gata3/Gbp5/Ube2l6/Irf7" 18
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "6/49" "59/6317" 5.24596863967022e-06 0.000340987961578564 0.00031107673687869 "Ifit2/Ifit3/Oas2/Ifi35/Rsad2/Irf7" 6
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "3/49" "12/6317" 9.18833062296185e-05 0.0044793111786939 0.00408638914547514 "Ddx58/Ifih1/Irf7" 3
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "5/49" "76/6317" 0.000278493210167413 0.0108612351965291 0.00990849526700901 "Sp100/Gbp3/Oas2/Gbp5/Irf7" 5
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "3/49" "20/6317" 0.00045576483661315 0.0148123571899274 0.0135130276118636 "Ddx58/Ifih1/Irf7" 3
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "3/49" "25/6317" 0.000894791641386391 0.0227495845446238 0.0207540069529902 "Ddx58/Ifih1/Ube2l6" 3
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "4/49" "57/6317" 0.000933316289010209 0.0227495845446238 0.0207540069529902 "Ddx58/Ifih1/Ube2l6/Irf7" 4
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "4/49" "74/6317" 0.00246855720595707 0.049714198237381 0.0453533036551546 "Tlr7/Irak2/Mef2c/Irf7" 4
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "2/49" "10/6317" 0.00254944606345543 0.049714198237381 0.0453533036551546 "Tlr7/Irf7" 2
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING" "4/49" "82/6317" 0.00358611725457524 0.0635720786038338 0.0579955804806905 "Il4ra/Batf/Fscn1/Gata3" 4
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "2/49" "18/6317" 0.00833191096788406 0.135393553228116 0.123516925751965 "Ddx58/Ifih1" 2
"REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "2/49" "20/6317" 0.010245259339452 0.139162406566336 0.126955177920166 "Parp14/St3gal1" 2
"REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "4/49" "111/6317" 0.0104230380876424 0.139162406566336 0.126955177920166 "Tlr7/Zbp1/Parp14/St3gal1" 4
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/49" "60/6317" 0.011010709438561 0.139162406566336 0.126955177920166 "Ddx58/Oas2/Ube2l6" 3
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "REACTOME_TOLL_LIKE_RECEPTOR_CASCADES" "4/49" "114/6317" 0.0114184538721096 0.139162406566336 0.126955177920166 "Tlr7/Irak2/Mef2c/Irf7" 4
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "7/49" "329/6317" 0.0126846583877269 0.145500493270985 0.132737292106864 "Il4ra/Batf/Casp1/Irak2/Fscn1/Mef2c/Gata3" 7
"REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "2/49" "28/6317" 0.0195961650632548 0.21229178818526 0.193669701502342 "Casp1/Irak2" 2
"REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "2/49" "29/6317" 0.0209447022459537 0.214958786208472 0.196102752330536 "Ddx58/Ifih1" 2
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "3/49" "78/6317" 0.0222170454340988 0.216616192982463 0.197614772545405 "Irak2/Mef2c/Irf7" 3
