"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "94/650" "512/6317" 5.32237488985534e-09 5.16802601804953e-06 4.72850990214516e-06 "Gbp3/Cd44/Il4ra/Oas1g/Timp1/Il2ra/Oasl1/Stat1/Tnfrsf9/Ifit2/Psmd9/Cd40/Cd4/Ifit3/Csk/Stx1a/Fgf2/Hif1a/Map2k6/Il10/Cd70/Gbp2/Socs3/Usp18/Il21/Fasl/Ccr5/Kpna3/Pdcd4/Casp1/Bst2/Psmd12/Seh1l/Tec/Psmb7/Ddx58/Ccl3/Il16/Cdkn1b/Ifng/Oas2/Irf9/Cxcl10/Psmb2/Rora/Il3/Vrk3/Kpnb1/Nupl2/Psmd6/Mif/Mtap/Ptpn18/Sumo1/Nup62/Ifi35/Cish/Irak2/Dusp7/Fscn1/Psmc2/Eif4a2/Ube2e1/Hmox1/Ager/Grap2/Camk2g/Flt3l/Pik3cd/Tcp1/Rps27a/Rsad2/Prlr/Socs1/Mef2c/H2-Ab1/Gata3/Gbp5/Nkiras1/Birc2/Nup133/Sp100/Ube2l6/Csf2/Il15ra/Irf7/Egr1/Jak1/Il12rb2/Nup107/Mapkapk3/Cnn2/Akt3/Pom121" 94
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "38/650" "151/6317" 9.83509008212538e-08 4.77493623487187e-05 4.36885054174411e-05 "Gbp3/Cd44/Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Gbp2/Socs3/Usp18/Kpna3/Bst2/Seh1l/Ddx58/Ifng/Oas2/Irf9/Kpnb1/Nupl2/Sumo1/Nup62/Ifi35/Eif4a2/Ube2e1/Camk2g/Rps27a/Rsad2/Socs1/H2-Ab1/Gbp5/Nup133/Sp100/Ube2l6/Irf7/Egr1/Jak1/Nup107/Pom121" 38
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "19/650" "60/6317" 4.64951774903644e-06 0.00150489391143813 0.00137690981760939 "Oas1g/Oasl1/Stat1/Usp18/Kpna3/Seh1l/Ddx58/Oas2/Kpnb1/Nupl2/Nup62/Eif4a2/Ube2e1/Rps27a/Nup133/Ube2l6/Jak1/Nup107/Pom121" 19
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "18/650" "59/6317" 1.48037425818557e-05 0.00359360851174548 0.0032879891418648 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Gbp2/Socs3/Usp18/Bst2/Oas2/Irf9/Kpnb1/Ifi35/Rsad2/Socs1/Irf7/Egr1/Jak1" 18
"REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "29/650" "127/6317" 2.508554289194e-05 0.00487161242961475 0.00445730488437839 "Pmpcb/Stx1a/Mlycd/Tomm22/Vapa/Scp2/Ldhd/Tomm70a/Sec61b/Timm9/Pex6/Zfand6/Gfer/Mtx1/Cat/Pitrm1/Hmox1/Taz/Paox/Rps27a/Hspd1/Stx5a/Atp5a1/Aldh3a2/Cox17/Abcd3/Acox3/Nudt19/Ndufb8" 29
"REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "14/650" "50/6317" 0.00035925722455038 0.0581397941730698 0.053195280266758 "Sptlc1/Ctsa/Vapa/Prkd2/Neu1/Sgpp1/Glb1/Psap/Vapb/Aldh3a2/Gltp/Arsa/Hexa/Csnk1g2" 14
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "18/650" "76/6317" 0.000535099099304858 0.0742258893464311 0.0679133292952332 "Gbp3/Cd44/Oas1g/Oasl1/Stat1/Gbp2/Socs3/Ifng/Oas2/Irf9/Sumo1/Camk2g/Socs1/H2-Ab1/Gbp5/Sp100/Irf7/Jak1" 18
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "6/650" "12/6317" 0.00062194644891714 0.0754887502373179 0.0690687898534298 "Psip1/Cd4/Xrcc6/Ccr5/Fen1/Hmga1" 6
"REACTOME_DNA_STRAND_ELONGATION" "REACTOME_DNA_STRAND_ELONGATION" "REACTOME_DNA_STRAND_ELONGATION" "9/650" "26/6317" 0.000762618633600321 0.0788153079083665 0.0721124395627528 "Mcm6/Pola2/Pold2/Mcm2/Mcm4/Fen1/Mcm5/Pcna/Mcm3" 9
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "95/650" "682/6317" 0.000868173462506755 0.0788153079083665 0.0721124395627528 "Ticam2/Cd44/Rab27a/Tbc1d10c/Psmd9/Ctsa/Rab3a/Cd4/Tspan14/Map3k1/Xrcc6/Nckap1l/Cotl1/Tlr6/Gmfg/Polr3e/Vapa/Casp8/Map2k6/Tomm70a/Rab3d/Tlr7/Ampd3/Lgmn/Itpr1/Casp1/Rab37/Masp2/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Tec/Psmb7/Actb/Ddx58/Ypel5/Alad/P2rx7/Slpi/Glb1/Psmb2/Rasgrp4/Psap/Vrk3/Kpnb1/Itpr2/Psmd6/Mif/Polr3d/Rnf125/Vcl/Vav2/Irak2/Prkacb/Dusp7/Psmc2/Cat/Itpr3/Ifih1/Btk/Hmox1/Ager/Grap2/Trex1/Ep300/Was/Sell/Rps27a/Socs1/Plaur/Mef2c/Plac8/Rasgrp1/Txn1/Arhgap9/Nkiras1/Cant1/Birc2/Arsa/Atad3a/Ube2l6/Polr3b/Klrk1/Irf7/Rnf135/Polr2e/Mapkapk3/Cnn2/Card11/Kcnab2/Fabp5/Stk10" 95
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "52/650" "329/6317" 0.000927001003121785 0.0788153079083665 0.0721124395627528 "Il4ra/Timp1/Il2ra/Stat1/Psmd9/Cd4/Stx1a/Fgf2/Hif1a/Map2k6/Il10/Socs3/Il21/Fasl/Ccr5/Pdcd4/Casp1/Psmd12/Tec/Psmb7/Ccl3/Il16/Ifng/Cxcl10/Psmb2/Rora/Il3/Vrk3/Psmd6/Mif/Mtap/Ptpn18/Cish/Irak2/Dusp7/Fscn1/Psmc2/Hmox1/Ager/Pik3cd/Tcp1/Rps27a/Socs1/Mef2c/Gata3/Nkiras1/Csf2/Il15ra/Jak1/Il12rb2/Mapkapk3/Cnn2" 52
"REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "6/650" "13/6317" 0.00105519979691943 0.0788153079083665 0.0721124395627528 "Stat1/Socs3/Ifng/Sumo1/Socs1/Jak1" 6
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION" "REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION" "REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION" "6/650" "13/6317" 0.00105519979691943 0.0788153079083665 0.0721124395627528 "Prmt5/Ttc5/Smyd2/Atm/Ep300/Rps27a" 6
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "7/650" "18/6317" 0.00136232790759736 0.0944871713055024 0.0864514852640728 "Atp2a3/Atp2a2/Itpr1/P2rx7/Itpr2/Stim1/Itpr3" 7
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT" "REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT" "REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT" "13/650" "51/6317" 0.00151718152931916 0.0963754031014685 0.0881791318961889 "Pmpcb/Tomm22/Ldhd/Tomm70a/Timm9/Gfer/Mtx1/Pitrm1/Taz/Hspd1/Atp5a1/Cox17/Ndufb8" 13
"REACTOME_S_PHASE" "REACTOME_S_PHASE" "REACTOME_S_PHASE" "24/650" "124/6317" 0.00159905118292389 0.0963754031014685 0.0881791318961889 "Mcm6/Psmd9/Pola2/E2f5/Pold2/Mcm2/Pole3/Mcm4/Psmd12/Psmb7/Rbl2/Cdkn1b/Psmb2/Cdc25a/Fen1/Psmd6/Cdk4/Psmc2/Ube2e1/Rps27a/Mcm5/Pcna/Akt3/Mcm3" 24
"REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "6/650" "14/6317" 0.00168731395749224 0.0963754031014685 0.0881791318961889 "Stx1a/Vapa/Sec61b/Hmox1/Stx5a/Aldh3a2" 6
"REACTOME_UNWINDING_OF_DNA" "REACTOME_UNWINDING_OF_DNA" "REACTOME_UNWINDING_OF_DNA" "5/650" "10/6317" 0.0018415431713689 0.0993410232999557 0.0908925401541142 "Mcm6/Mcm2/Mcm4/Mcm5/Mcm3" 5
