"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "112/674" "682/6317" 7.36990951747847e-07 0.000394023422613587 0.000373372482507568 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Psmd9/Lgals3/Ctsa/Rab3a/Cd4/Tspan14/Map3k1/Manba/Nckap1l/Cotl1/Tlr6/Gmfg/Polr3e/Vapa/Casp8/Idh1/Map2k6/Unc13d/Pdap1/Psmd14/Tomm70a/Rab3d/Gstp1/Ampd3/Eef2/Zbp1/Lgmn/Itpr1/Vamp8/H2-M3/Hexb/Rab37/Masp2/Grn/Prkdc/Iqgap2/Ube2m/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Tec/Pstpip1/Apaf1/Actb/Ypel5/Alad/P2rx7/Slpi/Ncf4/Acaa1a/Psmb5/Ctsz/Rasgrp4/Psap/Vrk3/Kpnb1/Malt1/Itpr2/Psmd6/Mif/Polr3d/Rnf125/Cd47/Vcl/Vav2/Prkacb/Trappc1/Rac2/Dusp7/Cat/Itpr3/Hmox1/Ager/Grap2/Ep300/Was/Sell/Psmd8/Rps27a/Dhx58/Plaur/S100a11/Plac8/Rasgrp1/Txn1/Arhgap9/Nkiras1/Cant1/Serpinb6a/Arsa/Atad3a/Dusp6/Ube2l6/Polr3b/Sigirr/Rnf135/Commd3/B4galt1/Polr2e/Cnn2/Card11/Kcnab2/Bcl2l1/Stk10" 112
"REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "62/674" "315/6317" 8.27780299608377e-07 0.000394023422613587 0.000373372482507568 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Lgals3/Ctsa/Rab3a/Tspan14/Manba/Nckap1l/Cotl1/Gmfg/Vapa/Idh1/Unc13d/Pdap1/Psmd14/Rab3d/Gstp1/Ampd3/Eef2/Vamp8/H2-M3/Hexb/Rab37/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Slpi/Acaa1a/Ctsz/Psap/Kpnb1/Psmd6/Mif/Cd47/Vcl/Trappc1/Cat/Sell/Plaur/S100a11/Plac8/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Commd3/B4galt1/Cnn2/Kcnab2/Stk10" 62
"REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "18/674" "50/6317" 1.71868494523977e-06 0.000527554144977987 0.000499904801245174 "Gm2a/Arsb/Ctsa/Vapa/Smpd1/Hexb/Prkd2/Neu1/Sgpp1/Smpd4/Psap/Vapb/Asah2/Aldh3a2/Gltp/Arsa/Hexa/Csnk1g2" 18
"REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "32/674" "127/6317" 2.21661405452936e-06 0.000527554144977987 0.000499904801245174 "Pmpcb/Ech1/Stx1a/Mlycd/Tomm22/Vapa/Scp2/Idh1/Ldhd/Tomm70a/Sec61b/Timm9/Pex6/Zfand6/Gfer/Acaa1a/Cat/Pitrm1/Hmox1/Ide/Taz/Paox/Gstk1/Rps27a/Stx5a/Atp5a1/Aldh3a2/Abcd1/Cox17/Abcd3/Acox3/Ndufb8" 32
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "12/674" "27/6317" 7.5545518417409e-06 0.00143838667066747 0.00136300019544673 "Gm2a/Arsb/Ctsa/Smpd1/Hexb/Neu1/Smpd4/Psap/Asah2/Gltp/Arsa/Hexa" 12
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION" "REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION" "REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION" "25/674" "115/6317" 0.000364402998022592 0.0531769116767079 0.0503898864517234 "Mcm6/Psmd9/Ccnd3/Pola2/E2f2/E2f5/Rpa1/Psmd14/Mcm2/Mcm4/Psmd12/Rbl2/Cdkn1b/Psmb5/Cdc25a/Psmd6/Cdk4/Rbl1/Psmd8/Rps27a/Mcm5/Cdkn2d/Pcna/Akt3/Mcm3" 25
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "16/674" "60/6317" 0.000391006703505205 0.0531769116767079 0.0503898864517234 "Oas1g/Oasl1/Eif4e3/Usp18/Kpna3/Kpnb1/Nupl2/Nup62/Eif4a2/Rps27a/Ube2l6/Nup133/Jak1/Nup107/Pom121/Ppm1b" 16
"REACTOME_DNA_STRAND_ELONGATION" "REACTOME_DNA_STRAND_ELONGATION" "REACTOME_DNA_STRAND_ELONGATION" "9/674" "26/6317" 0.000994377654207811 0.11833094085073 0.112129164428433 "Mcm6/Pola2/Rpa1/Mcm2/Mcm4/Fen1/Mcm5/Pcna/Mcm3" 9
"REACTOME_PEROXISOMAL_PROTEIN_IMPORT" "REACTOME_PEROXISOMAL_PROTEIN_IMPORT" "REACTOME_PEROXISOMAL_PROTEIN_IMPORT" "13/674" "48/6317" 0.00115591331324835 0.122269941579158 0.115861720403957 "Ech1/Mlycd/Scp2/Idh1/Pex6/Zfand6/Acaa1a/Cat/Ide/Paox/Gstk1/Rps27a/Acox3" 13
"REACTOME_REGULATION_OF_INSULIN_SECRETION" "REACTOME_REGULATION_OF_INSULIN_SECRETION" "REACTOME_REGULATION_OF_INSULIN_SECRETION" "13/674" "49/6317" 0.00142311610107144 0.135480652822001 0.128380052486129 "Stx1a/Itpr1/Marcks/Gnai2/Gnaq/Itpr2/Prkacb/Gng2/Itpr3/Acsl3/Prkca/Gngt2/Prkar2b" 13
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "7/674" "18/6317" 0.00168981594381633 0.146245888955741 0.13858107788044 "Atp2a3/Atp2a2/Itpr1/P2rx7/Itpr2/Stim1/Itpr3" 7
"REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE" "6/674" "14/6317" 0.00204079872712707 0.151609575551932 0.143663651313585 "Stx1a/Vapa/Sec61b/Hmox1/Stx5a/Aldh3a2" 6
"REACTOME_UNWINDING_OF_DNA" "REACTOME_UNWINDING_OF_DNA" "REACTOME_UNWINDING_OF_DNA" "5/674" "10/6317" 0.00217124845658099 0.151609575551932 0.143663651313585 "Mcm6/Mcm2/Mcm4/Mcm5/Mcm3" 5
"REACTOME_METABOLISM_OF_LIPIDS" "REACTOME_METABOLISM_OF_LIPIDS" "REACTOME_METABOLISM_OF_LIPIDS" "68/674" "457/6317" 0.00230795320261664 0.151609575551932 0.143663651313585 "Gm2a/Arsb/Ndufab1/Plekha2/Ctsa/Cyp51/Tnfaip8l2/Acot7/Faah/Mlycd/Ppt1/Hsd17b7/Vapa/Ppp1ca/Scp2/Smpd1/Pla2g12a/Ch25h/Lgmn/Angptl4/Hexb/Pip4k2b/Slc44a2/Cyp4f16/Prkd2/Cyp2d22/Neu1/Mboat1/Gpx4/Sgpp1/Tspo/Med9/Inpp4b/Idi1/Acaa1a/Smpd4/Acaa2/Oxct1/Acbd6/Pik3cg/Psap/Kpnb1/Lpin1/Ppp1cc/Pla1a/Dhcr24/Prkacb/Vapb/Asah2/Cbr1/Taz/Mtmr9/Ep300/Pik3cd/Acsl3/Alas1/Tbl1xr1/Aldh3a2/Gltp/Arsa/Abcd1/Pi4k2b/Grhl1/Hexa/Sqle/Csnk1g2/Acox3/Agpat4" 68
"REACTOME_DNA_REPLICATION_PRE_INITIATION" "REACTOME_DNA_REPLICATION_PRE_INITIATION" "REACTOME_DNA_REPLICATION_PRE_INITIATION" "15/674" "64/6317" 0.00245013370320009 0.151609575551932 0.143663651313585 "Mcm6/Psmd9/Pola2/E2f2/Rpa1/Psmd14/Mcm2/Mcm4/Psmd12/Psmb5/Psmd6/Psmd8/Rps27a/Mcm5/Mcm3" 15
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX" "REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX" "REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX" "13/674" "52/6317" 0.00254806009330979 0.151609575551932 0.143663651313585 "Mcm6/Psmd9/E2f2/Psmd14/Mcm2/Mcm4/Psmd12/Psmb5/Psmd6/Psmd8/Rps27a/Mcm5/Mcm3" 13
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "6/674" "15/6317" 0.00309788717687847 0.173481681905194 0.164389430995966 "Nfix/Polr3e/Polr3d/Nfic/Polr3b/Polr2e" 6
"REACTOME_RHOA_GTPASE_CYCLE" "REACTOME_RHOA_GTPASE_CYCLE" "REACTOME_RHOA_GTPASE_CYCLE" "18/674" "86/6317" 0.00363113733432198 0.192046819015252 0.181981561141166 "Tagap/Tex2/Pkn1/Arhgdib/Flot2/Fmnl3/Lman1/Vav2/Vapb/Def6/Arhgap30/Arhgap9/Stx5a/Abr/Abcd3/Arhgef4/Arhgap4/Stk10" 18
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" "REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" "REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" "8/674" "26/6317" 0.004378235829878 0.219372658423361 0.207875241341022 "Chek1/Mcm6/Rpa1/Mcm2/Mcm4/Cdc25a/Mcm5/Mcm3" 8
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX" "REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX" "REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX" "7/674" "21/6317" 0.00464265239124934 0.220990253823468 0.209408057857931 "Mcm6/Pola2/Rpa1/Mcm2/Mcm4/Mcm5/Mcm3" 7
"REACTOME_S_PHASE" "REACTOME_S_PHASE" "REACTOME_S_PHASE" "23/674" "124/6317" 0.00550016706290606 0.225640791920926 0.213814859217419 "Mcm6/Psmd9/Pola2/E2f5/Rpa1/Psmd14/Mcm2/Mcm4/Psmd12/Cdc25b/Rbl2/Cdkn1b/Psmb5/Cdc25a/Fen1/Psmd6/Cdk4/Psmd8/Rps27a/Mcm5/Pcna/Akt3/Mcm3" 23
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS" "REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS" "REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS" "22/674" "117/6317" 0.00553958264692663 0.225640791920926 0.213814859217419 "Psmd9/Cox7b/Cox7a2l/Psmd14/Gstp1/Psmd12/Cox11/Ncf4/Psmb5/Cox5b/Psmd6/Blvrb/Sco1/Ccs/Cat/Hmox1/Psmd8/Cox6c/Rps27a/Tbl1xr1/Txn1/Nudt2" 22
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "5/674" "12/6317" 0.00568842332573764 0.225640791920926 0.213814859217419 "Psip1/Cd4/Ccr5/Fen1/Hmga1" 5
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "5/674" "12/6317" 0.00568842332573764 0.225640791920926 0.213814859217419 "Itpr1/P2rx7/Itpr2/Stim1/Itpr3" 5
"REACTOME_G_PROTEIN_MEDIATED_EVENTS" "REACTOME_G_PROTEIN_MEDIATED_EVENTS" "REACTOME_G_PROTEIN_MEDIATED_EVENTS" "10/674" "39/6317" 0.00642657005199563 0.244723787579994 0.231897706718327 "Itpr1/Gnai2/Gnaq/Itpr2/Prkacb/Itpr3/Camk2g/Adcy7/Prkca/Prkar2b" 10
