"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "1/4" "10/6317" 0.00631859664975631 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "1/4" "14/6317" 0.00883763253039271 0.0608046130233608 0.0256019423256256 "Mgll" 1
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "1/4" "18/6317" 0.0113518759542618 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "1/4" "19/6317" 0.0119796887017107 0.0608046130233608 0.0256019423256256 "Mgll" 1
"REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "1/4" "20/6317" 0.0126072023957715 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "1/4" "21/6317" 0.0132344171314259 0.0608046130233608 0.0256019423256256 "Gipr" 1
"REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "1/4" "22/6317" 0.0138613330036423 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "1/4" "23/6317" 0.014487950107373 0.0608046130233608 0.0256019423256256 "Mgll" 1
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM" "REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM" "REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM" "1/4" "23/6317" 0.014487950107373 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_SIALIC_ACID_METABOLISM" "REACTOME_SIALIC_ACID_METABOLISM" "REACTOME_SIALIC_ACID_METABOLISM" "1/4" "27/6317" 0.0169914327359654 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "2/4" "351/6317" 0.0171413345903532 0.0608046130233608 0.0256019423256256 "Gipr/Mgll" 2
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "1/4" "29/6317" 0.0182413839070082 0.0608046130233608 0.0256019423256256 "St3gal1" 1
"REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS" "1/4" "32/6317" 0.0201140751188179 0.0618894619040551 0.0260587208017074 "St3gal1" 1
"REACTOME_SARS_COV_1_INFECTION" "REACTOME_SARS_COV_1_INFECTION" "REACTOME_SARS_COV_1_INFECTION" "1/4" "36/6317" 0.0226068276996817 0.0645909362848048 0.0271961836988652 "St3gal1" 1
"REACTOME_TBC_RABGAPS" "REACTOME_TBC_RABGAPS" "REACTOME_TBC_RABGAPS" "1/4" "39/6317" 0.0244732686759099 0.0652620498024265 0.027478757811548 "Tbc1d2" 1
"REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "1/4" "49/6317" 0.0306754377724798 0.0671838190310123 0.0282879238025315 "St3gal1" 1
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS" "REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS" "REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS" "1/4" "50/6317" 0.0312940239640733 0.0671838190310123 0.0282879238025315 "St3gal1" 1
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS" "REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS" "REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS" "1/4" "51/6317" 0.0319123140397308 0.0671838190310123 0.0282879238025315 "Gipr" 1
"REACTOME_O_LINKED_GLYCOSYLATION" "REACTOME_O_LINKED_GLYCOSYLATION" "REACTOME_O_LINKED_GLYCOSYLATION" "1/4" "51/6317" 0.0319123140397308 0.0671838190310123 0.0282879238025315 "St3gal1" 1
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN" "REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN" "REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN" "1/4" "64/6317" 0.0399231814568388 0.0798070477262948 0.0336029674637031 "St3gal1" 1
"REACTOME_INFECTIOUS_DISEASE" "REACTOME_INFECTIOUS_DISEASE" "REACTOME_INFECTIOUS_DISEASE" "2/4" "569/6317" 0.042979669309316 0.0798070477262948 0.0336029674637031 "Gipr/St3gal1" 2
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" "REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" "REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" "1/4" "71/6317" 0.0442160766491467 0.0798070477262948 0.0336029674637031 "Gipr" 1
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "1/4" "76/6317" 0.0472736044437845 0.0798070477262948 0.0336029674637031 "Mgll" 1
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_S_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_S_SIGNALLING_EVENTS" "1/4" "77/6317" 0.0478842286357769 0.0798070477262948 0.0336029674637031 "Gipr" 1
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM" "REACTOME_GLYCOSAMINOGLYCAN_METABOLISM" "REACTOME_GLYCOSAMINOGLYCAN_METABOLISM" "1/4" "85/6317" 0.0527586615792413 0.084413858526786 0.0355426772744362 "St3gal1" 1
"REACTOME_RAB_REGULATION_OF_TRAFFICKING" "REACTOME_RAB_REGULATION_OF_TRAFFICKING" "REACTOME_RAB_REGULATION_OF_TRAFFICKING" "1/4" "92/6317" 0.0570084158698133 0.0853545988698163 0.0359387784715016 "Tbc1d2" 1
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "1/4" "93/6317" 0.057614354237126 0.0853545988698163 0.0359387784715016 "Gipr" 1
"REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "1/4" "111/6317" 0.068471392562014 0.0978162750885914 0.0411858000373016 "St3gal1" 1
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "1/4" "121/6317" 0.0744623925956998 0.102706748407862 0.0432449466980471 "Mgll" 1
"REACTOME_PHOSPHOLIPID_METABOLISM" "REACTOME_PHOSPHOLIPID_METABOLISM" "REACTOME_PHOSPHOLIPID_METABOLISM" "1/4" "139/6317" 0.0851733157803831 0.113564421040511 0.0478165983328467 "Mgll" 1
"REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "1/4" "160/6317" 0.097551591770915 0.12587302163989 0.0529991670062696 "Gipr" 1
