"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/13" "24/6317" 0.00105191877871647 0.0487186982734251 0.0321290083730894 "Pik3ap1/Itpr1" 2
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/13" "27/6317" 0.00133311416267119 0.0487186982734251 0.0321290083730894 "Ccr5/Cxcr3" 2
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "3/13" "132/6317" 0.00218799512042561 0.0487186982734251 0.0321290083730894 "Ccr5/Cxcr3/Ffar2" 3
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "5/13" "512/6317" 0.00255017555234205 0.0487186982734251 0.0321290083730894 "Trim25/Ccr5/Usp18/Bst2/Il12rb2" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "3/13" "151/6317" 0.00321103016198275 0.0487186982734251 0.0321290083730894 "Trim25/Usp18/Bst2" 3
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "3/13" "156/6317" 0.00352183361012711 0.0487186982734251 0.0321290083730894 "Ccr5/Itpr1/Cxcr3" 3
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "4/13" "351/6317" 0.00448750532551146 0.0532089917167787 0.0350902672070069 "Ccr5/Itpr1/Cxcr3/Ffar2" 4
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "2/13" "59/6317" 0.00626153754569311 0.0537005278190751 0.035414425448217 "Usp18/Bst2" 2
"REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "3/13" "192/6317" 0.00631187261451503 0.0537005278190751 0.035414425448217 "Ccr5/Cxcr3/Ffar2" 3
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "2/13" "60/6317" 0.00646994311073194 0.0537005278190751 0.035414425448217 "Trim25/Usp18" 2
