"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "2/8" "28/6317" 0.000521877734790026 0.040184585578832 0.0203257644076116 "Furin/Ltbp1" 2
"REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "2/8" "49/6317" 0.00160212904124008 0.0616819680877433 0.0311993550136227 "Furin/St3gal1" 2
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" "2/8" "93/6317" 0.00566749596972324 0.0766224413154324 0.0387563954705537 "Furin/Gipr" 2
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "3/8" "351/6317" 0.00772525704874474 0.0766224413154324 0.0387563954705537 "Gipr/Mgll/Ffar2" 3
"REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "REACTOME_SARS_COV_INFECTIONS" "2/8" "111/6317" 0.00799584025954247 0.0766224413154324 0.0387563954705537 "Furin/St3gal1" 2
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "2/8" "121/6317" 0.00944825103439201 0.0766224413154324 0.0387563954705537 "Mgll/Ffar2" 2
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "1/8" "10/6317" 0.0126012383714403 0.0766224413154324 0.0387563954705537 "St3gal1" 1
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "1/8" "10/6317" 0.0126012383714403 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "1/8" "11/6317" 0.0138536864597594 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "1/8" "11/6317" 0.0138536864597594 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "1/8" "12/6317" 0.015104744263172 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "REACTOME_LEISHMANIA_INFECTION" "2/8" "160/6317" 0.0161478319844216 0.0766224413154324 0.0387563954705537 "Furin/Gipr" 2
"REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "1/8" "14/6317" 0.0176026943063536 0.0766224413154324 0.0387563954705537 "Mgll" 1
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "1/8" "15/6317" 0.0188495891890362 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION" "REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION" "REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION" "4/8" "924/6317" 0.0194926557582148 0.0766224413154324 0.0387563954705537 "Furin/St3gal1/Ube2f/Ltbp1" 4
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "2/8" "180/6317" 0.0201922510688605 0.0766224413154324 0.0387563954705537 "Furin/Ltbp1" 2
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "1/8" "18/6317" 0.0225819691169297 0.0766224413154324 0.0387563954705537 "St3gal1" 1
"REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "1/8" "18/6317" 0.0225819691169297 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "2/8" "192/6317" 0.0228070549789883 0.0766224413154324 0.0387563954705537 "Gipr/Ffar2" 2
"REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "1/8" "19/6317" 0.0238233319121453 0.0766224413154324 0.0387563954705537 "Mgll" 1
"REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS" "1/8" "20/6317" 0.0250633149773569 0.0766224413154324 0.0387563954705537 "St3gal1" 1
"REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS" "1/8" "21/6317" 0.0263019196272193 0.0766224413154324 0.0387563954705537 "Gipr" 1
"REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "1/8" "21/6317" 0.0263019196272193 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "1/8" "22/6317" 0.0275391471753418 0.0766224413154324 0.0387563954705537 "Furin" 1
"REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN" "1/8" "22/6317" 0.0275391471753418 0.0766224413154324 0.0387563954705537 "St3gal1" 1
