"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "5/18" "151/6317" 4.86684999601189e-05 0.00501285549589224 0.00358609999706139 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/18" "512/6317" 0.000318259844883397 0.0154674449347473 0.0110651113483118 "Trim25/Adar/Ccr5/Usp18/Bst2/Ube2l6/Il12rb2" 7
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "3/18" "59/6317" 0.000571662455963203 0.0154674449347473 0.0110651113483118 "Adar/Usp18/Bst2" 3
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/18" "60/6317" 0.00060067747319407 0.0154674449347473 0.0110651113483118 "Trim25/Usp18/Ube2l6" 3
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "7/18" "682/6317" 0.00181190866465994 0.0284949621228746 0.0203847455145756 "Trim25/Zbp1/Itpr1/Bst2/Fgl2/Plac8/Ube2l6" 7
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/18" "24/6317" 0.00203958276192873 0.0284949621228746 0.0203847455145756 "Pik3ap1/Itpr1" 2
"REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "2/18" "24/6317" 0.00203958276192873 0.0284949621228746 0.0203847455145756 "Trim25/Ube2l6" 2
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "2/18" "25/6317" 0.00221320094158249 0.0284949621228746 0.0203847455145756 "Trim25/Ube2l6" 2
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/18" "27/6317" 0.00258072424841931 0.0295349552874654 0.0211287365367663 "Ccr5/Cxcr3" 2
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "2/18" "29/6317" 0.00297505979032707 0.0306431158403689 0.0219214931918837 "Trim25/Ube2l6" 2
