"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "2/21" "10/6317" 0.000466161253665027 0.0424996649844915 0.0357891915658876 "St3gal1/Muc13" 2
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "6/21" "329/6317" 0.000531245812306143 0.0424996649844915 0.0357891915658876 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1" 6
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/21" "512/6317" 0.000938197702001161 0.0500372107733953 0.0421365985460171 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1/Adar" 7
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "2/21" "20/6317" 0.00192917671861546 0.0771670687446183 0.0649827947323102 "Itpr1/Pld4" 2
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "3/21" "99/6317" 0.00404581644887013 0.10556775200767 0.0888991595854061 "Id1/Mef2c/Ntrk3" 3
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "2/21" "29/6317" 0.00404873993923129 0.10556775200767 0.0888991595854061 "St3gal1/Muc13" 2
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "2/21" "31/6317" 0.00461858915033555 0.10556775200767 0.0888991595854061 "Pld4/Inpp5a" 2
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "2/21" "46/6317" 0.00997656942579633 0.199531388515927 0.168026432434465 "Id1/Mef2c" 2
"REACTOME_O_LINKED_GLYCOSYLATION" "REACTOME_O_LINKED_GLYCOSYLATION" "REACTOME_O_LINKED_GLYCOSYLATION" "2/21" "51/6317" 0.0121679866016662 0.202183574611931 0.170259852304784 "St3gal1/Muc13" 2
"REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "2/21" "55/6317" 0.0140595481356745 0.202183574611931 0.170259852304784 "Mef2c/Nod1" 2
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "6/21" "682/6317" 0.020330756730948 0.202183574611931 0.170259852304784 "Itpr1/Pld4/Mef2c/Nod1/Klrd1/Muc13" 6
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS" "REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS" "REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS" "2/21" "71/6317" 0.0227896150438326 0.202183574611931 0.170259852304784 "Itpr1/Pld4" 2
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "4/21" "336/6317" 0.0229252484224336 0.202183574611931 0.170259852304784 "Itpr1/Id1/Mef2c/Ntrk3" 4
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "2/21" "74/6317" 0.0246232223385858 0.202183574611931 0.170259852304784 "Mef2c/Nod1" 2
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE" "2/21" "78/6317" 0.0271596218034294 0.202183574611931 0.170259852304784 "Mef2c/Nod1" 2
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE" "2/21" "80/6317" 0.0284662519413166 0.202183574611931 0.170259852304784 "Mef2c/Nod1" 2
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK" "REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK" "REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK" "2/21" "83/6317" 0.030473221119664 0.202183574611931 0.170259852304784 "Cd80/Pip5k1b" 2
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "1/21" "10/6317" 0.0327737041406481 0.202183574611931 0.170259852304784 "Ntrk3" 1
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY" "REACTOME_CD28_DEPENDENT_VAV1_PATHWAY" "REACTOME_CD28_DEPENDENT_VAV1_PATHWAY" "1/21" "11/6317" 0.035994213449836 0.202183574611931 0.170259852304784 "Cd80" 1
"REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "1/21" "11/6317" 0.035994213449836 0.202183574611931 0.170259852304784 "Itpr1" 1
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS" "REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS" "REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS" "3/21" "223/6317" 0.0361118322459799 0.202183574611931 0.170259852304784 "Cd80/Itpr1/Pip5k1b" 3
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS" "REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS" "REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS" "2/21" "94/6317" 0.0382967948700186 0.202183574611931 0.170259852304784 "Itpr1/Muc13" 2
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "1/21" "12/6317" 0.0392045086476713 0.202183574611931 0.170259852304784 "Itpr1" 1
