"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "2/6" "59/6317" 0.00125586640798471 0.0401877250555107 0.0237953635197103 "Oas1g/Ifi35" 2
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "2/6" "151/6317" 0.00799359967329989 0.060524233348253 0.0358367171140972 "Oas1g/Ifi35" 2
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "1/6" "10/6317" 0.00946440048405572 0.060524233348253 0.0358367171140972 "Nrp1" 1
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "1/6" "11/6317" 0.0104067206992285 0.060524233348253 0.0358367171140972 "Nrp1" 1
"REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "1/6" "12/6317" 0.0113482937527974 0.060524233348253 0.0358367171140972 "Zbp1" 1
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "1/6" "12/6317" 0.0113482937527974 0.060524233348253 0.0358367171140972 "Zbp1" 1
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "1/6" "16/6317" 0.0151071238278901 0.0679282728376593 0.0402206878644036 "Zbp1" 1
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "1/6" "18/6317" 0.0169820682094148 0.0679282728376593 0.0402206878644036 "Nrp1" 1
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES" "REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES" "REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES" "1/6" "23/6317" 0.0216564200824498 0.0722850051368006 0.0428003319888951 "Ltbp1" 1
"REACTOME_DAP12_SIGNALING" "REACTOME_DAP12_SIGNALING" "REACTOME_DAP12_SIGNALING" "1/6" "24/6317" 0.0225890641052502 0.0722850051368006 0.0428003319888951 "Klrk1" 1
