"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "12/28" "512/6317" 6.45086676867738e-07 9.86982615607639e-05 8.82750189397957e-05 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Cd80/Nod1/Mef2c/Il4ra/Ifng/Casp1" 12
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "6/28" "151/6317" 4.11856287552249e-05 0.00315070059977471 0.00281796407272591 "Mx1/Usp18/Adar/Gbp5/Oasl1/Ifng" 6
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "4/28" "59/6317" 0.000118897932662847 0.00606379456580519 0.00542341447234038 "Mx1/Usp18/Adar/Oasl1" 4
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "7/28" "329/6317" 0.000446525526926654 0.0170796014049445 0.0152758732895961 "Il18rap/Cd80/Nod1/Mef2c/Il4ra/Ifng/Casp1" 7
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "4/28" "99/6317" 0.000870608943258112 0.0266406336636982 0.0238271921312747 "Mef2c/Ntrk3/Id1/Furin" 4
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/28" "60/6317" 0.00225416124129128 0.0574811116529276 0.0514106949768187 "Mx1/Usp18/Oasl1" 3
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "3/28" "76/6317" 0.00441672696119934 0.0965370321519284 0.0863420308204381 "Gbp5/Oasl1/Ifng" 3
"REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "2/28" "28/6317" 0.00666980999743313 0.127560116200909 0.114088855219251 "Nod1/Casp1" 2
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "2/28" "31/6317" 0.00813796529898876 0.138345410082809 0.123735144896905 "Inpp5a/Pld4" 2
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING" "REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING" "REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING" "3/28" "103/6317" 0.010259480542492 0.156970052300128 0.140392891634101 "Il18rap/Nod1/Casp1" 3
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS" "2/28" "44/6317" 0.0159794577331556 0.221695929079894 0.198283252703035 "Nod1/Casp1" 2
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "2/28" "46/6317" 0.0173879160062662 0.221695929079894 0.198283252703035 "Mef2c/Id1" 2
"REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "REACTOME_INTERLEUKIN_17_SIGNALING" "2/28" "55/6317" 0.0243450797928338 0.24999351920464 0.223592414837312 "Nod1/Mef2c" 2
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE" "2/28" "74/6317" 0.0420593080326769 0.24999351920464 0.223592414837312 "Nod1/Mef2c" 2
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "1/28" "10/6317" 0.0434814641228908 0.24999351920464 0.223592414837312 "Ntrk3" 1
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "1/28" "10/6317" 0.0434814641228908 0.24999351920464 0.223592414837312 "Furin" 1
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS" "2/28" "76/6317" 0.0441404039243733 0.24999351920464 0.223592414837312 "Mgll/Pld4" 2
