"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "3/14" "25/6317" 1.93712097279098e-05 0.00162718161714442 0.00101953735410051 "Trim25/Ifih1/Ube2l6" 3
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA" "3/14" "57/6317" 0.000236323243409327 0.00624277058603295 0.00391151039225122 "Trim25/Ifih1/Ube2l6" 3
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "7/14" "682/6317" 0.000287862578142647 0.00624277058603295 0.00391151039225122 "Plac8/Itpr1/Trim25/Bst2/Fgl2/Ifih1/Ube2l6" 7
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "2/14" "12/6317" 0.000297274789811093 0.00624277058603295 0.00391151039225122 "Trim25/Ifih1" 2
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "2/14" "18/6317" 0.000683918108987796 0.011489824230995 0.00719913798934522 "Trim25/Ifih1" 2
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "2/14" "20/6317" 0.00084716101918887 0.0118602542686442 0.00743123701042868 "Trim25/Ifih1" 2
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/14" "24/6317" 0.00122439374425358 0.0128561343146626 0.00805522200166831 "Itpr1/Pik3ap1" 2
"REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "2/14" "24/6317" 0.00122439374425358 0.0128561343146626 0.00805522200166831 "Trim25/Ube2l6" 2
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/14" "27/6317" 0.00155120473417537 0.0136670488255073 0.00856331380044317 "Ccr5/Cxcr3" 2
"REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES" "2/14" "29/6317" 0.00178973258429262 0.0136670488255073 0.00856331380044317 "Trim25/Ifih1" 2
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "2/14" "29/6317" 0.00178973258429262 0.0136670488255073 0.00856331380044317 "Trim25/Ube2l6" 2
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "3/14" "132/6317" 0.0027424474696578 0.0177864676641684 0.0111444032983511 "Ccr5/Ffar2/Cxcr3" 3
"REACTOME_DNA_DAMAGE_BYPASS" "REACTOME_DNA_DAMAGE_BYPASS" "REACTOME_DNA_DAMAGE_BYPASS" "2/14" "36/6317" 0.00275266761469272 0.0177864676641684 0.0111444032983511 "Trim25/Ube2l6" 2
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "5/14" "512/6317" 0.00370570873460954 0.0222342524076572 0.0139312358443968 "Ccr5/Il12rb2/Trim25/Bst2/Ube2l6" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "3/14" "151/6317" 0.00401570457228323 0.0224879456047861 0.0140901914816955 "Trim25/Bst2/Ube2l6" 3
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "3/14" "156/6317" 0.00440179609620447 0.0231094295050734 0.0144795924217252 "Ccr5/Itpr1/Cxcr3" 3
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "4/14" "351/6317" 0.00601088897221042 0.0297008631568044 0.0186095633814564 "Ccr5/Itpr1/Ffar2/Cxcr3" 4
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "2/14" "60/6317" 0.0075023837509862 0.034729795428354 0.0217605234513496 "Trim25/Ube2l6" 2
"REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "3/14" "192/6317" 0.00785554896593722 0.034729795428354 0.0217605234513496 "Ccr5/Ffar2/Cxcr3" 3
