"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "125/538" "449/6317" 1.19234348907182e-36 1.04210820944877e-33 9.18732035790075e-34 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rad50/Rad51/Rfc5/Fzr1/Stag3/Msh5/Tubb5/Aurka/Oip5/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Prim2/Birc5/Chtf18/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Brip1/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Clspn/Anapc5/Rpa3/Bard1/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Brca2/Pold3/Ppp2r5c/Top2a/Pcbp4/Spc24/Blm/Tubg1/Cenpk/Prkaca/Pold1/Rrm2/Cep72/E2f3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Syce2/Rfc4/Cenpq/Pif1/Esco2/Mnd1/Brca1/Cdkn2c/Cenpa/Polr2g/Chmp4b/Pttg1/Aaas" 125
"REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "105/538" "371/6317" 3.51594872024067e-31 1.53646959074517e-28 1.35456550695588e-28 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rfc5/Fzr1/Tubb5/Aurka/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Smc3/Ckap5/Prim2/Birc5/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Anapc5/Rpa3/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Pold3/Ppp2r5c/Top2a/Spc24/Tubg1/Cenpk/Prkaca/Pold1/Rrm2/Cep72/E2f3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Rfc4/Cenpq/Esco2/Cdkn2c/Cenpa/Chmp4b/Pttg1/Aaas" 105
"REACTOME_CELL_CYCLE_CHECKPOINTS" "REACTOME_CELL_CYCLE_CHECKPOINTS" "REACTOME_CELL_CYCLE_CHECKPOINTS" "61/538" "200/6317" 6.19979239291126e-20 1.80620618380148e-17 1.59236773038984e-17 "B9d2/Cenpp/Rad50/Rfc5/Plk1/Incenp/Nsl1/Mcm10/Cenpf/Ckap5/Birc5/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Ccna2/Cenpn/Kif2c/Cenpl/Spc25/Cdk2/Cdc6/Zwilch/Brip1/Cdkn1a/Dsn1/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Ube2c/Clspn/Anapc5/Rpa3/Bard1/Psmb8/Rpa2/Kif18a/Cenph/Pkmyt1/Chek2/Ndc80/Pmf1/Dbf4/Cenpm/Ppp2r5c/Pcbp4/Spc24/Blm/Cenpk/Bub1b/Ccne2/Cenpi/Aurkb/Rfc4/Cenpq/Brca1/Cenpa" 61
"REACTOME_MITOTIC_PROMETAPHASE" "REACTOME_MITOTIC_PROMETAPHASE" "REACTOME_MITOTIC_PROMETAPHASE" "44/538" "143/6317" 8.69222750041381e-15 1.89925170884042e-12 1.67439750797445e-12 "B9d2/Cenpp/Tubb5/Plk1/Incenp/Nsl1/Tubb6/Cenpf/Smc3/Ckap5/Birc5/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Nedd1/Zwilch/Dsn1/Smc2/Ccnb1/Odf2/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Ncapd2/Cenpm/Ppp2r5c/Spc24/Tubg1/Cenpk/Prkaca/Cep72/Bub1b/Cenpi/Ncaph/Aurkb/Cenpq/Cenpa" 44
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "35/538" "97/6317" 2.46979335260922e-14 4.31719878036092e-12 3.80608154549463e-12 "B9d2/Cenpp/Plk1/Incenp/Nsl1/Tubb6/Cenpf/Smc3/Ckap5/Birc5/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Zwilch/Dsn1/Ccnb1/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Cenpm/Ppp2r5c/Spc24/Cenpk/Bub1b/Cenpi/Aurkb/Cenpq/Cenpa" 35
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "33/538" "90/6317" 8.14916534584508e-14 1.18706175204477e-11 1.04652439178221e-11 "B9d2/Cenpp/Plk1/Incenp/Nsl1/Cenpf/Ckap5/Birc5/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Zwilch/Dsn1/Ube2c/Anapc5/Kif18a/Cenph/Ndc80/Pmf1/Cenpm/Ppp2r5c/Spc24/Cenpk/Bub1b/Cenpi/Aurkb/Cenpq/Cenpa" 33
"REACTOME_CHROMOSOME_MAINTENANCE" "REACTOME_CHROMOSOME_MAINTENANCE" "REACTOME_CHROMOSOME_MAINTENANCE" "27/538" "63/6317" 1.84849897352909e-13 2.30798300409203e-11 2.03473871973427e-11 "Cenpp/Rfc5/Oip5/Prim2/Chtf18/Rfc2/Ccna2/Cenpn/Cenpl/Cdk2/Rpa3/Lig1/Rpa2/Cenph/Rfc1/Cenpm/Pold3/Blm/Cenpk/Pold1/Pold4/Cenpi/Rfc4/Cenpq/Pif1/Cenpa/Polr2g" 27
"REACTOME_M_PHASE" "REACTOME_M_PHASE" "REACTOME_M_PHASE" "58/538" "259/6317" 2.22566514731184e-12 2.25172043245584e-10 1.98513712701153e-10 "Tmpo/Rb1/B9d2/Cenpp/Tubb5/Ncapg2/Plk1/Incenp/Nsl1/Tubb6/Lmnb1/Cenpf/Espl1/Smc3/Ckap5/Birc5/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Nedd1/Zwilch/Dsn1/Smc2/Ccnb1/Psmb9/Ube2c/Odf2/Anapc5/Chmp2a/Psmb8/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Ncaph2/Ncapd2/Cenpm/Ppp2r5c/Spc24/Tubg1/Cenpk/Prkaca/Cep72/Bub1b/Cenpi/Ncaph/Aurkb/Cenpq/Cenpa/Chmp4b/Pttg1/Aaas" 58
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "21/538" "42/6317" 2.31870525081265e-12 2.25172043245584e-10 1.98513712701153e-10 "Rad50/Rad51/Rfc5/Rfc2/Brip1/Rpa3/Bard1/Rpa2/Rad51c/Xrcc2/Rfc1/Pole/Brca2/Pold3/Blm/Pold1/Polk/Pold4/Rfc4/Polh/Brca1" 21
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE" "REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE" "REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE" "45/538" "181/6317" 1.84345985124188e-11 1.61118390998541e-09 1.42043432748322e-09 "Tmpo/B9d2/Cenpp/Plk1/Incenp/Nsl1/Tubb6/Lmnb1/Cenpf/Espl1/Smc3/Ckap5/Birc5/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Zwilch/Dsn1/Ccnb1/Psmb9/Ube2c/Anapc5/Chmp2a/Psmb8/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Cenpm/Ppp2r5c/Spc24/Cenpk/Bub1b/Cenpi/Aurkb/Cenpq/Cenpa/Chmp4b/Pttg1" 45
