"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "182/1005" "682/6317" 1.4271772791502e-14 1.37579889710079e-11 1.29347330247192e-11 "Elmo1/Txnip/Rasgrp2/Traf3/Atp8a1/Rab27a/Tbc1d10c/Ly86/Rnase6/Nfatc1/Tyrobp/Fos/Ctsa/C1qb/Rab3a/Dok3/Cd4/Tspan14/Hvcn1/Creb1/Igf2r/Map3k1/Lyz2/Nfatc3/Nckap1l/Trim56/Cd3g/Cotl1/Qpct/Ccr6/Pecam1/Tlr6/Gmfg/Cd55/Pik3r1/Casp8/S100a8/Map2k6/Rab3d/Pld3/Ampd3/Lgmn/Itpr1/Atp8b4/Cfp/Lck/Rab37/Iqgap2/Timp2/App/Gns/Ppp3ca/Slc44a2/Neu1/Tec/Armc8/Actb/Ypel5/Nod1/Acpp/P2rx7/1600012H06Rik/Slpi/Glipr1/Mapk14/Traf2/Irak4/Ear2/Glb1/Rap1b/Peli1/Sdcbp/Sirpa/Cap1/Rasgrp4/Crebbp/Psap/C1qc/Vrk3/Itpr2/Fcgr3/Slc11a1/Ctsh/H2-T23/Rnf125/Birc2/Masp2/Prkacb/Irf3/H2-D1/Dusp7/Man2b1/Cat/Itpr3/Klrd1/Gstp2/Hmox1/Ager/Creg1/Lrrfip1/Grap2/Tmem63a/Sftpd/Dync1h1/Ep300/Atg7/Was/Sell/Tmc6/Enpp4/Bcl2/Trim21/Socs1/Map3k14/Mapk11/Pld4/Fyn/Mef2c/Rasgrp1/Psmb10/Arhgap9/Cant1/Ikbke/Arsa/Lat2/Cd247/Rnf135/H2-Q7/Tlr1/Cnn2/Fcna/Tbk1/Card11/Kcnab2/Icam2/Jun/Stk10/Gm2a/Prkdc/Rps6ka5/Cd47/Btk/S100a11/B4galt1/Polr3e/Tlr7/Casp1/Bst2/Fgl2/Ddx58/Polr3d/Plaur/Plac8/Atad3a/Ube2l6/Polr3b/Klrk1/Irf7/Polr2e/Ctsb/Arsb/Lgals3/Manba/Idh1/Unc13d/Gstp1/Eef2/Zbp1/Vamp8/H2-M3/Hexb/Grn/Pstpip1/Apaf1/Ncf4/Acaa1a/Trappc1/Rac2/Dhx58/Serpinb6a/Sigirr/Commd3" 182
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "132/1005" "512/6317" 1.39449484341474e-09 6.72146514525906e-07 6.31926347463208e-07 "Il6ra/Pias1/Il11ra1/Mcl1/Cd86/Il4ra/Ltb/Traf3/Ppm1b/Fos/H2-Eb1/Ptpn12/Ifngr2/Cd4/Creb1/Csk/Stx1a/Bcl6/Cd27/Ifngr1/Sp100/Pik3r1/Irf1/Map2k6/Ccr5/Tnfrsf14/Pik3r3/H2-Ab1/Rapgef1/Eif4g2/Socs3/Il7r/Lck/Pdcd4/App/Tec/Nod1/Ciita/Il16/Cdkn1b/Msn/Mid1/Mapk14/Vcam1/Il17ra/Traf2/Irak4/Rap1b/Peli1/H2-Ea/Vrk3/H2-K1/Sla2/H2-T23/Il27ra/Inpp5d/Ptpn18/Birc2/Ptk2b/Rbx1/Irf3/H2-D1/Flna/Dusp7/Jak1/Eif4a2/Clcf1/Pitpna/Hmox1/Ager/Grap2/Camk2g/Flt3l/Pik3cd/Prlr/Bcl2/Trim21/Socs1/Map3k14/Mapk11/Fyn/Mef2c/Psmb10/Gata3/Brwd1/Tnfrsf25/Vamp2/Foxo1/H2-Q7/Trim26/Map3k3/Cnn2/Tbk1/Jun/Il18r1/Stat1/Tnfrsf12a/Rps6ka5/Irf9/Rora/Gbp3/Oas1g/Timp1/Oasl1/Ifit2/Cd40/Ifit3/Gbp2/Usp18/Il21/Fasl/Casp1/Bst2/Ddx58/Ifng/Oas2/Cxcl10/Mtap/Ifi35/Rsad2/Ube2l6/Irf7/Egr1/Lgals9/Eif4e3/Vim/H2-M3/Irs2/Jak3/Samhd1/Sla/Sigirr" 132
"REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "90/1005" "315/6317" 3.91761470839116e-09 1.25886019296302e-06 1.18353202242975e-06 "Atp8a1/Rab27a/Tbc1d10c/Tyrobp/Ctsa/Rab3a/Dok3/Tspan14/Hvcn1/Igf2r/Lyz2/Nckap1l/Cotl1/Qpct/Pecam1/Gmfg/Cd55/S100a8/Rab3d/Ampd3/Atp8b4/Cfp/Rab37/Iqgap2/Timp2/Gns/Slc44a2/Neu1/Armc8/Ypel5/Acpp/1600012H06Rik/Slpi/Glipr1/Mapk14/Ear2/Glb1/Rap1b/Sdcbp/Sirpa/Cap1/Psap/Fcgr3/Slc11a1/Ctsh/H2-T23/H2-D1/Man2b1/Cat/Gstp2/Creg1/Tmem63a/Dync1h1/Atg7/Sell/Tmc6/Enpp4/Arhgap9/Cant1/Arsa/H2-Q7/Cnn2/Kcnab2/Stk10/Gm2a/Cd47/S100a11/B4galt1/Bst2/Fgl2/Plaur/Plac8/Atad3a/Ctsb/Arsb/Lgals3/Manba/Idh1/Unc13d/Gstp1/Eef2/Vamp8/H2-M3/Hexb/Grn/Apaf1/Acaa1a/Trappc1/Serpinb6a/Commd3" 90
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "32/1005" "76/6317" 3.94016022116373e-08 9.49578613300459e-06 8.92757355374203e-06 "Pias1/H2-Eb1/Ifngr2/Ifngr1/Sp100/Irf1/H2-Ab1/Socs3/Ciita/Mid1/Vcam1/H2-Ea/H2-K1/H2-T23/Irf3/H2-D1/Jak1/Camk2g/Trim21/Socs1/H2-Q7/Trim26/Stat1/Irf9/Gbp3/Oas1g/Oasl1/Gbp2/Ifng/Oas2/Irf7/H2-M3" 32
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "25/1005" "59/6317" 1.05520316429794e-06 0.000203443170076644 0.000191269457781164 "Irf1/Socs3/H2-K1/H2-T23/Irf3/H2-D1/Jak1/Socs1/H2-Q7/Stat1/Irf9/Oas1g/Oasl1/Ifit2/Ifit3/Gbp2/Usp18/Bst2/Oas2/Ifi35/Rsad2/Irf7/Egr1/H2-M3/Samhd1" 25
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL" "REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL" "REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL" "25/1005" "60/6317" 1.53963230537858e-06 0.000243113417198295 0.000228565901078546 "Cd96/Tyrobp/Itgb7/Cd22/Cd3g/Hcst/Cd8b1/Cd1d1/Siglecg/Vcam1/H2-T23/H2-D1/Klrd1/Sftpd/Sell/Cd247/Cd3e/H2-Q7/Icam2/Cd40/Cd160/Crtam/Klrk1/H2-M3/Cd226" 25
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "47/1005" "151/6317" 1.76534639044405e-06 0.000243113417198295 0.000228565901078546 "Pias1/Ppm1b/H2-Eb1/Ifngr2/Ifngr1/Sp100/Irf1/H2-Ab1/Eif4g2/Socs3/Ciita/Mid1/Vcam1/H2-Ea/H2-K1/H2-T23/Irf3/H2-D1/Flna/Jak1/Eif4a2/Camk2g/Trim21/Socs1/H2-Q7/Trim26/Stat1/Irf9/Gbp3/Oas1g/Oasl1/Ifit2/Ifit3/Gbp2/Usp18/Bst2/Ddx58/Ifng/Oas2/Ifi35/Rsad2/Ube2l6/Irf7/Egr1/Eif4e3/H2-M3/Samhd1" 47
"REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "22/1005" "50/6317" 2.18417845675987e-06 0.000263193504039565 0.000247444427798717 "B4galnt1/Ctsa/Ugcg/Prkd2/Neu1/Sgpp1/Glb1/Psap/Vapb/Ppm1l/Aldh3a2/Gltp/Arsa/Hexa/Csnk1g2/Prkd3/Gm2a/Asah2/Sptlc1/Arsb/Smpd1/Hexb" 22
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM" "REACTOME_ADAPTIVE_IMMUNE_SYSTEM" "REACTOME_ADAPTIVE_IMMUNE_SYSTEM" "121/1005" "526/6317" 5.72812095326235e-06 0.000613545399882768 0.000576831829328525 "Cd86/Cd96/H2-DMa/Rasgrp2/Nfatc1/Tyrobp/Fbxo32/H2-Eb1/Ctsa/Sh3kbp1/Cd4/Hectd3/Csk/Trat1/Itgb7/Nfatc3/Cd22/Cd3g/Tlr6/Pik3r1/S100a8/Ctso/Tnfrsf14/Pik3r3/H2-Ab1/Hcst/Socs3/Cd8b1/Lgmn/Itpr1/Lck/Kbtbd7/Rnf123/Cd79b/Fbxo9/Ppp3ca/Ctse/Rapgef4/Ube2b/Cd1d1/Fbxl12/Siglecg/Vcam1/Dctn1/Rap1b/Blk/Cd74/H2-DMb2/H2-Ea/Nedd4l/Itpr2/Ctsh/H2-T23/Inpp5d/Asb13/Herc3/Fyb/Rbx1/Prkacb/H2-D1/Tap2/Stim1/Evl/Mrc1/Sipa1/Itpr3/Trim39/Klrd1/H2-DMb1/Grap2/Sftpd/Dync1h1/Atg7/Was/Trim11/Sell/Pik3cd/Trim21/Socs1/Map3k14/Spsb1/Fyn/Fbxo27/Rasgrp1/Psmb10/Siah1a/Ptpn22/Klhl21/Znrf1/Cd247/Cd3e/H2-Ob/H2-Q7/Tlr1/Herc2/Card11/Icam2/Btbd6/Dctn6/Dtx3l/Kif3c/Btk/Cd40/Pik3ap1/Hectd2/Rnf213/Cd160/Crtam/Kbtbd8/Xdh/Tap1/Ube2cbp/Ube2l6/Klrk1/Btla/Ctsb/Vamp8/H2-M3/Ncf4/Kif23/Cd226" 121
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "9/1005" "12/6317" 8.80704238653631e-06 0.0008489988860621 0.000798196157348186 "Traf3/Crebbp/Irf3/Ep300/Ikbke/Rnf135/Tbk1/Ddx58/Irf7" 9
