"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "132/566" "449/6317" 4.0606649142067e-39 3.58150645433031e-36 3.16304424896101e-36 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rad50/Rad51/Rfc5/Fzr1/Stag3/Msh5/Tubb5/Aurka/Oip5/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Prim2/Birc5/Chtf18/Nde1/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Brip1/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Clspn/Csnk1d/Anapc5/Rpa3/Bard1/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Brca2/Pold3/Ppp2r5c/Top2a/Pcbp4/Nme7/Spc24/Blm/Tubg1/Cenpk/Prkaca/Pold1/Mcm4/Rrm2/Cep72/E2f3/Mcm6/Mre11a/Ccnd3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Syce2/Rfc4/Cenpq/Pif1/Esco2/Mnd1/Brca1/Cdkn2c/Cenpa/Polr2g/Chmp4b/Pttg1/Aaas" 132
"REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "111/566" "371/6317" 2.38006297790479e-33 1.04960777325601e-30 9.26971896657655e-31 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rfc5/Fzr1/Tubb5/Aurka/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Smc3/Ckap5/Prim2/Birc5/Nde1/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Csnk1d/Anapc5/Rpa3/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Pold3/Ppp2r5c/Top2a/Nme7/Spc24/Tubg1/Cenpk/Prkaca/Pold1/Mcm4/Rrm2/Cep72/E2f3/Mcm6/Ccnd3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Rfc4/Cenpq/Esco2/Cdkn2c/Cenpa/Chmp4b/Pttg1/Aaas" 111
"REACTOME_CELL_CYCLE_CHECKPOINTS" "REACTOME_CELL_CYCLE_CHECKPOINTS" "REACTOME_CELL_CYCLE_CHECKPOINTS" "65/566" "200/6317" 1.16934163067111e-21 3.43786439417308e-19 3.03618528665482e-19 "B9d2/Cenpp/Rad50/Rfc5/Plk1/Incenp/Nsl1/Mcm10/Cenpf/Ckap5/Birc5/Nde1/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Ccna2/Cenpn/Kif2c/Cenpl/Spc25/Cdk2/Cdc6/Zwilch/Brip1/Cdkn1a/Dsn1/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Ube2c/Clspn/Anapc5/Rpa3/Bard1/Psmb8/Rpa2/Kif18a/Cenph/Pkmyt1/Chek2/Ndc80/Pmf1/Dbf4/Cenpm/Ppp2r5c/Pcbp4/Spc24/Blm/Cenpk/Mcm4/Mcm6/Mre11a/Bub1b/Ccne2/Cenpi/Aurkb/Rfc4/Cenpq/Brca1/Cenpa" 65
"REACTOME_MITOTIC_PROMETAPHASE" "REACTOME_MITOTIC_PROMETAPHASE" "REACTOME_MITOTIC_PROMETAPHASE" "47/566" "143/6317" 4.10064945700644e-16 9.0419320526992e-14 7.98547525838096e-14 "B9d2/Cenpp/Tubb5/Plk1/Incenp/Nsl1/Tubb6/Cenpf/Smc3/Ckap5/Birc5/Nde1/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Nedd1/Zwilch/Dsn1/Smc2/Ccnb1/Odf2/Csnk1d/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Ncapd2/Cenpm/Ppp2r5c/Nme7/Spc24/Tubg1/Cenpk/Prkaca/Cep72/Bub1b/Cenpi/Ncaph/Aurkb/Cenpq/Cenpa" 47
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION" "36/566" "97/6317" 1.83774457765855e-14 3.24178143498969e-12 2.86301260519438e-12 "B9d2/Cenpp/Plk1/Incenp/Nsl1/Tubb6/Cenpf/Smc3/Ckap5/Birc5/Nde1/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Zwilch/Dsn1/Ccnb1/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Cenpm/Ppp2r5c/Spc24/Cenpk/Bub1b/Cenpi/Aurkb/Cenpq/Cenpa" 36
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "REACTOME_MITOTIC_SPINDLE_CHECKPOINT" "34/566" "90/6317" 5.44205458200682e-14 7.99982023555003e-12 7.06512349242991e-12 "B9d2/Cenpp/Plk1/Incenp/Nsl1/Cenpf/Ckap5/Birc5/Nde1/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Zwilch/Dsn1/Ube2c/Anapc5/Kif18a/Cenph/Ndc80/Pmf1/Cenpm/Ppp2r5c/Spc24/Cenpk/Bub1b/Cenpi/Aurkb/Cenpq/Cenpa" 34
"REACTOME_M_PHASE" "REACTOME_M_PHASE" "REACTOME_M_PHASE" "61/566" "259/6317" 5.17329897075809e-13 6.18094600115394e-11 5.45876601128287e-11 "Tmpo/Rb1/B9d2/Cenpp/Tubb5/Ncapg2/Plk1/Incenp/Nsl1/Tubb6/Lmnb1/Cenpf/Espl1/Smc3/Ckap5/Birc5/Nde1/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif2c/Cenpl/Spc25/Nedd1/Zwilch/Dsn1/Smc2/Ccnb1/Psmb9/Ube2c/Odf2/Csnk1d/Anapc5/Chmp2a/Psmb8/Kif18a/Cenph/Cdca5/Ndc80/Pmf1/Ncaph2/Ncapd2/Cenpm/Ppp2r5c/Nme7/Spc24/Tubg1/Cenpk/Prkaca/Cep72/Bub1b/Cenpi/Ncaph/Aurkb/Cenpq/Cenpa/Chmp4b/Pttg1/Aaas" 61
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR" "22/566" "42/6317" 5.60630022780403e-13 6.18094600115394e-11 5.45876601128287e-11 "Rad50/Rad51/Rfc5/Rfc2/Brip1/Rpa3/Bard1/Rpa2/Rad51c/Xrcc2/Rfc1/Pole/Brca2/Pold3/Blm/Pold1/Mre11a/Polk/Pold4/Rfc4/Polh/Brca1" 22
"REACTOME_CHROMOSOME_MAINTENANCE" "REACTOME_CHROMOSOME_MAINTENANCE" "REACTOME_CHROMOSOME_MAINTENANCE" "27/566" "63/6317" 6.35875063529988e-13 6.23157562259389e-11 5.50348008201393e-11 "Cenpp/Rfc5/Oip5/Prim2/Chtf18/Rfc2/Ccna2/Cenpn/Cenpl/Cdk2/Rpa3/Lig1/Rpa2/Cenph/Rfc1/Cenpm/Pold3/Blm/Cenpk/Pold1/Pold4/Cenpi/Rfc4/Cenpq/Pif1/Cenpa/Polr2g" 27
"REACTOME_DNA_REPLICATION" "REACTOME_DNA_REPLICATION" "REACTOME_DNA_REPLICATION" "33/566" "97/6317" 3.95564441335182e-12 3.48887837257631e-10 3.08123880618984e-10 "E2f1/Rfc5/Fzr1/Gins2/Mcm10/Cdt1/Prim2/Rfc2/Ccna2/Skp2/Cdk2/Cdc6/Mcm7/Ccne1/Psmb9/Ube2c/Anapc5/Rpa3/Psmb8/Lig1/Rpa2/Dbf4/Rfc1/Pole/Gins4/Pold3/Pold1/Mcm4/E2f3/Mcm6/Pold4/Ccne2/Rfc4" 33
