"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"E2F_Q3" "E2F_Q3" "E2F_Q3" "19/373" "135/7293" 5.09078712726923e-05 0.0295774732094342 0.0294729781052429 "Mcm6/Tfrc/Usp1/Pola2/Rbbp7/Uxt/Mcm2/Prpf38a/Tipin/Mcm4/Nasp/Cdc25a/Kpnb1/Ppp1cc/Ints7/Tcp1/Pcna/Cdca7/Mcm3" 19
"E2F_Q6" "E2F_Q6" "E2F_Q6" "19/373" "147/7293" 0.000163364779281702 0.0338544829656263 0.0337348774908859 "Mcm6/Pola2/Uxt/Mcm2/Mcm4/Nasp/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Snrpd1/Eed/Pcna/Cdca7/Myh10/Mcm3" 19
"E2F_Q4" "E2F_Q4" "E2F_Q4" "19/373" "151/7293" 0.000233077335391575 0.0338544829656263 0.0337348774908859 "Mcm6/Pola2/Uxt/Mcm2/Mcm4/Nasp/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Snrpd1/Eed/Pcna/Cdca7/Myh10/Mcm3" 19
"E2F_Q4_01" "E2F_Q4_01" "E2F_Q4_01" "19/373" "151/7293" 0.000233077335391575 0.0338544829656263 0.0337348774908859 "Etv4/Mcm6/Pola2/Uxt/Mcm2/Prpf38a/Tipin/Mcm4/Nasp/Cdc25a/Acbd6/Kpnb1/Ints7/Anp32e/Tiam1/Pcna/Cdca7/Hmga1/Mcm3" 19
"E2F1DP1RB_01" "E2F1DP1RB_01" "E2F1DP1RB_01" "18/373" "147/7293" 0.000474156543104455 0.0498741500986491 0.0496979482820128 "Mcm6/Pola2/Rbbp7/Mcm2/Nasp/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Snrpd1/Eed/Pcna/Cdca7/Myh10/Mcm3" 18
"E2F_Q6_01" "E2F_Q6_01" "E2F_Q6_01" "18/373" "148/7293" 0.000515051464013588 0.0498741500986491 0.0496979482820128 "Etv4/Mcm6/Sypl/Mcm2/Prpf38a/Tipin/Mcm4/Nasp/Cdc25a/Acbd6/Kpnb1/Ints7/Anp32e/Tiam1/Dusp6/Pcna/Cdca7/Mcm3" 18
"E2F1_Q3" "E2F1_Q3" "E2F1_Q3" "18/373" "152/7293" 0.000710589187181982 0.0589789025361045 0.0587705342782091 "Mcm6/Tfrc/Usp1/Mcm2/Prpf38a/Tipin/Nasp/Cdc25a/Acbd6/Sumo1/Nup62/Tcp1/Snrpd1/Eed/Pcna/Cdca7/Myh10/Mcm3" 18
"SGCGSSAAA_E2F1DP2_01" "SGCGSSAAA_E2F1DP2_01" "SGCGSSAAA_E2F1DP2_01" "14/373" "106/7293" 0.000942350674568011 0.0684382177405018 0.0681964303963692 "Mcm6/Mcm2/Mcm4/Nasp/Cdc25a/Acbd6/Nup62/Snrpd1/Eed/Pcna/Cdca7/Hmga1/Myh10/Mcm3" 14
"E2F1_Q6" "E2F1_Q6" "E2F1_Q6" "17/373" "155/7293" 0.00230974114207837 0.149106622616393 0.148579839548901 "Mcm6/Mcm2/Prpf38a/Mcm4/Nasp/Cdc25a/Acbd6/Kpnb1/Sumo1/Nup62/Snrpd1/Eed/Pcna/Cdca7/Hmga1/Myh10/Mcm3" 17
"E2F_03" "E2F_03" "E2F_03" "16/373" "148/7293" 0.00355446407367881 0.187740329709763 0.187077056509411 "Mcm6/Fus/Pola2/Uxt/Mcm2/Prpf38a/Tipin/Mcm4/Nasp/Cdc25a/Ints7/Anp32e/Tiam1/Tcp1/Cdca7/Mcm3" 16
