"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"CACCCBINDINGFACTOR_Q6" "CACCCBINDINGFACTOR_Q6" "CACCCBINDINGFACTOR_Q6" "18/303" "153/7293" 5.85997020555533e-05 0.0339292274901653 0.0338027755015192 "Phldb1/Ahnak/Kcnk10/Blmh/Pip4k2b/Dld/Dctn1/Zadh2/Ywhae/Cdk4/Ythdf2/Otx1/Slc6a9/Rad23b/Sh3glb2/Zhx2/Dusp14/Ppp1r1b" 18
"MYB_Q6" "MYB_Q6" "MYB_Q6" "14/303" "141/7293" 0.00209000726669079 0.605057103706983 0.602802095866606 "Cd44/Zbtb32/Eif4g2/Gnat1/Pip4k2b/Mgll/Tmem97/Ywhae/Bscl2/Otx1/Snrpd1/Gcnt2/Ltbp1/Slc16a6" 14
"SP1_Q4_01" "SP1_Q4_01" "SP1_Q4_01" "15/303" "177/7293" 0.00668090472297051 0.757872499060891 0.75504795834082 "Smarce1/Fus/Rbbp7/Ahnak/Csnk1d/Pmm1/Cops5/Smarca5/Nasp/Cdc25a/Dcun1d4/Sox12/Zfp282/Camk2g/Gltp" 15
"E2F_Q6_01" "E2F_Q6_01" "E2F_Q6_01" "13/303" "148/7293" 0.00840543779969591 0.757872499060891 0.75504795834082 "Etv4/Sypl/Prpf38a/Prkdc/Rps6ka5/Nasp/Cdc25a/Kpnb1/Ints7/Anp32e/Tiam1/Dusp6/Cdca7" 13
"MZF1_01" "MZF1_01" "MZF1_01" "13/303" "148/7293" 0.00840543779969591 0.757872499060891 0.75504795834082 "Nfix/Ntrk3/Eif4g2/Pip4k2b/Mgll/Itga3/Irf9/Lif/Smarca5/Mtx1/Kif3c/Zhx2/Hmga1" 13
"MYB_Q5_01" "MYB_Q5_01" "MYB_Q5_01" "13/303" "151/7293" 0.00987755440124308 0.757872499060891 0.75504795834082 "Etv4/Gnat1/Mgll/Pigh/Cox7a2/Tmem97/Ywhae/Bscl2/Slc6a9/Gcnt2/Ltbp1/Tmed2/Slc16a6" 13
"AR_Q2" "AR_Q2" "AR_Q2" "8/303" "73/7293" 0.010402109525506 0.757872499060891 0.75504795834082 "Eif4enif1/Kcnk10/Inhba/Ganc/Larp4/Rwdd1/Car11/Zhx2" 8
"SP1_Q6" "SP1_Q6" "SP1_Q6" "14/303" "173/7293" 0.0126865107751318 0.757872499060891 0.75504795834082 "Smarce1/Rbbp7/Xrcc6/Csnk1d/Pmm1/Cops5/Smarca5/Cdc25a/Dcun1d4/Sox12/Zfp282/Camk2g/Gltp/Cdca7" 14
"CDP_02" "CDP_02" "CDP_02" "7/303" "61/7293" 0.0127050996036878 0.757872499060891 0.75504795834082 "Etv4/Kif1b/Lif/Otx1/Slc6a9/Cdca7/Myh10" 7
"SMTTTTGT_UNKNOWN" "SMTTTTGT_UNKNOWN" "SMTTTTGT_UNKNOWN" "18/303" "248/7293" 0.0148037727231378 0.757872499060891 0.75504795834082 "Nfix/Zbtb32/Fus/Cox7b/Id2/Kcnk10/Eif4g2/Kif1b/Ywhae/Ythdf2/Hpcal1/Btk/Camk2g/Tiam1/Zfp36l1/Ltbp1/Dusp6/Ywhag" 18
"PAX4_03" "PAX4_03" "PAX4_03" "13/303" "163/7293" 0.0178715917231465 0.757872499060891 0.75504795834082 "Nfix/Zbtb32/Pip4k2b/Dctn1/Irf9/Kpnb1/Mtx1/Ywhae/Hpcal1/Btk/Camk2g/Sh3glb2/Gngt2" 13
"E2F_03" "E2F_03" "E2F_03" "12/303" "148/7293" 0.0199476512080769 0.757872499060891 0.75504795834082 "Fus/Eif4g2/Prpf38a/Prkdc/Rps6ka5/Nasp/Cdc25a/Ints7/Anp32e/Tiam1/Tcp1/Cdca7" 12
"ER_Q6_02" "ER_Q6_02" "ER_Q6_02" "13/303" "166/7293" 0.0204777455318766 0.757872499060891 0.75504795834082 "Cox7b/Tnfrsf12a/Rhoq/Fh1/Sox12/Hipk2/St3gal1/Zfp36l1/Cldn12/Crabp2/Ndufa5/Xpo6/Slc16a6" 13
"E2F_Q4_01" "E2F_Q4_01" "E2F_Q4_01" "12/303" "151/7293" 0.0229617484945891 0.757872499060891 0.75504795834082 "Etv4/Prpf38a/Prkdc/Rps6ka5/Nasp/Cdc25a/Kpnb1/Ints7/Anp32e/Tiam1/Cdca7/Hmga1" 12
"NFE2_01" "NFE2_01" "NFE2_01" "13/303" "169/7293" 0.023359320221187 0.757872499060891 0.75504795834082 "Bcl7a/Rbbp7/Abcb6/Id2/Blmh/Angptl4/Psmd12/Rexo2/Slc31a1/Btk/Abcd1/Ywhag/Slc16a6" 13
"TGANNYRGCA_TCF11MAFG_01" "TGANNYRGCA_TCF11MAFG_01" "TGANNYRGCA_TCF11MAFG_01" "14/303" "187/7293" 0.023459327202407 0.757872499060891 0.75504795834082 "Rbbp7/Abcb6/Ahnak/Tomm70a/Blmh/Angptl4/Kdelr2/Psmb2/Larp4/Bscl2/Btk/Anp32e/Ywhag/Slc16a6" 14
"MAF_Q6" "MAF_Q6" "MAF_Q6" "13/303" "170/7293" 0.024383784988585 0.757872499060891 0.75504795834082 "Uhrf1bp1/Kdelr2/Mgll/Rora/Tmem97/Kpnb1/Otx1/Tiam1/Zhx2/Sqle/Zfp710/Hmga1/Slc16a6" 13
"EGR_Q6" "EGR_Q6" "EGR_Q6" "13/303" "172/7293" 0.0265320733404367 0.757872499060891 0.75504795834082 "Abcb6/Il21/Tnfrsf12a/Mgll/Smarca5/Kpnb1/Ythdf2/Anp32e/Zfp36l1/Eed/Zhx2/Ywhag/Hmga1" 13
"TAL1BETAITF2_01" "TAL1BETAITF2_01" "TAL1BETAITF2_01" "11/303" "137/7293" 0.0269233058688066 0.757872499060891 0.75504795834082 "Rab27a/Nap1l1/Frmd6/Sln/Ehd4/Sox12/Zadh2/Dapk1/Zfp36l1/Ltbp1/Zfp710" 11
"TGASTMAGC_NFE2_01" "TGASTMAGC_NFE2_01" "TGASTMAGC_NFE2_01" "10/303" "120/7293" 0.0271925581293916 0.757872499060891 0.75504795834082 "Cd44/Zbtb32/Rbbp7/Abcb6/Blmh/Angptl4/Psmd12/Btk/Abcd1/Slc16a6" 10
"NRF2_Q4" "NRF2_Q4" "NRF2_Q4" "12/303" "155/7293" 0.0274876035928821 0.757872499060891 0.75504795834082 "Cd44/Rbbp7/Abcb6/Tomm70a/Blmh/Psmd12/Rexo2/Btk/Trex1/Abcd1/Ywhag/Slc16a6" 12
"AP1_01" "AP1_01" "AP1_01" "12/303" "157/7293" 0.0299796099448694 0.787568087442873 0.784632873227333 "Rbbp7/Abcb6/Kcnk10/Tnfrsf12a/Psmd12/G3bp1/Rexo2/Btk/Abcd1/Dusp14/Ywhag/Gngt2" 12
"CEBPB_02" "CEBPB_02" "CEBPB_02" "12/303" "158/7293" 0.0312850881022212 0.787568087442873 0.784632873227333 "Phldb1/AI413582/Timd2/Ruvbl2/Ccl3/Bnip3l/Map2k6/Zadh2/Rexo2/Asah2/Rad23b/Aqp9" 12
"CP2_02" "CP2_02" "CP2_02" "12/303" "162/7293" 0.036917474020756 0.817393117580223 0.814346747448345 "Pkn1/Ntrk3/Rhbdf1/Hpcal1/Camk2g/Gltp/Ltbp1/Dusp6/Ffar2/Ywhag/Odc1/Lsm12" 12
"IRF7_01" "IRF7_01" "IRF7_01" "12/303" "162/7293" 0.036917474020756 0.817393117580223 0.814346747448345 "Nfix/Dtx3l/Angptl4/Ccl3/Lif/Cxcl10/Map2k6/Ythdf2/Socs1/Zfp36l1/Zhx2/Gngt2" 12
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "9/303" "109/7293" 0.0369683164313009 0.817393117580223 0.814346747448345 "Scamp1/Id2/Kcnk10/Ch25h/Sln/Mgll/Rora/Zadh2/Zhx2" 9
"EGR2_01" "EGR2_01" "EGR2_01" "10/303" "127/7293" 0.038116777503741 0.817393117580223 0.814346747448345 "Etv4/Fus/Ahnak/Slc25a39/Smarca5/Zfp281/Car11/Zhx2/Nup107/Ppp1r1b" 10
"CP2_01" "CP2_01" "CP2_01" "12/303" "165/7293" 0.041588607745302 0.859992995876066 0.856787858812988 "Stra6/Rhoq/Dctn1/Dbp/Sox12/Hipk2/Socs1/Eed/Csf2/Zfp710/Odc1/Lsm12" 12
"GATTGGY_NFY_Q6_01" "GATTGGY_NFY_Q6_01" "GATTGGY_NFY_Q6_01" "40/303" "737/7293" 0.0456943298863293 0.884524481719609 0.881227917429953 "H2-DMa/Etv4/Pign/Actb/Mre11a/Eif4g2/Prmt5/Lancl1/Snrpa/Prkdc/AI413582/Kif1b/Rhoq/Dld/Slc26a6/Atf4/Slc25a17/Rps6ka5/Actl6a/G3bp1/Dbp/Nasp/Cdc25a/Dcun1d4/Rpp30/Kpnb1/Ints7/Znhit3/Zfp281/Zfyve21/Insig1/Tiam1/Trex1/Cct7/Narf/Pim2/Crabp2/Ltbp1/Hmga1/Gngt2" 40
"RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "31/303" "548/7293" 0.0471282651764985 0.884524481719609 0.881227917429953 "Scamp1/Nfix/Ahnak/Id2/Frmd6/Lrrc1/Ntrk3/Il21/Rbm8a/Metap2/Rhoq/Mgll/Slc26a6/P2rx7/Cox7a2/Slc25a39/Rps6ka5/Inhba/Stap1/Rora/Map2k6/Ttc33/Sox12/Tiam1/Sh3glb2/Socs1/Gcnt2/Zhx2/Ndufa5/Cth/Slc16a6" 31
"CACBINDINGPROTEIN_Q6" "CACBINDINGPROTEIN_Q6" "CACBINDINGPROTEIN_Q6" "11/303" "150/7293" 0.0473579601611535 0.884524481719609 0.881227917429953 "Nfix/Bcl7a/Pip4k2b/Dctn1/Kpnb1/Zadh2/Mtx1/Kif3c/Ap4s1/Myh10/Gngt2" 11
"GGARNTKYCCA_UNKNOWN" "GGARNTKYCCA_UNKNOWN" "GGARNTKYCCA_UNKNOWN" "5/303" "49/7293" 0.0514372338530079 0.920619143100213 0.917188056392904 "Scamp1/Etv4/Ntrk3/Slc6a9/Mrpl45" 5
"P53_02" "P53_02" "P53_02" "11/303" "153/7293" 0.053265007019018 0.920619143100213 0.917188056392904 "Nrbp2/Ahnak/Ntrk3/Eif4g2/Slc25a17/Bscl2/Otx1/Sh3glb2/Gcnt2/Zhx2/Lrrk1" 11
"MYCMAX_B" "MYCMAX_B" "MYCMAX_B" "12/303" "172/7293" 0.0540605369005306 0.920619143100213 0.917188056392904 "Ankmy2/Rbbp7/Pip4k2b/Dbp/Kpnb1/Sox12/Ythdf2/Cct5/Zfp36l1/Sdhb/Crabp2/Hmga1" 12
"E2F1_Q6" "E2F1_Q6" "E2F1_Q6" "11/303" "155/7293" 0.0574668077790307 0.927539043576681 0.924082166857597 "Prpf38a/Prkdc/Rps6ka5/Nasp/Cdc25a/Kpnb1/Snrpd1/Eed/Cdca7/Hmga1/Myh10" 11
"AP1_Q4_01" "AP1_Q4_01" "AP1_Q4_01" "11/303" "156/7293" 0.0596480562215019 0.927539043576681 0.924082166857597 "Scamp1/Ecm1/Rbbp7/Blmh/Rhbdf1/Rexo2/Btk/Trex1/Abcd1/Dusp14/Slc16a6" 11
"TGACCTY_ERR1_Q2" "TGACCTY_ERR1_Q2" "TGACCTY_ERR1_Q2" "35/303" "645/7293" 0.0596519414340224 0.927539043576681 0.924082166857597 "Nfix/Trak2/Cox7b/Pkn1/Uhrf1bp1/Tomm70a/Pla2g12a/Tnfrsf12a/Rhoq/Slc26a6/Rps6ka5/Dctn1/Smarca5/Dcun1d4/Mrpl47/Larp4/Fh1/Sox12/Ppp3cc/Slc31a1/Ythdf2/Hipk2/Otx1/Extl2/Slc6a9/Camk2g/St3gal1/Hspd1/Sdhb/Crabp2/Plxnd1/Csf2/Ndufa5/Ywhag/Slc16a6" 35
"AP1_Q6_01" "AP1_Q6_01" "AP1_Q6_01" "11/303" "157/7293" 0.0618833501190565 0.927539043576681 0.924082166857597 "Scamp1/Zbtb32/Rbbp7/Trak2/Abcb6/Kcnk10/Psmd12/Rexo2/Znfx1/Btk/Abcd1" 11
"YGCGYRCGC_UNKNOWN" "YGCGYRCGC_UNKNOWN" "YGCGYRCGC_UNKNOWN" "13/303" "196/7293" 0.0640812158484663 0.927539043576681 0.924082166857597 "Fus/Tmem38b/Rps6ka5/Sox12/Ywhae/Ppp3cc/Acsl4/Tiam1/Mthfd2/Pim2/Nagk/Mrpl45/Slc16a6" 13
"HMGIY_Q6" "HMGIY_Q6" "HMGIY_Q6" "11/303" "158/7293" 0.0641730159842618 0.927539043576681 0.924082166857597 "Batf/Scamp1/Nfix/Ntrk3/Mgll/Gpr171/Lif/Cxcl10/Map2k6/Gpr65/Dusp6" 11
"AP2REP_01" "AP2REP_01" "AP2REP_01" "8/303" "104/7293" 0.0669512644928329 0.927539043576681 0.924082166857597 "Smarca5/Rora/Il3/Bscl2/Rpl22/Eed/Zhx2/Ywhag" 8
"AP1_Q4" "AP1_Q4" "AP1_Q4" "11/303" "160/7293" 0.0689166326109588 0.927539043576681 0.924082166857597 "Rbbp7/Abcb6/Blmh/Tnfrsf12a/Rexo2/Znfx1/Btk/Rad23b/Pim2/Slc16a6/Gngt2" 11
"MYB_Q3" "MYB_Q3" "MYB_Q3" "11/303" "160/7293" 0.0689166326109588 0.927539043576681 0.924082166857597 "Etv4/Zbtb32/Ahnak/Gnat1/Mgll/Cox7a2/Tmem97/Ywhae/Bscl2/Ltbp1/Slc16a6" 11
