"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ISRE_01" "ISRE_01" "ISRE_01" "11/63" "163/7293" 1.11920135937468e-07 4.62230161421744e-05 4.5828350399658e-05 "Ddx60/Ifit2/Ifit3/Tlr7/Usp18/Bst2/Ddx58/Rtp4/Cxcl10/Ifih1/Mef2c" 11
"IRF7_01" "IRF7_01" "IRF7_01" "10/63" "162/7293" 1.02767306599955e-06 0.000111810165421853 0.000110855497257807 "Ddx60/Lgals3bp/Oasl1/Ifit2/Parp12/Usp18/Bst2/Ddx58/Cxcl10/Tap1" 10
"IRF_Q6" "IRF_Q6" "IRF_Q6" "10/63" "165/7293" 1.21644294302237e-06 0.000111810165421853 0.000110855497257807 "Ddx60/Ifit2/Parp12/Tlr7/Bst2/Rtp4/Cxcl10/Ifi35/Ube2l6/Eomes" 10
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "10/63" "166/7293" 1.28577002069076e-06 0.000111810165421853 0.000110855497257807 "Atp10a/Ifit3/Parp12/Tlr7/Usp18/Itpr1/Bst2/Ifi35/Ifih1/Tap1" 10
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "9/63" "129/7293" 1.35363396394495e-06 0.000111810165421853 0.000110855497257807 "Lgals3bp/Ifit2/Ifit3/Usp18/Casp1/Bst2/Ddx58/Cxcl10/Tap1" 9
"IRF2_01" "IRF2_01" "IRF2_01" "5/63" "85/7293" 0.000789944606542821 0.0543745204170309 0.0539102547272206 "Usp18/Bst2/Ddx58/Cxcl10/Tap1" 5
"IRF1_01" "IRF1_01" "IRF1_01" "6/63" "154/7293" 0.00202572698742972 0.119517892258353 0.118497413249648 "Usp18/Bst2/Ddx58/Cxcl10/Tap1/Gata3" 6
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "5/63" "109/7293" 0.00240141647498773 0.123973125521242 0.122914606417135 "Ch25h/Sln/Mef2c/Gnaz/Id1" 5
"HNF3_Q6" "HNF3_Q6" "HNF3_Q6" "4/63" "107/7293" 0.013447656750359 0.617098026433141 0.611829061507562 "Itga3/Mef2c/Gnaz/Id1" 4
"HFH4_01" "HFH4_01" "HFH4_01" "4/63" "111/7293" 0.0152136612120169 0.628324208056296 0.622959390681532 "Itga3/Mef2c/Gnaz/Id1" 4
