"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ISRE_01" "ISRE_01" "ISRE_01" "9/51" "163/7293" 1.51849516249333e-06 0.000303525493197063 0.000303525493197063 "Ddx60/Ifit2/Ifit3/Tlr7/Zbp1/Ddx58/Rtp4/Ifih1/Mef2c" 9
"IRF_Q6" "IRF_Q6" "IRF_Q6" "9/51" "165/7293" 1.68158167976212e-06 0.000303525493197063 0.000303525493197063 "Ddx60/Ifit2/Nrp1/Parp12/Tlr7/Zbp1/Rtp4/Ifi35/Ube2l6" 9
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "8/51" "166/7293" 1.68416349289582e-05 0.00202661006978463 0.00202661006978463 "Atp10a/Ifit3/Parp12/Tlr7/Zbp1/Ifi35/Ifih1/Tap1" 8
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "7/51" "129/7293" 2.78902052210582e-05 0.0025170910212005 0.0025170910212005 "Lgals3bp/Ifit2/Ifit3/Zbp1/Casp1/Ddx58/Tap1" 7
"IRF7_01" "IRF7_01" "IRF7_01" "7/51" "162/7293" 0.000119270975100036 0.00861136440222257 0.00861136440222257 "Ddx60/Lgals3bp/Ifit2/Nrp1/Parp12/Ddx58/Tap1" 7
"MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "3/51" "57/7293" 0.00722907032922912 0.434949064808619 0.434949064808619 "Nrp1/Edn1/Clpx" 3
"HSF_Q6" "HSF_Q6" "HSF_Q6" "4/51" "116/7293" 0.00854442486584911 0.440648196653076 0.440648196653076 "Tspan6/Edn1/Ltbp1/Lrrk1" 4
"TTCYNRGAA_STAT5B_01" "TTCYNRGAA_STAT5B_01" "TTCYNRGAA_STAT5B_01" "5/51" "209/7293" 0.0148562669138615 0.64933951655555 0.64933951655555 "Batf/Nrp1/Tlr7/Tspan6/Nkg7" 5
"CIZ_01" "CIZ_01" "CIZ_01" "4/51" "140/7293" 0.016188519803324 0.64933951655555 0.64933951655555 "Efna5/Batf/Tdrd7/Prickle1" 4
"HAND1E47_01" "HAND1E47_01" "HAND1E47_01" "4/51" "145/7293" 0.0181880349247252 0.65658806078258 0.65658806078258 "Sln/Edn1/Mef2c/Tal2" 4
"CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "2/51" "32/7293" 0.0208046465904166 0.682770674467309 0.682770674467309 "Tspan6/Gata3" 2
"STAT5B_01" "STAT5B_01" "STAT5B_01" "4/51" "165/7293" 0.027695812503349 0.746156193417012 0.746156193417012 "Batf/Nrp1/Tlr7/Tspan6" 4
"STAT5A_01" "STAT5A_01" "STAT5A_01" "4/51" "170/7293" 0.030461816403839 0.746156193417012 0.746156193417012 "Batf/Nrp1/Tlr7/Tspan6" 4
"GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "3/51" "100/7293" 0.0324151176405491 0.746156193417012 0.746156193417012 "Batf/Pim2/Dusp14" 3
"GATA_Q6" "GATA_Q6" "GATA_Q6" "3/51" "102/7293" 0.0340888020990953 0.746156193417012 0.746156193417012 "Pip5k1b/Edn1/Ube2f" 3
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "3/51" "109/7293" 0.0402954879403758 0.746156193417012 0.746156193417012 "Ch25h/Sln/Mef2c" 3
"CAGCTG_AP4_Q5" "CAGCTG_AP4_Q5" "CAGCTG_AP4_Q5" "11/51" "909/7293" 0.0463646899003949 0.746156193417012 0.746156193417012 "Parp12/Rnf213/Nts/Itga3/Prickle1/Mef2c/Gata3/Hsh2d/Ltbp1/Lrrk1/Tal2" 11
"TGACATY_UNKNOWN" "TGACATY_UNKNOWN" "TGACATY_UNKNOWN" "6/51" "380/7293" 0.0479159430525756 0.746156193417012 0.746156193417012 "Nts/Sln/St3gal1/Mef2c/Gbp5/Ltbp1" 6
"RP58_01" "RP58_01" "RP58_01" "3/51" "119/7293" 0.0500880636277197 0.746156193417012 0.746156193417012 "Tlr7/Prickle1/Ltbp1" 3
"FOXJ2_02" "FOXJ2_02" "FOXJ2_02" "3/51" "127/7293" 0.0586847500401058 0.746156193417012 0.746156193417012 "Edn1/Igfbp7/Ltbp1" 3
"AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "3/51" "128/7293" 0.0598057846687094 0.746156193417012 0.746156193417012 "Efna5/Mef2c/Gata3" 3
"S8_01" "S8_01" "S8_01" "3/51" "130/7293" 0.0620782993506713 0.746156193417012 0.746156193417012 "Efna5/Nrp1/Mef2c" 3
"TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "5/51" "308/7293" 0.0627725100960202 0.746156193417012 0.746156193417012 "Ch25h/Nts/Sln/Gbp5/Ltbp1" 5
"TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "3/51" "131/7293" 0.0632296799602536 0.746156193417012 0.746156193417012 "Sln/Mef2c/Ltbp1" 3
"NKX62_Q2" "NKX62_Q2" "NKX62_Q2" "3/51" "132/7293" 0.0643910751976179 0.746156193417012 0.746156193417012 "Sln/Ifih1/Mef2c" 3
"IPF1_Q4" "IPF1_Q4" "IPF1_Q4" "3/51" "134/7293" 0.0667437025359527 0.746156193417012 0.746156193417012 "Nrp1/Mef2c/Tal2" 3
"HNF6_Q6" "HNF6_Q6" "HNF6_Q6" "3/51" "138/7293" 0.0715668167799594 0.746156193417012 0.746156193417012 "Tspan6/Edn1/Mef2c" 3
"PBX1_02" "PBX1_02" "PBX1_02" "2/51" "67/7293" 0.0795330498211153 0.746156193417012 0.746156193417012 "Efna5/Mef2c" 2
"MYOD_01" "MYOD_01" "MYOD_01" "3/51" "146/7293" 0.0816720452933672 0.746156193417012 0.746156193417012 "Itga3/Prickle1/Pim2" 3
"SRY_02" "SRY_02" "SRY_02" "3/51" "148/7293" 0.0842912776514361 0.746156193417012 0.746156193417012 "Nrp1/Ifih1/Tiam1" 3
"GATA1_03" "GATA1_03" "GATA1_03" "3/51" "149/7293" 0.0856145035492397 0.746156193417012 0.746156193417012 "Mef2c/Ube2f/Ltbp1" 3
"HOXA4_Q2" "HOXA4_Q2" "HOXA4_Q2" "3/51" "149/7293" 0.0856145035492397 0.746156193417012 0.746156193417012 "Nrp1/Mef2c/Ltbp1" 3
"MEIS1_01" "MEIS1_01" "MEIS1_01" "3/51" "151/7293" 0.088287867896398 0.746156193417012 0.746156193417012 "Nrp1/Tiam1/Pim2" 3
"AREB6_04" "AREB6_04" "AREB6_04" "3/51" "153/7293" 0.0909967014166498 0.746156193417012 0.746156193417012 "Sln/Edn1/Ltbp1" 3
"PAX_Q6" "PAX_Q6" "PAX_Q6" "3/51" "153/7293" 0.0909967014166498 0.746156193417012 0.746156193417012 "Batf/Gata3/Lrrk1" 3
"MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "2/51" "73/7293" 0.0921015325342753 0.746156193417012 0.746156193417012 "Nrp1/Clpx" 2
"IRF1_01" "IRF1_01" "IRF1_01" "3/51" "154/7293" 0.0923642622418632 0.746156193417012 0.746156193417012 "Ddx58/Tap1/Gata3" 3
"NKX25_01" "NKX25_01" "NKX25_01" "2/51" "75/7293" 0.0964139779510211 0.746156193417012 0.746156193417012 "Mef2c/Clpx" 2
"GATA4_Q3" "GATA4_Q3" "GATA4_Q3" "3/51" "157/7293" 0.0965187587150978 0.746156193417012 0.746156193417012 "Nrp1/Pip5k1b/Pim2" 3
"HIF1_Q5" "HIF1_Q5" "HIF1_Q5" "3/51" "158/7293" 0.0979206483531471 0.746156193417012 0.746156193417012 "Tiam1/Mef2c/Ltbp1" 3
"SMAD_Q6" "SMAD_Q6" "SMAD_Q6" "3/51" "158/7293" 0.0979206483531471 0.746156193417012 0.746156193417012 "Nrp1/Ltbp1/Tarbp2" 3
"AP1_Q4" "AP1_Q4" "AP1_Q4" "3/51" "160/7293" 0.100749625356728 0.746156193417012 0.746156193417012 "Apobec1/Edn1/Pim2" 3
"HNF4_Q6" "HNF4_Q6" "HNF4_Q6" "3/51" "160/7293" 0.100749625356728 0.746156193417012 0.746156193417012 "Sln/Itga3/Ttc27" 3
"STAT_01" "STAT_01" "STAT_01" "3/51" "160/7293" 0.100749625356728 0.746156193417012 0.746156193417012 "Batf/Nrp1/Nkg7" 3
"TCF1P_Q6" "TCF1P_Q6" "TCF1P_Q6" "3/51" "161/7293" 0.102176582108748 0.746156193417012 0.746156193417012 "Efna5/Edn1/Clpx" 3
"AP4_01" "AP4_01" "AP4_01" "3/51" "163/7293" 0.105055103354149 0.746156193417012 0.746156193417012 "Tlr7/Prickle1/Ltbp1" 3
"GATAAGR_GATA_C" "GATAAGR_GATA_C" "GATAAGR_GATA_C" "3/51" "163/7293" 0.105055103354149 0.746156193417012 0.746156193417012 "Edn1/Mef2c/Ube2f" 3
"CCTNTMAGA_UNKNOWN" "CCTNTMAGA_UNKNOWN" "CCTNTMAGA_UNKNOWN" "2/51" "79/7293" 0.105208733617812 0.746156193417012 0.746156193417012 "Itga3/Prickle1" 2
"LYF1_01" "LYF1_01" "LYF1_01" "3/51" "164/7293" 0.106506535504094 0.746156193417012 0.746156193417012 "Nrp1/Prickle1/Mef2c" 3
"STAT6_02" "STAT6_02" "STAT6_02" "3/51" "164/7293" 0.106506535504094 0.746156193417012 0.746156193417012 "Edn1/Mef2c/Pim2" 3
"IRF2_01" "IRF2_01" "IRF2_01" "2/51" "85/7293" 0.118790909029598 0.746156193417012 0.746156193417012 "Ddx58/Tap1" 2
"STAT3_02" "STAT3_02" "STAT3_02" "2/51" "92/7293" 0.135157824752042 0.746156193417012 0.746156193417012 "Rnf213/Ltbp1" 2
"RTTTNNNYTGGM_UNKNOWN" "RTTTNNNYTGGM_UNKNOWN" "RTTTNNNYTGGM_UNKNOWN" "2/51" "93/7293" 0.137536911774681 0.746156193417012 0.746156193417012 "Tspan6/Inpp5a" 2
"WTTGKCTG_UNKNOWN" "WTTGKCTG_UNKNOWN" "WTTGKCTG_UNKNOWN" "4/51" "299/7293" 0.155360834115153 0.746156193417012 0.746156193417012 "Nrp1/Ifih1/Tiam1/Ltbp1" 4
"MSX1_01" "MSX1_01" "MSX1_01" "2/51" "101/7293" 0.156891390877744 0.746156193417012 0.746156193417012 "Nqo2/Nts" 2
"TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "2/51" "102/7293" 0.159347442653317 0.746156193417012 0.746156193417012 "Tspan6/Edn1" 2
"NCX_01" "NCX_01" "NCX_01" "2/51" "103/7293" 0.161810910356588 0.746156193417012 0.746156193417012 "Itga3/Dusp14" 2
"FREAC7_01" "FREAC7_01" "FREAC7_01" "2/51" "105/7293" 0.166759226267504 0.746156193417012 0.746156193417012 "Efna5/Ch25h" 2
"EVI1_03" "EVI1_03" "EVI1_03" "1/51" "26/7293" 0.167041494249506 0.746156193417012 0.746156193417012 "Nrp1" 1
"HNF3_Q6" "HNF3_Q6" "HNF3_Q6" "2/51" "107/7293" 0.171734629573575 0.746156193417012 0.746156193417012 "Itga3/Mef2c" 2
"YCATTAA_UNKNOWN" "YCATTAA_UNKNOWN" "YCATTAA_UNKNOWN" "4/51" "317/7293" 0.17985856584687 0.746156193417012 0.746156193417012 "Efna5/Nrp1/Gata3/Clpx" 4
"TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "4/51" "318/7293" 0.181257791459405 0.746156193417012 0.746156193417012 "Nrp1/Rnf213/Itga3/Lrrk1" 4
"HFH4_01" "HFH4_01" "HFH4_01" "2/51" "111/7293" 0.18176006296015 0.746156193417012 0.746156193417012 "Itga3/Mef2c" 2
"GGATTA_PITX2_Q2" "GGATTA_PITX2_Q2" "GGATTA_PITX2_Q2" "4/51" "323/7293" 0.188310373868346 0.746156193417012 0.746156193417012 "Itga3/Tdrd7/Ltbp1/Tal2" 4
"CDPCR3_01" "CDPCR3_01" "CDPCR3_01" "1/51" "31/7293" 0.195870557903382 0.746156193417012 0.746156193417012 "Tspan6" 1
"HMX1_01" "HMX1_01" "HMX1_01" "1/51" "31/7293" 0.195870557903382 0.746156193417012 0.746156193417012 "Lrrk1" 1
"HNF1_01" "HNF1_01" "HNF1_01" "2/51" "120/7293" 0.204623451399733 0.746156193417012 0.746156193417012 "Nrp1/Prickle1" 2
"HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "2/51" "120/7293" 0.204623451399733 0.746156193417012 0.746156193417012 "Itga3/Mef2c" 2
"FOX_Q2" "FOX_Q2" "FOX_Q2" "2/51" "121/7293" 0.207185615834077 0.746156193417012 0.746156193417012 "Itga3/Mef2c" 2
"OCT1_04" "OCT1_04" "OCT1_04" "2/51" "121/7293" 0.207185615834077 0.746156193417012 0.746156193417012 "Mef2c/Tal2" 2
"HFH3_01" "HFH3_01" "HFH3_01" "2/51" "123/7293" 0.212320873479952 0.746156193417012 0.746156193417012 "Itga3/Mef2c" 2
"FOXD3_01" "FOXD3_01" "FOXD3_01" "2/51" "124/7293" 0.214893623582584 0.746156193417012 0.746156193417012 "Nrp1/Mef2c" 2
"OCT1_03" "OCT1_03" "OCT1_03" "2/51" "124/7293" 0.214893623582584 0.746156193417012 0.746156193417012 "Nrp1/Mef2c" 2
"AP4_Q6" "AP4_Q6" "AP4_Q6" "2/51" "127/7293" 0.222630344908945 0.746156193417012 0.746156193417012 "Prickle1/Gata3" 2
"OCT1_05" "OCT1_05" "OCT1_05" "2/51" "128/7293" 0.225214861738155 0.746156193417012 0.746156193417012 "Edn1/Pim2" 2
"GNCF_01" "GNCF_01" "GNCF_01" "1/51" "37/7293" 0.229176188907809 0.746156193417012 0.746156193417012 "Mef2c" 1
"PIT1_Q6" "PIT1_Q6" "PIT1_Q6" "2/51" "130/7293" 0.230391346420823 0.746156193417012 0.746156193417012 "Nrp1/Rnf213" 2
"TAL1BETAE47_01" "TAL1BETAE47_01" "TAL1BETAE47_01" "2/51" "130/7293" 0.230391346420823 0.746156193417012 0.746156193417012 "Mef2c/Ltbp1" 2
"CTTTAAR_UNKNOWN" "CTTTAAR_UNKNOWN" "CTTTAAR_UNKNOWN" "6/51" "595/7293" 0.233930278843142 0.746156193417012 0.746156193417012 "Tlr7/Itga3/Edn1/Mef2c/Ube2f/Dusp14" 6
"RYCACNNRNNRNCAG_UNKNOWN" "RYCACNNRNNRNCAG_UNKNOWN" "RYCACNNRNNRNCAG_UNKNOWN" "1/51" "38/7293" 0.234594051968131 0.746156193417012 0.746156193417012 "Mef2c" 1
"FAC1_01" "FAC1_01" "FAC1_01" "2/51" "132/7293" 0.235576722086964 0.746156193417012 0.746156193417012 "Itga3/Pim2" 2
"GATA_C" "GATA_C" "GATA_C" "2/51" "132/7293" 0.235576722086964 0.746156193417012 0.746156193417012 "Edn1/Ube2f" 2
