"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ETS_Q4" "ETS_Q4" "ETS_Q4" "41/779" "181/7293" 1.90138438905461e-06 0.00113322509587654 0.00108679128763858 "Pus7l/Arsb/Madd/Coro1a/Tbc1d10c/Nfkbid/Itgb7/Yrdc/Prkag1/Dab2ip/Gmfg/Pkn1/Arrb2/Uxt/E2f5/Ppp1r9b/Pdap1/Oma1/Itpr1/Rin3/Nasp/Skap1/Fxyd5/Strbp/Itpr2/Furin/Usp3/Arhgap15/Foxn3/Pdlim2/Chd2/Arhgap30/Lime1/Elk3/Slc9a3r1/Sigirr/Map4k2/Hmga1/Lpxn/Arhgap4/Kcnab2" 41
"RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "107/779" "722/7293" 0.000170243491629854 0.0507325605056965 0.0486537978710583 "Atp2a3/Pus7l/Lag3/Ddit4/Madd/Fermt3/Timp1/Nrp1/Tsc22d4/Pitpnc1/Ctsa/Sh3kbp1/Creb3/Cd40/Cd4/Nfkbid/Tfb1m/Lmo4/Dab2ip/Arl6ip5/Arhgdib/Arrb2/Casp8/Map2k6/E2f5/Ppp1r9b/Pdap1/Trpc4ap/Oma1/Atxn7l1/Itpr1/Vamp8/Rin3/Nr4a3/Egfl7/Pstpip1/Atxn1/Nasp/Ube2b/Actb/Jak3/Skap1/Fxyd5/Strbp/Nsmce2/Snx20/Slpi/Ncf4/Nr4a2/Enpp1/Slc2a9/Igfbp4/Pik3cg/Myo18a/Psap/Kpnb1/Itpr2/Furin/Xcl1/Crebl2/Usp3/Vcl/Cdk2ap2/Pla1a/Tmem154/Dhcr24/Prkacb/Stim1/Arhgap15/Evl/Fpgs/Sipa1/Zfp282/Def6/Itpr3/Gnl2/Appl2/Foxn3/Pdlim2/Chd2/Flt3l/Was/Ets1/Pik3cd/Arhgap30/Tbl1xr1/Lime1/Stx5a/Elk3/Abr/Slc9a3r1/Cox17/Csf2/Arl4c/Sigirr/St13/Zfp593/Map4k2/Arhgef4/Sh3bp1/Hmga1/Cnn2/Arhgap4/Etv6/Rwdd4a/Kcnab2/Stk10" 107
"ETS1_B" "ETS1_B" "ETS1_B" "33/779" "174/7293" 0.00068705171256132 0.136494273562182 0.130901431551157 "Pus7l/Lag3/Madd/Coro1a/Tbc1d10c/Tsc22d4/Dab2ip/E2f5/Ppp1r9b/Oma1/Wipi2/Pik3cg/Itpr2/Furin/Arhgap15/Tsc22d3/Def6/Itpr3/Appl2/Foxn3/Pdlim2/Lime1/Stx5a/Elk3/Slc9a3r1/Csf2/Arl4c/Map4k2/Hmga1/Etv6/Rwdd4a/Kcnab2/Stk10" 33
"RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "81/779" "548/7293" 0.0011988510383422 0.152017056231902 0.145788169434693 "Slc38a2/Bcl11b/Tagap/Lag3/Ddit4/Nfix/Rgs1/Arid4a/Pitpnc1/Pde6d/Sdcbp2/Rapgef6/Ahnak/Pik3ip1/Lmo4/Pde7a/Dab2ip/Gmfg/Anp32a/Map2k6/Ssbp3/Mxd4/Ntrk3/Atxn7l1/Il21/Vamp8/Marcks/Metap2/Tnfrsf19/Lasp1/Wipi2/Rhoq/Fgl2/Atxn1/Skap1/P2rx7/Zfand6/Abtb1/Mbnl2/Bcas3/Cox7a2/Slc25a39/Il16/Cdkn1b/Slc16a6/Nr4a2/Klhl24/Ttc33/Pik3cg/Fen1/Ppox/Crebl2/Nudt18/Usp3/Sumo1/Slc12a6/Sox12/Edn1/Tsc22d3/Tmem59/Taz/Klhdc2/Foxn3/Arhgef6/Chd2/Igf1r/Tspan4/Ets1/Sh3glb2/Arhgap30/Aldh4a1/Kcnh2/Stx5a/Elk3/Grhl1/Rabgap1l/Hbp1/Dbndd2/Cth/Nob1/Gse1" 81
"AML_Q6" "AML_Q6" "AML_Q6" "32/779" "173/7293" 0.00127531087442871 0.152017056231902 0.145788169434693 "Madd/Rgs1/Pitpnc1/Cd69/Add1/Sgip1/Atp2a2/Itgb7/Nol9/Vim/Rbm14/Abhd8/Slc16a6/Sdf2l1/Tmem109/Il3/Kpnb1/Xcl1/Tulp4/Ptprs/Sema4a/Dok2/Tsc22d3/Rbl1/Hpcal1/Grap2/Sla/Csf2/Rabgap1l/Evi2a/Gse1/Agpat4" 32
"TCF1P_Q6" "TCF1P_Q6" "TCF1P_Q6" "30/779" "161/7293" 0.00158438973085253 0.157382713264685 0.150933969097004 "Bcl11b/Tsc22d4/Pola2/Sema7a/Hif1a/Lmo4/Uxt/Uchl5/Pip4k2b/Prkd2/Skap1/Fxyd5/Bcas3/Fip1l1/Zer1/Mcph1/Ints7/Zadh2/Edn1/Kif3c/Foxn3/Pik3cd/Fyco1/Gltp/Klk8/Zmym2/Clk4/Etv6/Gse1/Nab2" 30
"ELF1_Q6" "ELF1_Q6" "ELF1_Q6" "30/779" "165/7293" 0.00235078254996953 0.192646189216035 0.184752526923891 "Atp2a3/Lag3/Madd/Nrp1/Ctsa/Creb3/Itgb7/Nckap1l/Pkn1/Arl6ip5/Arhgdib/Mllt3/Arrb2/Vim/Marcks/Samsn1/Wipi2/Nasp/Tm6sf1/Itpr2/Aif1/Tmem154/Stim1/Kif3c/Cd37/Was/Pik3cd/Stx5a/Map4k2/Gngt2" 30
"PEA3_Q6" "PEA3_Q6" "PEA3_Q6" "30/779" "166/7293" 0.00258585488880584 0.192646189216035 0.184752526923891 "Pus7l/Lag3/Fermt3/Nrp1/Tbc1d10c/Cd69/Tnfaip8l2/Yrdc/Arhgdib/Ssbp3/Oma1/Spata6/Fen1/Rtn3/Itpr2/Xcl1/Crebl2/Prkacb/Sipa1/Gnl2/Tspan4/Sell/Arhgap30/Stx5a/Map4k2/Lpxn/Akt3/Grcc10/Kcnab2/Slamf9" 30
"RACCACAR_AML_Q6" "RACCACAR_AML_Q6" "RACCACAR_AML_Q6" "31/779" "176/7293" 0.0033326340044417 0.194870767554145 0.1868859533414 "Tagap/Madd/Rgs1/Pitpnc1/Cd69/Sgip1/Rtn4rl1/Itgb7/Dab2ip/Wbp1/Trpv2/Abhd8/Gpr171/Ifng/Sdf2l1/Il3/Slc12a6/Tulp4/Ptprs/Dok2/Hpcal1/Foxn3/Was/Arhgap30/Rassf2/Atp5a1/Dyrk1b/Csf2/Rabgap1l/Evi2a/Agpat4" 31
"E2F_Q3" "E2F_Q3" "E2F_Q3" "25/779" "135/7293" 0.00408915162959811 0.194870767554145 0.1868859533414 "Mcm6/Arid4a/Usp1/Pola2/Uxt/Tbx6/Ssbp3/Mat2a/Mcm2/Prpf38a/Prkdc/Tipin/Lasp1/Ddb2/Mcm4/Nasp/Serbp1/Cdc25a/Kpnb1/Ppp1cc/Ints7/Ctdsp1/Pcna/Zmym2/Mcm3" 25
