"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "2/3" "431/7293" 0.010044657856619 0.0877839250100411 0.0668455420009272 "Gipr/Mgll" 2
"TGACAGNY_MEIS1_01" "TGACAGNY_MEIS1_01" "TGACAGNY_MEIS1_01" "2/3" "500/7293" 0.0134337935375964 0.0877839250100411 0.0668455420009272 "Gipr/Mgll" 2
"WYAAANNRNNNGCG_UNKNOWN" "WYAAANNRNNNGCG_UNKNOWN" "WYAAANNRNNNGCG_UNKNOWN" "1/3" "40/7293" 0.0163662848987879 0.0877839250100411 0.0668455420009272 "Mgll" 1
"YTCCCRNNAGGY_UNKNOWN" "YTCCCRNNAGGY_UNKNOWN" "YTCCCRNNAGGY_UNKNOWN" "1/3" "44/7293" 0.0179930217148629 0.0877839250100411 0.0668455420009272 "St3gal1" 1
"TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "1/3" "54/7293" 0.0220520148757907 0.0877839250100411 0.0668455420009272 "Gipr" 1
"TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "1/3" "95/7293" 0.0385769548213394 0.0877839250100411 0.0668455420009272 "Mgll" 1
"EVI1_05" "EVI1_05" "EVI1_05" "1/3" "96/7293" 0.0389776590635645 0.0877839250100411 0.0668455420009272 "Mgll" 1
"FREAC7_01" "FREAC7_01" "FREAC7_01" "1/3" "105/7293" 0.0425789882096083 0.0877839250100411 0.0668455420009272 "Mgll" 1
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "1/3" "109/7293" 0.0441766867102098 0.0877839250100411 0.0668455420009272 "Mgll" 1
"HFH8_01" "HFH8_01" "HFH8_01" "1/3" "109/7293" 0.0441766867102098 0.0877839250100411 0.0668455420009272 "Mgll" 1
"HFH4_01" "HFH4_01" "HFH4_01" "1/3" "111/7293" 0.0449748689868231 0.0877839250100411 0.0668455420009272 "Mgll" 1
"HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "1/3" "120/7293" 0.048561190528551 0.0877839250100411 0.0668455420009272 "Mgll" 1
"FOX_Q2" "FOX_Q2" "FOX_Q2" "1/3" "121/7293" 0.0489591155847916 0.0877839250100411 0.0668455420009272 "Mgll" 1
"HEN1_01" "HEN1_01" "HEN1_01" "1/3" "124/7293" 0.0501522250177708 0.0877839250100411 0.0668455420009272 "Mgll" 1
"AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "1/3" "128/7293" 0.0517414847893837 0.0877839250100411 0.0668455420009272 "Mgll" 1
"TST1_01" "TST1_01" "TST1_01" "1/3" "135/7293" 0.0545184219542699 0.0877839250100411 0.0668455420009272 "Mgll" 1
"TITF1_Q3" "TITF1_Q3" "TITF1_Q3" "1/3" "139/7293" 0.0561028063589866 0.0877839250100411 0.0668455420009272 "Mgll" 1
"FOXO1_01" "FOXO1_01" "FOXO1_01" "1/3" "140/7293" 0.0564986257021404 0.0877839250100411 0.0668455420009272 "Mgll" 1
"BRN2_01" "BRN2_01" "BRN2_01" "1/3" "141/7293" 0.0568943343730329 0.0877839250100411 0.0668455420009272 "Mgll" 1
"MYB_Q6" "MYB_Q6" "MYB_Q6" "1/3" "141/7293" 0.0568943343730329 0.0877839250100411 0.0668455420009272 "Mgll" 1
"CDC5_01" "CDC5_01" "CDC5_01" "1/3" "148/7293" 0.0596611975458007 0.0877839250100411 0.0668455420009272 "Mgll" 1
"MZF1_01" "MZF1_01" "MZF1_01" "1/3" "148/7293" 0.0596611975458007 0.0877839250100411 0.0668455420009272 "Mgll" 1
"MTF1_Q4" "MTF1_Q4" "MTF1_Q4" "1/3" "150/7293" 0.0604507347125597 0.0877839250100411 0.0668455420009272 "Mgll" 1
